lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,45,0.40772581191995794,0.5351734748091419,0.26291971005025916,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,1,45,0.4289971063593705,0.5377096632563622,0.25591710588724004,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,2,45,0.4002140983804416,0.5350291932191713,0.2633170869222491,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,3,45,0.38018217462972737,0.49423215445226926,0.37138081420281477,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,4,45,0.4362728531481379,0.5726774375037591,0.15599351430937136,0.36484710589711794,0.507015585084112,0.33844149599875495,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,8,45,0.388766076295011,0.515155900116764,0.31702785033405323,0.4287118228488675,0.5984142379980666,0.07842756933206319,0.46043629050962603,0.6011453170743516,0.06999651811891572
agropastoral,12,45,0.42915109200954665,0.5503126806127064,0.22062821682067968,0.47235127488991696,0.6556413483914932,-0.10626279687629236,0.46043629050962603,0.6011453170743516,0.06999651811891572
crop_farming,0,603,0.26497488110344786,0.4415040304524254,0.7039549410338375,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,1,603,0.2678245946753033,0.4468251741422472,0.696775884081847,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,2,603,0.27019581519920804,0.44433676138377026,0.7001438486917623,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,3,603,0.2667869206626719,0.4381586086616331,0.7084244056189524,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,4,603,0.31168826985394765,0.49775459219299356,0.6237131661359196,0.29445845439193163,0.5393069422265868,0.5582663401978049,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,8,603,0.38364795696017245,0.628719180511113,0.3996536268444941,0.3355291599901303,0.6210466861564822,0.4142167227171273,0.3554688592923237,0.6607703669060241,0.3368838755576119
crop_farming,12,603,0.3879012939751532,0.6310913739614542,0.3951147978882533,0.3999172544503842,0.6997555816119351,0.25632836926788904,0.3554688592923237,0.6607703669060241,0.3368838755576119
pastoral,0,180,0.34823996933486867,0.4481683109933467,0.49350007139787,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,1,180,0.3826887459634578,0.47414193100457963,0.43309038072554173,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,2,180,0.41308112271987113,0.496683457174536,0.3779053181201186,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,3,180,0.37354461723827936,0.46070947040165944,0.4647565301544002,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,4,180,0.4155272847083375,0.5219304955502797,0.31305424620737143,0.40636426604163156,0.5519713763664915,0.2317010988082523,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,8,180,0.4092280953906164,0.5420063427124171,0.2591917067743216,0.42232965144300727,0.5890271356370795,0.12508129173108717,0.5994165707461798,0.7473035251971277,-0.40828696593290714
pastoral,12,180,0.4759345826810348,0.5973210750119738,0.10026881401693188,0.4567531004229377,0.6170332858805453,0.03990483339511064,0.5994165707461798,0.7473035251971277,-0.40828696593290714
