feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0037039863,pastoral,0
pct_agropastoral,0.005527863,pastoral,0
pct_crop_farming,0.0024580816,pastoral,0
is_harvest_season,0.0022327,pastoral,0
is_lean_season,0.023512166,pastoral,0
is_dry_season,0.00229794,pastoral,0
months_since_harvest_start,0.014362171,pastoral,0
months_since_lean_start,0.01963951,pastoral,0
agss_surveyed_flag,0.003307829,pastoral,0
ipc_lag1,0.027678506,pastoral,0
ipc_lag4,0.018850159,pastoral,0
ipc_lag8,0.019180847,pastoral,0
ipc_mean12,0.009460554,pastoral,0
ha_share_lag1,0.022713158,pastoral,0
ha_share_lag4,0.009126963,pastoral,0
ha_share_lag8,0.0061847116,pastoral,0
ha_share_mean12,0.009768225,pastoral,0
acled_event_count,0.0015117121,pastoral,0
acled_fatalities,0.010824496,pastoral,0
acled_event_count_political_violence,0.0,pastoral,0
acled_fatalities_political_violence,0.0,pastoral,0
acled_event_count_demonstrations,0.0050712544,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.018127097,pastoral,0
acled_fatalities_lag1,0.007750848,pastoral,0
acled_event_count_political_violence_lag1,0.0,pastoral,0
acled_fatalities_political_violence_lag1,0.0,pastoral,0
acled_event_count_demonstrations_lag1,0.009920367,pastoral,0
acled_fatalities_demonstrations_lag1,0.0,pastoral,0
acled_event_count_strategic_developments_lag1,0.0030055542,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_political_violence_lag3,0.0,pastoral,0
acled_fatalities_political_violence_lag3,0.0,pastoral,0
acled_event_count_demonstrations_lag3,0.0,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.004761229,pastoral,0
acled_fatalities_lag6,0.0048237904,pastoral,0
acled_event_count_political_violence_lag6,0.0,pastoral,0
acled_fatalities_political_violence_lag6,0.0,pastoral,0
acled_event_count_demonstrations_lag6,0.0,pastoral,0
acled_fatalities_demonstrations_lag6,0.0,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0016706082,pastoral,0
acled_fatalities_lag12,0.0062780795,pastoral,0
acled_event_count_political_violence_lag12,0.008141844,pastoral,0
acled_fatalities_political_violence_lag12,0.0,pastoral,0
acled_event_count_demonstrations_lag12,0.0,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_price_etb,0.011022578,pastoral,0
maize_price_etb_lag1,0.0018878947,pastoral,0
maize_price_etb_lag3,0.0077187717,pastoral,0
maize_price_etb_lag6,0.0051730946,pastoral,0
maize_price_etb_lag12,0.002652157,pastoral,0
maize_price_index,0.009834395,pastoral,0
maize_price_index_lag1,0.015919063,pastoral,0
maize_price_index_lag3,0.0035151045,pastoral,0
maize_price_index_lag6,0.0148943355,pastoral,0
maize_price_index_lag12,0.0050779036,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.004867415,pastoral,0
wheat_price_etb_lag1,0.005941492,pastoral,0
wheat_price_etb_lag3,0.0017031707,pastoral,0
wheat_price_etb_lag6,0.0061185206,pastoral,0
wheat_price_etb_lag12,0.0028043399,pastoral,0
wheat_price_index,0.003907199,pastoral,0
wheat_price_index_lag1,0.008561753,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.013148963,pastoral,0
wheat_price_index_lag12,0.0028558667,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0,pastoral,0
sorghum_price_etb_lag1,0.0051992075,pastoral,0
sorghum_price_etb_lag3,0.003996992,pastoral,0
sorghum_price_etb_lag6,0.0015862857,pastoral,0
sorghum_price_etb_lag12,0.009317557,pastoral,0
sorghum_price_index,0.0,pastoral,0
sorghum_price_index_lag1,0.009006043,pastoral,0
sorghum_price_index_lag3,0.0,pastoral,0
sorghum_price_index_lag6,0.0073148557,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
