feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0044496814,pastoral,0
pct_agropastoral,0.0016327425,pastoral,0
pct_crop_farming,0.0053293374,pastoral,0
is_harvest_season,0.00020380325,pastoral,0
is_lean_season,0.008052082,pastoral,0
is_dry_season,0.00028201294,pastoral,0
months_since_harvest_start,0.012511036,pastoral,0
months_since_lean_start,0.010330517,pastoral,0
agss_surveyed_flag,0.0045741494,pastoral,0
ipc_lag1,0.1380717,pastoral,0
ipc_lag4,0.024555348,pastoral,0
ipc_lag8,0.008312371,pastoral,0
ipc_mean12,0.00815056,pastoral,0
ha_share_lag1,0.011294771,pastoral,0
ha_share_lag4,0.006077679,pastoral,0
ha_share_lag8,0.002989897,pastoral,0
ha_share_mean12,0.0034422816,pastoral,0
total_rainfall_mm,0.0034374946,pastoral,0
wet_days,0.0021486732,pastoral,0
max_dry_spell_length,0.0035465378,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0025933653,pastoral,0
rainfall_sum_6m,0.007438807,pastoral,0
rainfall_sum_12m,0.026477126,pastoral,0
rainfall_sum_24m,0.008428909,pastoral,0
spi_1,0.005101754,pastoral,0
spi_3,0.003870055,pastoral,0
spi_6,0.020793002,pastoral,0
spi_12,0.016457547,pastoral,0
spi_24,0.009776411,pastoral,0
ndvi,0.0068302574,pastoral,0
ndvi_anomaly,0.003961585,pastoral,0
ndvi_lag1,0.0062287697,pastoral,0
ndvi_lag3,0.0019749599,pastoral,0
ndvi_lag6,0.0059497138,pastoral,0
ndvi_lag12,0.009820195,pastoral,0
ndvi_anomaly_lag1,0.017035818,pastoral,0
ndvi_anomaly_lag3,0.008840557,pastoral,0
ndvi_anomaly_lag6,0.005446304,pastoral,0
ndvi_anomaly_lag12,0.0044010375,pastoral,0
ndvi_cropland,0.003935505,pastoral,0
ndvi_cropland_anomaly,0.0015046468,pastoral,0
ndvi_cropland_lag1,0.0033424569,pastoral,0
ndvi_cropland_lag3,0.0053158286,pastoral,0
ndvi_cropland_lag6,0.007373708,pastoral,0
ndvi_cropland_lag12,0.0021905894,pastoral,0
ndvi_cropland_anomaly_lag1,0.0043758405,pastoral,0
ndvi_cropland_anomaly_lag3,0.004014021,pastoral,0
ndvi_cropland_anomaly_lag6,0.003919214,pastoral,0
ndvi_cropland_anomaly_lag12,0.0030377922,pastoral,0
ndvi_rangeland,0.0024205653,pastoral,0
ndvi_rangeland_anomaly,0.0048989155,pastoral,0
ndvi_rangeland_lag1,0.007324062,pastoral,0
ndvi_rangeland_lag3,0.004742099,pastoral,0
ndvi_rangeland_lag6,0.0035932981,pastoral,0
ndvi_rangeland_lag12,0.008142208,pastoral,0
ndvi_rangeland_anomaly_lag1,0.0061673694,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0032832779,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0047509247,pastoral,0
ndvi_rangeland_anomaly_lag12,0.0057876203,pastoral,0
acled_event_count,0.0,pastoral,0
acled_fatalities,0.002229179,pastoral,0
acled_event_count_political_violence,0.0,pastoral,0
acled_fatalities_political_violence,0.002963691,pastoral,0
acled_event_count_demonstrations,0.0026115098,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.0007162293,pastoral,0
acled_fatalities_lag1,0.0022381402,pastoral,0
acled_event_count_political_violence_lag1,0.0,pastoral,0
acled_fatalities_political_violence_lag1,0.0,pastoral,0
acled_event_count_demonstrations_lag1,0.0019188253,pastoral,0
acled_fatalities_demonstrations_lag1,0.0,pastoral,0
acled_event_count_strategic_developments_lag1,0.0,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0013043622,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_political_violence_lag3,0.0,pastoral,0
acled_fatalities_political_violence_lag3,0.0,pastoral,0
acled_event_count_demonstrations_lag3,0.0,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_political_violence_lag6,0.0,pastoral,0
acled_fatalities_political_violence_lag6,0.0,pastoral,0
acled_event_count_demonstrations_lag6,0.0,pastoral,0
acled_fatalities_demonstrations_lag6,0.0,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0,pastoral,0
acled_fatalities_lag12,0.0031176405,pastoral,0
acled_event_count_political_violence_lag12,0.0,pastoral,0
acled_fatalities_political_violence_lag12,0.0,pastoral,0
acled_event_count_demonstrations_lag12,0.0,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_price_etb,0.0034369216,pastoral,0
maize_price_etb_lag1,0.0,pastoral,0
maize_price_etb_lag3,0.0,pastoral,0
maize_price_etb_lag6,0.0,pastoral,0
maize_price_etb_lag12,0.009512576,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.0,pastoral,0
maize_price_index_lag6,0.008119741,pastoral,0
maize_price_index_lag12,0.006440296,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.001245789,pastoral,0
wheat_price_etb_lag1,0.0,pastoral,0
wheat_price_etb_lag3,0.00080819154,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.0032368929,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.009292618,pastoral,0
wheat_price_index_lag6,0.0127322115,pastoral,0
wheat_price_index_lag12,0.005189821,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0054829856,pastoral,0
sorghum_price_etb_lag1,0.0022886551,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0024339815,pastoral,0
sorghum_price_etb_lag12,0.0034959356,pastoral,0
sorghum_price_index,0.0031555824,pastoral,0
sorghum_price_index_lag1,0.0040738173,pastoral,0
sorghum_price_index_lag3,0.0,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
livestock_sheep_price_etb_lag6,0.0,pastoral,0
livestock_sheep_price_etb_lag12,0.0,pastoral,0
livestock_sheep_price_index,0.0,pastoral,0
livestock_sheep_price_index_lag1,0.0,pastoral,0
livestock_sheep_price_index_lag3,0.0,pastoral,0
livestock_sheep_price_index_lag6,0.0,pastoral,0
livestock_sheep_price_index_lag12,0.0,pastoral,0
livestock_sheep_n_markets,0.0,pastoral,0
goat_maize_tot,0.0,pastoral,0
goat_maize_tot_lag1,0.0,pastoral,0
goat_maize_tot_lag3,0.0,pastoral,0
goat_maize_tot_lag6,0.0,pastoral,0
goat_maize_tot_lag12,0.0,pastoral,0
sheep_maize_tot,0.0,pastoral,0
sheep_maize_tot_lag1,0.0,pastoral,0
sheep_maize_tot_lag3,0.0,pastoral,0
sheep_maize_tot_lag6,0.0,pastoral,0
sheep_maize_tot_lag12,0.0,pastoral,0
maize_yield,0.0,pastoral,0
maize_yield_anomaly,9.788286e-05,pastoral,0
wheat_yield,0.0016234687,pastoral,0
wheat_yield_anomaly,0.0,pastoral,0
sorghum_yield,0.0,pastoral,0
sorghum_yield_anomaly,0.0,pastoral,0
teff_yield,0.0,pastoral,0
teff_yield_anomaly,0.007928916,pastoral,0
headline_cpi,0.014775322,pastoral,0
headline_cpi_lag1,0.009039968,pastoral,0
headline_cpi_lag3,0.009590709,pastoral,0
headline_cpi_lag6,0.008415672,pastoral,0
headline_cpi_lag12,0.0062954794,pastoral,0
headline_cpi_yoy_change,0.0015933563,pastoral,0
headline_cpi_yoy_change_lag1,0.015873315,pastoral,0
headline_cpi_yoy_change_lag3,0.011476234,pastoral,0
headline_cpi_yoy_change_lag6,0.014447562,pastoral,0
headline_cpi_yoy_change_lag12,0.009118828,pastoral,0
food_cpi,0.0,pastoral,0
food_cpi_lag1,0.010939596,pastoral,0
food_cpi_lag3,0.0,pastoral,0
food_cpi_lag6,0.022476248,pastoral,0
food_cpi_lag12,0.0,pastoral,0
food_cpi_yoy_change,0.0065761744,pastoral,0
food_cpi_yoy_change_lag1,0.0105493795,pastoral,0
food_cpi_yoy_change_lag3,0.0,pastoral,0
food_cpi_yoy_change_lag6,0.0015491759,pastoral,0
