model,target_mode,window,lead,n,accuracy,f1_weighted,mae,r2
LSTM,delta,default,0,828.0,0.6461352657004831,0.6601891544716987,0.436863811623647,0.5280938151058989
LSTM,delta,default,1,828.0,0.7041062801932367,0.7109045639271251,0.35830383319497683,0.6563660446732462
LSTM,delta,default,2,828.0,0.6739130434782609,0.6850185044910717,0.4129506758445703,0.526094175519418
LSTM,delta,default,3,828.0,0.6763285024154589,0.6846712660976204,0.40911784537748436,0.5898128501733826
LSTM,delta,default,4,828.0,0.6328502415458938,0.6467299011151211,0.4608106087659292,0.4759164595745229
LSTM,delta,default,8,828.0,0.6497584541062802,0.6526707214055066,0.45265072929686395,0.44343092324783684
LSTM,delta,default,12,828.0,0.6159420289855072,0.6086062548175105,0.4715904817345062,0.43306748084113555
LSTM,delta,extended,0,1380.0,0.6246376811594203,0.643351634075215,0.46408071349496427,0.4952640655885905
LSTM,delta,extended,1,1380.0,0.6739130434782609,0.6854864721392867,0.3912000108024348,0.6124117451632687
LSTM,delta,extended,2,1380.0,0.6340579710144928,0.6519375288040693,0.4597012903811275,0.4527868671841988
LSTM,delta,extended,3,1380.0,0.6507246376811594,0.6638365365255537,0.44773309347422224,0.5336227604996084
LSTM,delta,extended,4,1380.0,0.5818840579710145,0.6050632902077329,0.535382584558017,0.32681749990217623
LSTM,delta,extended,8,1380.0,0.6021739130434782,0.6170720222163062,0.5199457455372465,0.33663766198842326
LSTM,delta,extended,12,1380.0,0.5956521739130435,0.6018376599561822,0.49397305435892463,0.42370350789796185
LSTM,level,default,0,828.0,0.501207729468599,0.4224245855983003,0.9996466207259519,-1.1774730916087757
LSTM,level,default,1,828.0,0.47705314009661837,0.38206993249673205,1.023896726631168,-1.3249563036588419
LSTM,level,default,2,828.0,0.5132850241545893,0.42598214156185166,0.9714367901141517,-1.193835069427342
LSTM,level,default,3,828.0,0.5036231884057971,0.4180685183084646,0.8013032326375805,-0.6860711676348545
LSTM,level,default,4,828.0,0.5132850241545893,0.430400545428597,1.0879893304717139,-1.5810426116135194
LSTM,level,default,8,828.0,0.5277777777777778,0.44913994916977606,0.6936471862853437,-0.21927257698074554
LSTM,level,default,12,828.0,0.5398550724637681,0.4485476443499823,0.7392203366194946,-0.4252162981179697
LSTM,level,extended,0,1380.0,0.49492753623188407,0.41507541610885024,1.0115348666258481,-1.1720535649644677
LSTM,level,extended,1,1380.0,0.4688405797101449,0.36776156468775933,1.0623548091213773,-1.3750627546772254
LSTM,level,extended,2,1380.0,0.48840579710144927,0.39795462743909854,1.018712937788687,-1.2608340001659952
LSTM,level,extended,3,1380.0,0.5,0.41302463588935595,0.8245674925437873,-0.7191620794416069
LSTM,level,extended,4,1380.0,0.5094202898550725,0.4256126180122198,1.1242822889184607,-1.605973417924646
LSTM,level,extended,8,1380.0,0.4797101449275362,0.4123629724380813,0.7264716535590697,-0.24338577276432027
LSTM,level,extended,12,1380.0,0.513768115942029,0.42904184150604974,0.778846276562283,-0.49369950737503854
XGBoost,delta,default,0,828.0,0.7089371980676329,0.7026785359904335,0.2890836440918606,0.7504695763939337
XGBoost,delta,default,1,828.0,0.7294685990338164,0.7216140976671226,0.30206983571913515,0.7263688992498205
XGBoost,delta,default,2,828.0,0.7330917874396136,0.73211031115078,0.28919734699599287,0.750864258577828
XGBoost,delta,default,3,828.0,0.714975845410628,0.7119652040256348,0.31965129763174527,0.7136003057613902
XGBoost,delta,default,4,828.0,0.6896135265700483,0.6745299894056271,0.3527455557661381,0.6544152762438981
XGBoost,delta,default,8,828.0,0.6364734299516909,0.613355300837346,0.420782701929594,0.4777173559349409
XGBoost,delta,default,12,828.0,0.6739130434782609,0.6501205123958073,0.4129465527924538,0.5067028803361682
XGBoost,delta,extended,0,1380.0,0.7152173913043478,0.7123983614105273,0.297576011765902,0.7519259883100009
XGBoost,delta,extended,1,1380.0,0.7297101449275363,0.723728042643671,0.30136899996249533,0.7386989766404959
XGBoost,delta,extended,2,1380.0,0.7239130434782609,0.7236556645281043,0.2983672320776486,0.7499235774861266
XGBoost,delta,extended,3,1380.0,0.7094202898550724,0.7071419563428638,0.31508898739651625,0.7347692762355691
XGBoost,delta,extended,4,1380.0,0.6978260869565217,0.6936201978368716,0.3375738463281717,0.7030296539430847
XGBoost,delta,extended,8,1380.0,0.6463768115942029,0.6354955321377848,0.3932798281236137,0.5729780484408935
XGBoost,delta,extended,12,1380.0,0.6768115942028986,0.6628385530531308,0.39289276581412574,0.5841608513045731
XGBoost,level,default,0,828.0,0.711352657004831,0.6893779638477845,0.335317772073094,0.6587096305915732
XGBoost,level,default,1,828.0,0.717391304347826,0.6936170307352685,0.3529001647127944,0.6177639407420888
XGBoost,level,default,2,828.0,0.7089371980676329,0.6922296127579654,0.33410193088254103,0.6718206369418398
XGBoost,level,default,3,828.0,0.6956521739130435,0.6736593198184131,0.3608261380116411,0.6377463655650585
XGBoost,level,default,4,828.0,0.6956521739130435,0.6691236431566898,0.3725592160307719,0.5758683447689583
XGBoost,level,default,8,828.0,0.6678743961352657,0.6372587607856108,0.4314118139351432,0.4543539591480338
XGBoost,level,default,12,828.0,0.6751207729468599,0.6492281474798153,0.42279238866533014,0.44916263498302256
XGBoost,level,extended,0,1380.0,0.7202898550724638,0.697693589858378,0.32638293654892236,0.700492300065506
XGBoost,level,extended,1,1380.0,0.717391304347826,0.6924110234728428,0.3395713564159448,0.6664926518886143
XGBoost,level,extended,2,1380.0,0.7181159420289855,0.6999643914669154,0.3237682699039606,0.7031316384904599
XGBoost,level,extended,3,1380.0,0.6992753623188406,0.6780706310890391,0.34711347563374395,0.6848974094906053
XGBoost,level,extended,4,1380.0,0.6876811594202898,0.6635085384935945,0.3601223823267756,0.6360155791423386
XGBoost,level,extended,8,1380.0,0.6768115942028986,0.648173482510364,0.40459030143605235,0.5400667416725146
XGBoost,level,extended,12,1380.0,0.6797101449275362,0.6528251570347028,0.41946292332404056,0.4934743482179157
