window,lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline
default,agropastoral,0,3,0.3333333333333333,0.14285714285714285,0.2,0.0,0.07142857142857142
default,agropastoral,1,3,0.0,0.11904761904761904,0.0,0.0,0.07142857142857142
default,agropastoral,2,3,0.0,0.11904761904761904,0.0,0.0,0.07142857142857142
default,agropastoral,3,3,0.3333333333333333,0.14285714285714285,0.2,0.0,0.07142857142857142
default,agropastoral,4,3,0.3333333333333333,0.11904761904761904,0.2222222222222222,0.3333333333333333,0.047619047619047616
default,agropastoral,8,3,0.0,0.07142857142857142,0.0,0.0,0.09523809523809523
default,agropastoral,12,3,0.3333333333333333,0.07142857142857142,0.28571428571428575,0.3333333333333333,0.07142857142857142
default,crop_farming,0,21,0.047619047619047616,0.061855670103092786,0.034482758620689655,0.0,0.03264604810996564
default,crop_farming,1,21,0.09523809523809523,0.0429553264604811,0.08333333333333333,0.0,0.03264604810996564
default,crop_farming,2,21,0.09523809523809523,0.06529209621993128,0.0655737704918033,0.0,0.03264604810996564
default,crop_farming,3,21,0.09523809523809523,0.054982817869415807,0.07272727272727271,0.0,0.03264604810996564
default,crop_farming,4,21,0.2857142857142857,0.061855670103092786,0.19047619047619047,0.19047619047619047,0.02577319587628866
default,crop_farming,8,21,0.0,0.041237113402061855,0.0,0.0,0.02577319587628866
default,crop_farming,12,21,0.09523809523809523,0.01718213058419244,0.12121212121212123,0.14285714285714285,0.01718213058419244
default,pastoral,0,22,0.3181818181818182,0.13291139240506328,0.28,0.0,0.13924050632911392
default,pastoral,1,22,0.36363636363636365,0.11392405063291139,0.33333333333333337,0.0,0.13924050632911392
default,pastoral,2,22,0.2727272727272727,0.1518987341772152,0.23076923076923075,0.0,0.13924050632911392
default,pastoral,3,22,0.3181818181818182,0.16455696202531644,0.2545454545454546,0.0,0.13924050632911392
default,pastoral,4,22,0.13636363636363635,0.15822784810126583,0.11999999999999998,0.09090909090909091,0.10759493670886076
default,pastoral,8,22,0.13636363636363635,0.1518987341772152,0.12244897959183673,0.09090909090909091,0.12658227848101267
default,pastoral,12,22,0.22727272727272727,0.12658227848101267,0.21276595744680854,0.18181818181818182,0.10126582278481013
extended,agropastoral,0,7,0.14285714285714285,0.16176470588235295,0.10526315789473685,0.0,0.10294117647058823
extended,agropastoral,1,7,0.0,0.16176470588235295,0.0,0.0,0.10294117647058823
extended,agropastoral,2,7,0.0,0.16176470588235295,0.0,0.0,0.10294117647058823
extended,agropastoral,3,7,0.14285714285714285,0.16176470588235295,0.10526315789473685,0.0,0.10294117647058823
extended,agropastoral,4,7,0.14285714285714285,0.14705882352941177,0.1111111111111111,0.2857142857142857,0.058823529411764705
extended,agropastoral,8,7,0.14285714285714285,0.10294117647058823,0.13333333333333333,0.14285714285714285,0.10294117647058823
extended,agropastoral,12,7,0.14285714285714285,0.14705882352941177,0.1111111111111111,0.2857142857142857,0.08823529411764706
extended,crop_farming,0,32,0.09375,0.05549845837615622,0.06741573033707865,0.0,0.0328879753340185
extended,crop_farming,1,32,0.09375,0.044193216855087356,0.07692307692307691,0.0,0.0328879753340185
extended,crop_farming,2,32,0.125,0.065775950668037,0.07999999999999999,0.0,0.0328879753340185
extended,crop_farming,3,32,0.09375,0.05447070914696814,0.06818181818181818,0.0,0.0328879753340185
extended,crop_farming,4,32,0.21875,0.05447070914696814,0.15217391304347824,0.125,0.02672147995889003
extended,crop_farming,8,32,0.03125,0.050359712230215826,0.024390243902439022,0.03125,0.02877697841726619
extended,crop_farming,12,32,0.125,0.030832476875642344,0.12121212121212122,0.125,0.025693730729701953
extended,pastoral,0,28,0.25,0.10294117647058823,0.22222222222222224,0.0,0.11397058823529412
extended,pastoral,1,28,0.2857142857142857,0.10294117647058823,0.25,0.0,0.11397058823529412
extended,pastoral,2,28,0.21428571428571427,0.11764705882352941,0.18181818181818182,0.0,0.11397058823529412
extended,pastoral,3,28,0.25,0.125,0.20289855072463767,0.0,0.11397058823529412
extended,pastoral,4,28,0.10714285714285714,0.1213235294117647,0.09375,0.07142857142857142,0.10661764705882353
extended,pastoral,8,28,0.17857142857142858,0.1213235294117647,0.15151515151515152,0.14285714285714285,0.10661764705882353
extended,pastoral,12,28,0.21428571428571427,0.125,0.1764705882352941,0.17857142857142858,0.10294117647058823
