window,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,45,0.5085965394973755,0.6490773410780907,-0.08422291278839111,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,1,45,0.4440309405326843,0.5521996813360426,0.21527409553527832,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,2,45,0.49947646260261536,0.6281626315255071,-0.015476584434509277,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,3,45,0.46751996874809265,0.5861260682899858,0.11588704586029053,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,4,45,0.5735042691230774,0.6812370439049856,-0.19432413578033447,0.3648470938205719,0.5070155712930473,0.3384414315223694
default,agropastoral,8,45,0.5631054639816284,0.6746740808252321,-0.17142295837402344,0.42871177196502686,0.5984142458309449,0.07842743396759033
default,agropastoral,12,45,0.522173285484314,0.6293219383169211,-0.019228219985961914,0.4723512530326843,0.6556412961914629,-0.10626280307769775
default,crop_farming,0,603,0.4306039810180664,0.6160062519490057,0.4236866235733032,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,1,603,0.3459969162940979,0.5255394763746142,0.5805317163467407,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,2,603,0.4081452488899231,0.6285995541161665,0.39988207817077637,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,3,603,0.40017497539520264,0.5752116591198403,0.4974910616874695,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,4,603,0.45756983757019043,0.6618172330205244,0.33478111028671265,0.2944584786891937,0.5393069721875395,0.558266282081604
default,crop_farming,8,603,0.4592885375022888,0.6960758348208208,0.2641292214393616,0.3355291783809662,0.621046676291354,0.4142167568206787
default,crop_farming,12,603,0.45485231280326843,0.6872760017654974,0.282617449760437,0.39991724491119385,0.6997555425083017,0.2563284635543823
default,pastoral,0,180,0.43990105390548706,0.5818584108702439,0.1462479829788208,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,1,180,0.37810027599334717,0.4974174411600638,0.37606537342071533,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,2,180,0.4074173867702484,0.5477208544273429,0.24348831176757812,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,3,180,0.42447593808174133,0.5445017682143997,0.25235456228256226,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,4,180,0.44349387288093567,0.566915033644919,0.18953728675842285,0.4063642621040344,0.5519713942088592,0.2317010760307312
default,pastoral,8,180,0.40280041098594666,0.5346418261124464,0.2791864275932312,0.4223296642303467,0.5890271426651705,0.12508130073547363
default,pastoral,12,180,0.5150176286697388,0.6156880719169925,0.0440865159034729,0.45675310492515564,0.6170332993651819,0.039904773235321045
extended,agropastoral,0,75,0.5189809203147888,0.6708910856996321,-0.12656092643737793,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,1,75,0.45296037197113037,0.5873963822643378,0.13639897108078003,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,2,75,0.5288872122764587,0.681753023603202,-0.16333496570587158,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,3,75,0.5096332430839539,0.6550266352545043,-0.07391166687011719,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,4,75,0.6111287474632263,0.7583287240681285,-0.439347505569458,0.36229828000068665,0.5127643066486015,0.34190863370895386
extended,agropastoral,8,75,0.6199005842208862,0.7448630843344949,-0.3886842727661133,0.3710152804851532,0.546550927189599,0.2523266673088074
