window,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.43686380982398987,0.6106105407595949,0.5280938148498535,0.28386515378952026,0.4854176742996214,0.701765239238739
default,1,828,0.35830387473106384,0.5210560958045959,0.6563660502433777,0.28386515378952026,0.4854176742996214,0.701765239238739
default,2,828,0.41295066475868225,0.6119028625534786,0.5260941982269287,0.28386515378952026,0.4854176742996214,0.701765239238739
default,3,828,0.40911784768104553,0.5692820449893072,0.5898128747940063,0.28386515378952026,0.4854176742996214,0.701765239238739
default,4,828,0.4608106017112732,0.6434824646870305,0.47591644525527954,0.3226112723350525,0.5403889079919406,0.6303932666778564
default,8,828,0.4526507258415222,0.6631259372427714,0.44343090057373047,0.3594631254673004,0.6130057037828692,0.5243843793869019
default,12,828,0.47159045934677124,0.6692711920434211,0.4330675005912781,0.41620948910713196,0.6802413919739073,0.4143297076225281
extended,0,1380,0.46408072113990784,0.6376657522924155,0.49526405334472656,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,1,1380,0.3912000060081482,0.5587869856794817,0.6124117374420166,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,2,1380,0.459701269865036,0.6639559043151197,0.4527868628501892,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,3,1380,0.447733074426651,0.6129565016947109,0.5336227416992188,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,4,1380,0.5353826284408569,0.73642307144919,0.32681745290756226,0.32495373487472534,0.5341230847150056,0.645871639251709
extended,8,1380,0.5199457406997681,0.7310320064645291,0.3366376757621765,0.3430747985839844,0.5736373760910783,0.591536819934845
extended,12,1380,0.4939730763435364,0.6813714881502752,0.42370355129241943,0.4051826000213623,0.6470982152632152,0.48022133111953735
