window,lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline
default,agropastoral,0,3,0.0,0.0,0.0,0.0,0.07142857142857142
default,agropastoral,1,3,0.0,0.0,0.0,0.0,0.07142857142857142
default,agropastoral,2,3,0.0,0.0,0.0,0.0,0.07142857142857142
default,agropastoral,3,3,0.0,0.0,0.0,0.0,0.07142857142857142
default,agropastoral,4,3,0.0,0.0,0.0,0.3333333333333333,0.047619047619047616
default,agropastoral,8,3,0.0,0.0,0.0,0.0,0.09523809523809523
default,agropastoral,12,3,0.0,0.0,0.0,0.3333333333333333,0.07142857142857142
default,crop_farming,0,21,0.0,0.0,0.0,0.0,0.03264604810996564
default,crop_farming,1,21,0.0,0.0,0.0,0.0,0.03264604810996564
default,crop_farming,2,21,0.0,0.0,0.0,0.0,0.03264604810996564
default,crop_farming,3,21,0.0,0.0,0.0,0.0,0.03264604810996564
default,crop_farming,4,21,0.0,0.0,0.0,0.19047619047619047,0.02577319587628866
default,crop_farming,8,21,0.0,0.0,0.0,0.0,0.02577319587628866
default,crop_farming,12,21,0.0,0.0,0.0,0.14285714285714285,0.01718213058419244
default,pastoral,0,22,0.0,0.0,0.0,0.0,0.13924050632911392
default,pastoral,1,22,0.0,0.0,0.0,0.0,0.13924050632911392
default,pastoral,2,22,0.0,0.0,0.0,0.0,0.13924050632911392
default,pastoral,3,22,0.0,0.0,0.0,0.0,0.13924050632911392
default,pastoral,4,22,0.0,0.0,0.0,0.09090909090909091,0.10759493670886076
default,pastoral,8,22,0.0,0.0,0.0,0.09090909090909091,0.12658227848101267
default,pastoral,12,22,0.0,0.0,0.0,0.18181818181818182,0.10126582278481013
extended,agropastoral,0,7,0.0,0.0,0.0,0.0,0.10294117647058823
extended,agropastoral,1,7,0.0,0.0,0.0,0.0,0.10294117647058823
extended,agropastoral,2,7,0.0,0.0,0.0,0.0,0.10294117647058823
extended,agropastoral,3,7,0.0,0.0,0.0,0.0,0.10294117647058823
extended,agropastoral,4,7,0.0,0.0,0.0,0.2857142857142857,0.058823529411764705
extended,agropastoral,8,7,0.0,0.0,0.0,0.14285714285714285,0.10294117647058823
extended,agropastoral,12,7,0.0,0.0,0.0,0.2857142857142857,0.08823529411764706
extended,crop_farming,0,32,0.0,0.0,0.0,0.0,0.0328879753340185
extended,crop_farming,1,32,0.0,0.0,0.0,0.0,0.0328879753340185
extended,crop_farming,2,32,0.0,0.0,0.0,0.0,0.0328879753340185
extended,crop_farming,3,32,0.0,0.0,0.0,0.0,0.0328879753340185
extended,crop_farming,4,32,0.0,0.0,0.0,0.125,0.02672147995889003
extended,crop_farming,8,32,0.0,0.0,0.0,0.03125,0.02877697841726619
extended,crop_farming,12,32,0.0,0.0,0.0,0.125,0.025693730729701953
extended,pastoral,0,28,0.0,0.0,0.0,0.0,0.11397058823529412
extended,pastoral,1,28,0.0,0.0,0.0,0.0,0.11397058823529412
extended,pastoral,2,28,0.0,0.0,0.0,0.0,0.11397058823529412
extended,pastoral,3,28,0.0,0.0,0.0,0.0,0.11397058823529412
extended,pastoral,4,28,0.0,0.0,0.0,0.07142857142857142,0.10661764705882353
extended,pastoral,8,28,0.0,0.0,0.0,0.14285714285714285,0.10661764705882353
extended,pastoral,12,28,0.0,0.0,0.0,0.17857142857142858,0.10294117647058823
