window,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.9996466040611267,1.3116345958513207,-1.1774730682373047,0.28386515378952026,0.4854176742996214,0.701765239238739
default,1,828,1.0238966941833496,1.3553262685155991,-1.3249564170837402,0.28386515378952026,0.4854176742996214,0.701765239238739
default,2,828,0.9714368581771851,1.3165533057235181,-1.1938350200653076,0.28386515378952026,0.4854176742996214,0.701765239238739
default,3,828,0.8013032078742981,1.1541822863920814,-0.6860711574554443,0.28386515378952026,0.4854176742996214,0.701765239238739
default,4,828,1.0879894495010376,1.42801923297571,-1.5810425281524658,0.3226112723350525,0.5403889079919406,0.6303932666778564
default,8,828,0.6936472058296204,0.9814922264615246,-0.21927261352539062,0.3594631254673004,0.6130057037828692,0.5243843793869019
default,12,828,0.739220380783081,1.0611501421637621,-0.42521631717681885,0.41620948910713196,0.6802413919739073,0.4143297076225281
extended,0,1380,1.0115348100662231,1.3228062661229314,-1.172053575515747,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,1,1380,1.0623548030853271,1.38324312735594,-1.3750627040863037,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,2,1380,1.0187129974365234,1.349569670649346,-1.260833978652954,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,3,1380,0.824567437171936,1.1768453351788113,-0.719162106513977,0.2956467866897583,0.494300153108558,0.6967089772224426
extended,4,1380,1.1242822408676147,1.448925225075928,-1.605973482131958,0.32495373487472534,0.5341230847150056,0.645871639251709
extended,8,1380,0.7264716625213623,1.000838285990289,-0.24338579177856445,0.3430747985839844,0.5736373760910783,0.591536819934845
extended,12,1380,0.778846263885498,1.096964553698488,-0.4936995506286621,0.4051826000213623,0.6470982152632152,0.48022133111953735
