window,lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline
default,agropastoral,0,7,0.42857142857142855,0.10526315789473684,0.42857142857142855,0.0,0.18421052631578946
default,agropastoral,1,7,0.14285714285714285,0.15789473684210525,0.14285714285714285,0.0,0.18421052631578946
default,agropastoral,2,7,0.2857142857142857,0.13157894736842105,0.2857142857142857,0.0,0.18421052631578946
default,agropastoral,3,7,0.0,0.13157894736842105,0.0,0.0,0.18421052631578946
default,agropastoral,4,7,0.14285714285714285,0.15789473684210525,0.14285714285714285,0.14285714285714285,0.10526315789473684
default,agropastoral,8,7,0.2857142857142857,0.07894736842105263,0.3333333333333333,0.0,0.13157894736842105
default,agropastoral,12,7,0.14285714285714285,0.13157894736842105,0.15384615384615383,0.14285714285714285,0.10526315789473684
default,crop_farming,0,68,0.1323529411764706,0.08598130841121496,0.1463414634146341,0.029411764705882353,0.0616822429906542
default,crop_farming,1,68,0.11764705882352941,0.07476635514018691,0.13793103448275862,0.029411764705882353,0.0616822429906542
default,crop_farming,2,68,0.04411764705882353,0.08224299065420561,0.052173913043478265,0.029411764705882353,0.0616822429906542
default,crop_farming,3,68,0.04411764705882353,0.0616822429906542,0.057692307692307696,0.029411764705882353,0.0616822429906542
default,crop_farming,4,68,0.058823529411764705,0.037383177570093455,0.08695652173913045,0.1323529411764706,0.041121495327102804
default,crop_farming,8,68,0.029411764705882353,0.05794392523364486,0.039603960396039604,0.014705882352941176,0.04672897196261682
default,crop_farming,12,68,0.04411764705882353,0.03551401869158879,0.06666666666666667,0.11764705882352941,0.03364485981308411
default,pastoral,0,21,0.09523809523809523,0.11320754716981132,0.0975609756097561,0.0,0.15723270440251572
default,pastoral,1,21,0.14285714285714285,0.13836477987421383,0.13043478260869565,0.0,0.15723270440251572
default,pastoral,2,21,0.0,0.12578616352201258,0.0,0.0,0.15723270440251572
default,pastoral,3,21,0.047619047619047616,0.14465408805031446,0.044444444444444446,0.0,0.15723270440251572
default,pastoral,4,21,0.0,0.12578616352201258,0.0,0.047619047619047616,0.1509433962264151
default,pastoral,8,21,0.09523809523809523,0.16981132075471697,0.08,0.19047619047619047,0.14465408805031446
default,pastoral,12,21,0.19047619047619047,0.07547169811320754,0.2162162162162162,0.14285714285714285,0.1320754716981132
extended,agropastoral,0,12,0.3333333333333333,0.14285714285714285,0.32,0.0,0.19047619047619047
extended,agropastoral,1,12,0.08333333333333333,0.19047619047619047,0.08,0.0,0.19047619047619047
extended,agropastoral,2,12,0.16666666666666666,0.15873015873015872,0.16666666666666666,0.0,0.19047619047619047
extended,agropastoral,3,12,0.0,0.14285714285714285,0.0,0.0,0.19047619047619047
extended,agropastoral,4,12,0.08333333333333333,0.1111111111111111,0.1,0.16666666666666666,0.12698412698412698
extended,agropastoral,8,12,0.16666666666666666,0.09523809523809523,0.2,0.08333333333333333,0.1746031746031746
extended,agropastoral,12,12,0.25,0.07936507936507936,0.3,0.16666666666666666,0.15873015873015872
extended,crop_farming,0,109,0.11009174311926606,0.07366071428571429,0.12834224598930483,0.01834862385321101,0.05803571428571429
extended,crop_farming,1,109,0.11009174311926606,0.07142857142857142,0.12972972972972974,0.01834862385321101,0.05803571428571429
extended,crop_farming,2,109,0.06422018348623854,0.07477678571428571,0.07650273224043716,0.01834862385321101,0.05803571428571429
extended,crop_farming,3,109,0.06422018348623854,0.05803571428571429,0.08333333333333333,0.01834862385321101,0.05803571428571429
extended,crop_farming,4,109,0.11926605504587157,0.0390625,0.1656050955414013,0.09174311926605505,0.046875
extended,crop_farming,8,109,0.10091743119266056,0.05803571428571429,0.12790697674418605,0.09174311926605505,0.044642857142857144
extended,crop_farming,12,109,0.10091743119266056,0.025669642857142856,0.15384615384615385,0.10091743119266056,0.044642857142857144
extended,pastoral,0,31,0.12903225806451613,0.08178438661710037,0.14035087719298245,0.03225806451612903,0.11895910780669144
extended,pastoral,1,31,0.16129032258064516,0.10408921933085502,0.15625,0.03225806451612903,0.11895910780669144
extended,pastoral,2,31,0.06451612903225806,0.08921933085501858,0.07017543859649122,0.03225806451612903,0.11895910780669144
extended,pastoral,3,31,0.12903225806451613,0.11895910780669144,0.11940298507462685,0.03225806451612903,0.11895910780669144
extended,pastoral,4,31,0.06451612903225806,0.10037174721189591,0.06666666666666667,0.12903225806451613,0.11895910780669144
extended,pastoral,8,31,0.1935483870967742,0.11152416356877323,0.1791044776119403,0.22580645161290322,0.11524163568773234
extended,pastoral,12,31,0.1935483870967742,0.07063197026022305,0.21428571428571427,0.16129032258064516,0.11895910780669144
