window,lead,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.6835748792270532,0.6822109050034297,0.32971014492753625,0.5968921118901764,0.6224939570595762,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,1,828,0.6811594202898551,0.6771752892842063,0.33454106280193235,0.6089112799578469,0.6071377790416608,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,2,828,0.6690821256038647,0.6592885341070813,0.3466183574879227,0.6187489325614176,0.5943409640267312,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,3,828,0.6388888888888888,0.6181871507850729,0.3804347826086957,0.6510860492118233,0.5508317929759705,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,4,828,0.6268115942028986,0.6037519403077686,0.40458937198067635,0.6854245131923895,0.5022038959192379,0.6413043478260869,0.6239556338353359,0.4142512077294686,0.7331027305409318,0.43054173183563205
default,8,828,0.607487922705314,0.5779198353023225,0.4492753623188406,0.7566133544393345,0.39343096829233615,0.5978260869565217,0.5695826281602017,0.4746376811594203,0.8008148024519071,0.3204891227072373
default,12,828,0.6376811594202898,0.6165056977716604,0.4251207729468599,0.7485896562402875,0.4062277833072657,0.5905797101449275,0.5533816025941645,0.5169082125603864,0.8681147322824312,0.20147874306839186
extended,0,1380,0.6702898550724637,0.6621289528080824,0.34130434782608693,0.6037323526391379,0.619152439429195,0.6485507246376812,0.6347570997523775,0.3927536231884058,0.6915640748081247,0.5002795427897986
extended,1,1380,0.6710144927536232,0.6616836328788008,0.34202898550724636,0.6091095901015048,0.6123380695581468,0.6485507246376812,0.6347570997523775,0.3927536231884058,0.6915640748081247,0.5002795427897986
extended,2,1380,0.6543478260869565,0.6361991221872099,0.3601449275362319,0.6261221809736869,0.5903806555292137,0.6485507246376812,0.6347570997523775,0.3927536231884058,0.6915640748081247,0.5002795427897986
extended,3,1380,0.658695652173913,0.6324136259963424,0.358695652173913,0.6295846341789187,0.5858377422818483,0.6485507246376812,0.6347570997523775,0.3927536231884058,0.6915640748081247,0.5002795427897986
extended,4,1380,0.6210144927536232,0.5925431363981633,0.4057971014492754,0.6788737476271942,0.5184511957792606,0.631159420289855,0.6154744373991083,0.413768115942029,0.7147514009901564,0.4662076934345576
extended,8,1380,0.6304347826086957,0.5995896229395534,0.413768115942029,0.7137368491643629,0.46772199785034607,0.6144927536231884,0.5945610632363598,0.4398550724637681,0.7503622313662046,0.41169273446617205
extended,12,1380,0.6210144927536232,0.5915804419758335,0.4318840579710145,0.7372097807744856,0.4321358440793166,0.5847826086956521,0.5606021196892904,0.4963768115942029,0.8195969316894632,0.2981199032820353
