window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.4472897335987068,0.3570689768398932,0.5120772946859904
default,1,828,0.16777459691857396,0.25655892911869005,0.31521739130434784
default,2,828,0.30021315023421086,0.22738486612988607,0.38405797101449274
default,3,828,0.39563131464402623,0.368315507533635,0.3756038647342995
default,4,828,0.37657526699279675,0.291011777067554,0.4758454106280193
default,8,828,0.26730472405064115,0.2760277571034543,0.358695652173913
default,12,828,0.35093582749432506,0.2993766691475855,0.4106280193236715
extended,0,1656,0.4238969690459804,0.32831871753748365,0.4643719806763285
extended,1,1656,0.15064400280778625,0.2532610504131773,0.30434782608695654
extended,2,1656,0.3330797110559902,0.22863142404731213,0.36533816425120774
extended,3,1656,0.31664018868537763,0.2897275804037654,0.28200483091787437
extended,4,1656,0.3372883270001824,0.27189007819865785,0.45893719806763283
extended,8,1656,0.2067406504226227,0.2628084964782874,0.32608695652173914
extended,12,1656,0.26265307945765404,0.27460484720758693,0.3526570048309179
