ipc_class,precision,recall,f1,support,window,lead
Minimal,0.36363636363636365,0.02197802197802198,0.04145077720207254,364,default,0
Stressed,0.0,0.0,0.0,251,default,0
Crisis,0.0,0.0,0.0,165,default,0
Emergency,0.05974025974025974,0.9583333333333334,0.11246943765281174,48,default,0
Famine,0.0,0.0,0.0,0,default,0
Minimal,0.48118279569892475,0.49175824175824173,0.48641304347826086,364,default,1
Stressed,0.4090909090909091,0.46613545816733065,0.43575418994413406,251,default,1
Crisis,0.18235294117647058,0.18787878787878787,0.18507462686567164,165,default,1
Emergency,0.0,0.0,0.0,48,default,1
Famine,0.0,0.0,0.0,0,default,1
Minimal,0.4423076923076923,0.695054945054945,0.5405982905982906,364,default,2
Stressed,0.2952755905511811,0.29880478087649404,0.297029702970297,251,default,2
Crisis,0.0,0.0,0.0,165,default,2
Emergency,0.0,0.0,0.0,48,default,2
Famine,0.0,0.0,0.0,0,default,2
Minimal,0.41784037558685444,0.489010989010989,0.4506329113924051,364,default,3
Stressed,0.31840796019900497,0.5099601593625498,0.39203675344563554,251,default,3
Crisis,0.0,0.0,0.0,165,default,3
Emergency,0.0,0.0,0.0,48,default,3
Famine,0.0,0.0,0.0,0,default,3
Minimal,0.532608695652174,0.1346153846153846,0.2149122807017544,364,default,4
Stressed,0.5757575757575758,0.15139442231075698,0.23974763406940064,251,default,4
Crisis,0.0,0.0,0.0,165,default,4
Emergency,0.16,0.08333333333333333,0.1095890410958904,48,default,4
Famine,0.0,0.0,0.0,0,default,4
Minimal,0.0,0.0,0.0,364,default,8
Stressed,0.3031400966183575,1.0,0.4652455977757183,251,default,8
Crisis,0.0,0.0,0.0,165,default,8
Emergency,0.0,0.0,0.0,48,default,8
Famine,0.0,0.0,0.0,0,default,8
Minimal,0.4396135265700483,1.0,0.610738255033557,364,default,12
Stressed,0.0,0.0,0.0,251,default,12
Crisis,0.0,0.0,0.0,165,default,12
Emergency,0.0,0.0,0.0,48,default,12
Famine,0.0,0.0,0.0,0,default,12
Minimal,0.21649484536082475,0.028767123287671233,0.05078597339782346,730,extended,0
Stressed,0.125,0.0020242914979757085,0.00398406374501992,494,extended,0
Crisis,0.0,0.0,0.0,343,extended,0
Emergency,0.05652173913043478,0.8764044943820225,0.10619469026548672,89,extended,0
Famine,0.0,0.0,0.0,0,extended,0
Minimal,0.5056818181818182,0.6095890410958904,0.5527950310559007,730,extended,1
Stressed,0.4231404958677686,0.5182186234817814,0.4658780709736124,494,extended,1
Crisis,0.18235294117647058,0.09037900874635568,0.12085769980506822,343,extended,1
Emergency,0.0,0.0,0.0,89,extended,1
Famine,0.0,0.0,0.0,0,extended,1
Minimal,0.42448979591836733,0.5698630136986301,0.4865497076023392,730,extended,2
Stressed,0.3037383177570093,0.39473684210526316,0.34330985915492956,494,extended,2
Crisis,0.0,0.0,0.0,343,extended,2
Emergency,0.0,0.0,0.0,89,extended,2
Famine,0.0,0.0,0.0,0,extended,2
Minimal,0.44341994970662196,0.7246575342465753,0.5501820072802912,730,extended,3
Stressed,0.31317494600431967,0.2935222672064777,0.30303030303030304,494,extended,3
Crisis,0.0,0.0,0.0,343,extended,3
Emergency,0.0,0.0,0.0,89,extended,3
Famine,0.0,0.0,0.0,0,extended,3
Minimal,0.532608695652174,0.06712328767123288,0.1192214111922141,730,extended,4
Stressed,0.4642857142857143,0.07894736842105263,0.13494809688581316,494,extended,4
Crisis,0.0,0.0,0.0,343,extended,4
Emergency,0.14285714285714285,0.0449438202247191,0.06837606837606838,89,extended,4
Famine,0.0,0.0,0.0,0,extended,4
Minimal,0.0,0.0,0.0,730,extended,8
Stressed,0.3001841620626151,0.9898785425101214,0.46066886481394254,494,extended,8
Crisis,0.2916666666666667,0.02040816326530612,0.03814713896457766,343,extended,8
Emergency,0.6666666666666666,0.02247191011235955,0.043478260869565216,89,extended,8
Famine,0.0,0.0,0.0,0,extended,8
Minimal,0.4421562689279225,1.0,0.6131877362452751,730,extended,12
Stressed,0.0,0.0,0.0,494,extended,12
Crisis,0.0,0.0,0.0,343,extended,12
Emergency,0.0,0.0,0.0,89,extended,12
Famine,0.0,0.0,0.0,0,extended,12
