livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.49077532541029995,0.4166666666666667,0.5777777777777777,default,0
crop_farming,603,0.13371018018362152,0.25797969918326447,0.2669983416252073,default,0
pastoral,180,0.2949192782526116,0.2765957446808511,0.4111111111111111,default,0
agropastoral,45,0.37743589743589745,0.3194444444444445,0.5111111111111111,default,1
crop_farming,603,0.14980346038352405,0.22691107780256553,0.25870646766169153,default,1
pastoral,180,0.19352552552552554,0.3177083333333333,0.3388888888888889,default,1
agropastoral,45,0.3943589743589743,0.34259259259259256,0.5111111111111111,default,2
crop_farming,603,0.23382388435251708,0.2637818948689348,0.32172470978441126,default,2
pastoral,180,0.1972530349583862,0.32427415780141844,0.35,default,2
agropastoral,45,0.40505050505050505,0.35648148148148145,0.5333333333333333,default,3
crop_farming,603,0.35456834969804074,0.2954022587841606,0.4013266998341625,default,3
pastoral,180,0.1888427846934071,0.25,0.35555555555555557,default,3
agropastoral,45,0.5627303514095967,0.5092592592592592,0.6,default,4
crop_farming,603,0.22878295832410708,0.2494313455339503,0.2504145936981758,default,4
pastoral,180,0.34347393359286643,0.3126385195035461,0.37777777777777777,default,4
agropastoral,45,0.40888888888888886,0.36574074074074076,0.5111111111111111,default,8
crop_farming,603,0.31166037542430747,0.2615161391522588,0.3548922056384743,default,8
pastoral,180,0.17102672292545712,0.22265625,0.31666666666666665,default,8
agropastoral,45,0.5881394591072011,0.5324074074074074,0.6,default,12
crop_farming,603,0.261371187412622,0.30196755922277785,0.2835820895522388,default,12
pastoral,180,0.42445459157787924,0.27667885638297873,0.45555555555555555,default,12
agropastoral,90,0.5036030937558951,0.4153846153846154,0.5777777777777777,extended,0
crop_farming,1206,0.14085312303575595,0.28009140598462157,0.2744610281923715,extended,0
pastoral,360,0.28390648588668393,0.2777777777777778,0.4,extended,0
agropastoral,90,0.4053067993366501,0.30128205128205127,0.5222222222222223,extended,1
crop_farming,1206,0.14622293567263375,0.22919175699183728,0.25538971807628524,extended,1
pastoral,360,0.17585571067291964,0.26555299539170507,0.3194444444444444,extended,1
agropastoral,90,0.432348511180628,0.33262108262108264,0.5555555555555556,extended,2
crop_farming,1206,0.17420584106546266,0.2523122401484505,0.2827529021558872,extended,2
pastoral,360,0.18433023580022356,0.274379160266257,0.3333333333333333,extended,2
agropastoral,90,0.44302843439534084,0.3454415954415954,0.5777777777777777,extended,3
crop_farming,1206,0.2599674193757511,0.27630469690887194,0.3383084577114428,extended,3
pastoral,360,0.1775929775929776,0.25,0.34444444444444444,extended,3
agropastoral,90,0.41048642452897777,0.4326210826210826,0.4444444444444444,extended,4
crop_farming,1206,0.15601271074112175,0.24404106531766107,0.1932006633499171,extended,4
pastoral,360,0.32496124570035706,0.23629672299027138,0.35,extended,4
agropastoral,90,0.44967320261437904,0.35113960113960113,0.5666666666666667,extended,8
crop_farming,1206,0.22836323294778904,0.25655693831125387,0.3092868988391376,extended,8
pastoral,360,0.1689727463312369,0.23588709677419356,0.325,extended,8
agropastoral,90,0.37857271906052403,0.4126780626780627,0.3888888888888889,extended,12
crop_farming,1206,0.1904470921825458,0.277689448915864,0.22802653399668324,extended,12
pastoral,360,0.40025896519621595,0.25165770609318994,0.4305555555555556,extended,12
