ipc_class,precision,recall,f1,support,window,lead
Minimal,0.44499381953028433,0.989010989010989,0.6138107416879796,364,default,0
Stressed,0.0,0.0,0.0,251,default,0
Crisis,0.0,0.0,0.0,165,default,0
Emergency,0.10526315789473684,0.041666666666666664,0.05970149253731343,48,default,0
Famine,0.0,0.0,0.0,0,default,0
Minimal,0.0,0.0,0.0,364,default,1
Stressed,0.3031400966183575,1.0,0.4652455977757183,251,default,1
Crisis,0.0,0.0,0.0,165,default,1
Emergency,0.0,0.0,0.0,48,default,1
Famine,0.0,0.0,0.0,0,default,1
Minimal,0.7164948453608248,0.38186813186813184,0.4982078853046595,364,default,2
Stressed,0.3580441640378549,0.9043824701195219,0.5129943502824859,251,default,2
Crisis,0.0,0.0,0.0,165,default,2
Emergency,0.0,0.0,0.0,48,default,2
Famine,0.0,0.0,0.0,0,default,2
Minimal,0.7916666666666666,0.1043956043956044,0.18446601941747573,364,default,3
Stressed,0.31025641025641026,0.9641434262948207,0.469447138700291,251,default,3
Crisis,0.0,0.0,0.0,165,default,3
Emergency,0.0,0.0,0.0,48,default,3
Famine,0.0,0.0,0.0,0,default,3
Minimal,0.75,0.11538461538461539,0.2,364,default,4
Stressed,0.31088082901554404,0.9561752988047809,0.46920821114369504,251,default,4
Crisis,0.0,0.0,0.0,165,default,4
Emergency,0.0,0.0,0.0,48,default,4
Famine,0.0,0.0,0.0,0,default,4
Minimal,0.44704433497536944,0.9972527472527473,0.6173469387755102,364,default,8
Stressed,0.875,0.055776892430278883,0.10486891385767791,251,default,8
Crisis,0.0,0.0,0.0,165,default,8
Emergency,0.0,0.0,0.0,48,default,8
Famine,0.0,0.0,0.0,0,default,8
Minimal,0.44271570014144274,0.8598901098901099,0.5845004668534081,364,default,12
Stressed,0.0,0.0,0.0,251,default,12
Crisis,0.0,0.0,0.0,165,default,12
Emergency,0.0,0.0,0.0,48,default,12
Famine,0.0,0.0,0.0,0,default,12
Minimal,0.44519704433497537,0.9904109589041096,0.6142735768903993,730,extended,0
Stressed,0.0,0.0,0.0,494,extended,0
Crisis,0.0,0.0,0.0,343,extended,0
Emergency,0.0625,0.02247191011235955,0.03305785123966942,89,extended,0
Famine,0.0,0.0,0.0,0,extended,0
Minimal,0.0,0.0,0.0,730,extended,1
Stressed,0.29830917874396135,1.0,0.4595348837209302,494,extended,1
Crisis,0.0,0.0,0.0,343,extended,1
Emergency,0.0,0.0,0.0,89,extended,1
Famine,0.0,0.0,0.0,0,extended,1
Minimal,0.729064039408867,0.20273972602739726,0.3172561629153269,730,extended,2
Stressed,0.3234686854783207,0.951417004048583,0.482794042116076,494,extended,2
Crisis,0.0,0.0,0.0,343,extended,2
Emergency,0.0,0.0,0.0,89,extended,2
Famine,0.0,0.0,0.0,0,extended,2
Minimal,0.7916666666666666,0.052054794520547946,0.09768637532133675,730,extended,3
Stressed,0.30161691542288555,0.9817813765182186,0.461465271170314,494,extended,3
Crisis,0.0,0.0,0.0,343,extended,3
Emergency,0.0,0.0,0.0,89,extended,3
Famine,0.0,0.0,0.0,0,extended,3
Minimal,0.75,0.057534246575342465,0.10687022900763359,730,extended,4
Stressed,0.301875,0.9777327935222672,0.46131805157593125,494,extended,4
Crisis,0.0,0.0,0.0,343,extended,4
Emergency,0.0,0.0,0.0,89,extended,4
Famine,0.0,0.0,0.0,0,extended,4
Minimal,0.4445121951219512,0.9986301369863013,0.6151898734177215,730,extended,8
Stressed,0.875,0.02834008097165992,0.054901960784313725,494,extended,8
Crisis,0.0,0.0,0.0,343,extended,8
Emergency,0.0,0.0,0.0,89,extended,8
Famine,0.0,0.0,0.0,0,extended,8
Minimal,0.4443717277486911,0.9301369863013699,0.6014171833480957,730,extended,12
Stressed,0.0,0.0,0.0,494,extended,12
Crisis,0.0,0.0,0.0,343,extended,12
Emergency,0.0078125,0.011235955056179775,0.009216589861751152,89,extended,12
Famine,0.0,0.0,0.0,0,extended,12
