window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.2733004608891493,0.25766941391941395,0.43719806763285024
default,1,828,0.14103459546099673,0.25,0.3031400966183575
default,2,828,0.37452808233309176,0.32156265049691346,0.4420289855072464
default,3,828,0.22340200831127316,0.2671347576726063,0.33816425120772947
default,4,828,0.23015852777423604,0.2678899785473491,0.34057971014492755
default,8,828,0.30318403755140444,0.2632574099207565,0.4553140096618358
default,12,828,0.2569543115152663,0.21497252747252749,0.3780193236714976
extended,0,1656,0.2725615095956051,0.25322071725411727,0.43780193236714976
extended,1,1656,0.13708347376699248,0.25,0.29830917874396135
extended,2,1656,0.28387515442846023,0.2885391825189951,0.37318840579710144
extended,3,1656,0.18072155672869017,0.2584590427596916,0.31582125603864736
extended,4,1656,0.18472607768966337,0.2588167600244024,0.3170289855072464
extended,8,1656,0.28756653153525824,0.2567425544894903,0.44867149758454106
extended,12,1656,0.26561281421606625,0.23534323533938742,0.4106280193236715
