livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.06923076923076923,0.3333333333333333,0.2,default,0
crop_farming,603,0.43486758312628954,0.26440047021943575,0.5804311774461028,default,0
pastoral,180,0.0005681818181818182,0.25,0.016666666666666666,default,0
agropastoral,45,0.3710144927536232,0.3333333333333333,0.5333333333333333,default,1
crop_farming,603,0.11504271505830292,0.25,0.2703150912106136,default,1
pastoral,180,0.18652094717668488,0.25,0.35555555555555557,default,1
agropastoral,45,0.43629032258064515,0.40277777777777773,0.5333333333333333,default,2
crop_farming,603,0.43223126670359696,0.3189835471277189,0.4660033167495854,default,2
pastoral,180,0.18302859821847164,0.23828125,0.3388888888888889,default,2
agropastoral,45,0.40253279059249214,0.35648148148148145,0.5333333333333333,default,3
crop_farming,603,0.22492171100573813,0.2640084704406023,0.31840796019900497,default,3
pastoral,180,0.18652094717668488,0.25,0.35555555555555557,default,3
agropastoral,45,0.40505050505050505,0.35648148148148145,0.5333333333333333,default,4
crop_farming,603,0.23232390569896594,0.2646054099274958,0.32172470978441126,default,4
pastoral,180,0.19179063360881546,0.3294270833333333,0.35555555555555557,default,4
agropastoral,45,0.1512820512820513,0.3611111111111111,0.24444444444444444,default,8
crop_farming,603,0.44061732930391384,0.25389099972113777,0.5870646766169154,default,8
pastoral,180,0.08706452116856742,0.28515625,0.06666666666666667,default,8
agropastoral,45,0.058333333333333334,0.25925925925925924,0.15555555555555556,default,12
crop_farming,603,0.40882461020576416,0.21661931818181818,0.5058043117744611,default,12
pastoral,180,0.00021929824561403506,0.08333333333333333,0.005555555555555556,default,12
agropastoral,90,0.06792452830188679,0.3333333333333333,0.2,extended,0
crop_farming,1206,0.4339578022801251,0.2600177304964539,0.5804311774461028,extended,0
pastoral,360,0.000760397268777157,0.25,0.019444444444444445,extended,0
agropastoral,90,0.42316118935837244,0.3333333333333333,0.5777777777777777,extended,1
crop_farming,1206,0.11004034943393268,0.25,0.263681592039801,extended,1
pastoral,360,0.17649219467401284,0.25,0.34444444444444444,extended,1
agropastoral,90,0.4840923587192244,0.3881766381766381,0.5888888888888889,extended,2
crop_farming,1206,0.3069509057297816,0.28691288639100765,0.3681592039800995,extended,2
pastoral,360,0.17474959235965523,0.2439516129032258,0.33611111111111114,extended,2
agropastoral,90,0.44095238095238093,0.3454415954415954,0.5777777777777777,extended,3
crop_farming,1206,0.16821215469565712,0.2568312591997859,0.2877280265339967,extended,3
pastoral,360,0.17649219467401284,0.25,0.34444444444444444,extended,3
agropastoral,90,0.44302843439534084,0.3454415954415954,0.5777777777777777,extended,4
crop_farming,1206,0.1724881342272999,0.25710892546500735,0.28938640132669985,extended,4
pastoral,360,0.18011628502638183,0.28369815668202764,0.34444444444444444,extended,4
agropastoral,90,0.1107228822113518,0.3461538461538462,0.2222222222222222,extended,8
crop_farming,1206,0.43652558017204546,0.2520038806369597,0.5862354892205639,extended,8
pastoral,360,0.04703118394953338,0.26814516129032256,0.044444444444444446,extended,8
agropastoral,90,0.06274509803921569,0.2962962962962963,0.17777777777777778,extended,12
crop_farming,1206,0.4219986190823174,0.23333333333333334,0.5456053067993366,extended,12
pastoral,360,0.0038637030604902088,0.1836734693877551,0.016666666666666666,extended,12
