ipc_class,precision,recall,f1,support,window,lead
Minimal,0.7575757575757576,0.13736263736263737,0.23255813953488372,364,default,0
Stressed,0.3122476446837147,0.9243027888446215,0.46680080482897385,251,default,0
Crisis,0.2222222222222222,0.024242424242424242,0.04371584699453552,165,default,0
Emergency,0.0,0.0,0.0,48,default,0
Famine,0.0,0.0,0.0,0,default,0
Minimal,0.7790697674418605,0.18406593406593408,0.29777777777777775,364,default,1
Stressed,0.47513812154696133,0.6852589641434262,0.5611745513866232,251,default,1
Crisis,0.24274406332453827,0.5575757575757576,0.3382352941176471,165,default,1
Emergency,0.0,0.0,0.0,48,default,1
Famine,0.0,0.0,0.0,0,default,1
Minimal,0.6484375,0.22802197802197802,0.33739837398373984,364,default,2
Stressed,0.4591194968553459,0.5816733067729084,0.5131810193321616,251,default,2
Crisis,0.2513089005235602,0.5818181818181818,0.3510054844606947,165,default,2
Emergency,0.0,0.0,0.0,48,default,2
Famine,0.0,0.0,0.0,0,default,2
Minimal,0.6358381502890174,0.3021978021978022,0.409683426443203,364,default,3
Stressed,0.48863636363636365,0.5139442231075697,0.5009708737864078,251,default,3
Crisis,0.25831202046035806,0.6121212121212121,0.36330935251798563,165,default,3
Emergency,0.0,0.0,0.0,48,default,3
Famine,0.0,0.0,0.0,0,default,3
Minimal,0.6551724137931034,0.3131868131868132,0.42379182156133827,364,default,4
Stressed,0.5044642857142857,0.450199203187251,0.47578947368421054,251,default,4
Crisis,0.24883720930232558,0.6484848484848484,0.3596638655462185,165,default,4
Emergency,0.0,0.0,0.0,48,default,4
Famine,0.0,0.0,0.0,0,default,4
Minimal,0.6780487804878049,0.7637362637362637,0.7183462532299741,364,default,8
Stressed,0.418848167539267,0.6374501992031872,0.5055292259083728,251,default,8
Crisis,0.5,0.01818181818181818,0.03508771929824561,165,default,8
Emergency,0.30434782608695654,0.14583333333333334,0.19718309859154928,48,default,8
Famine,0.0,0.0,0.0,0,default,8
Minimal,0.7014563106796117,0.7939560439560439,0.7448453608247423,364,default,12
Stressed,0.41952506596306066,0.6334661354581673,0.5047619047619047,251,default,12
Crisis,0.5,0.006060606060606061,0.011976047904191617,165,default,12
Emergency,0.34782608695652173,0.16666666666666666,0.22535211267605634,48,default,12
Famine,0.0,0.0,0.0,0,default,12
Minimal,0.7575757575757576,0.0684931506849315,0.12562814070351758,730,extended,0
Stressed,0.3030888030888031,0.9534412955465587,0.4599609375,494,extended,0
Crisis,0.14285714285714285,0.014577259475218658,0.026455026455026454,343,extended,0
Emergency,0.0,0.0,0.0,89,extended,0
Famine,0.0,0.0,0.0,0,extended,0
Minimal,0.7790697674418605,0.09178082191780822,0.1642156862745098,730,extended,1
Stressed,0.463623395149786,0.6578947368421053,0.5439330543933054,494,extended,1
Crisis,0.22465437788018433,0.5685131195335277,0.3220478943022296,343,extended,1
Emergency,0.0,0.0,0.0,89,extended,1
Famine,0.0,0.0,0.0,0,extended,1
Minimal,0.6484375,0.1136986301369863,0.19347319347319347,730,extended,2
Stressed,0.4449612403100775,0.5809716599190283,0.5039508340649693,494,extended,2
Crisis,0.2276330690826727,0.5860058309037901,0.3278955954323002,343,extended,2
Emergency,0.0,0.0,0.0,89,extended,2
Famine,0.0,0.0,0.0,0,extended,2
Minimal,0.6358381502890174,0.1506849315068493,0.24363233665559247,730,extended,3
Stressed,0.47368421052631576,0.5647773279352226,0.5152354570637119,494,extended,3
Crisis,0.23292273236282196,0.6064139941690962,0.3365695792880259,343,extended,3
Emergency,0.0,0.0,0.0,89,extended,3
Famine,0.0,0.0,0.0,0,extended,3
Minimal,0.6477272727272727,0.15616438356164383,0.25165562913907286,730,extended,4
Stressed,0.47959183673469385,0.3805668016194332,0.42437923250564336,494,extended,4
Crisis,0.22518382352941177,0.7142857142857143,0.3424178895877009,343,extended,4
Emergency,0.0,0.0,0.0,89,extended,4
Famine,0.0,0.0,0.0,0,extended,4
Minimal,0.7181409295352323,0.6561643835616439,0.6857551896921976,730,extended,8
Stressed,0.388646288209607,0.7206477732793523,0.5049645390070922,494,extended,8
Crisis,0.5555555555555556,0.014577259475218658,0.028409090909090908,343,extended,8
Emergency,0.1509433962264151,0.0898876404494382,0.11267605633802817,89,extended,8
Famine,0.0,0.0,0.0,0,extended,8
Minimal,0.7002724795640327,0.7041095890410959,0.7021857923497268,730,extended,12
Stressed,0.4052757793764988,0.6842105263157895,0.5090361445783133,494,extended,12
Crisis,0.4444444444444444,0.011661807580174927,0.022727272727272728,343,extended,12
Emergency,0.2,0.1348314606741573,0.1610738255033557,89,extended,12
Famine,0.0,0.0,0.0,0,extended,12
