window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.2524532361797928,0.27147696261242077,0.34541062801932365
default,1,828,0.3684236075344991,0.3567251639462795,0.3997584541062802
default,2,828,0.3738373779208557,0.34787836665326705,0.392512077294686
default,3,828,0.4043653378154371,0.357065809356646,0.4106280193236715
default,4,828,0.40220763135047105,0.35296771621472817,0.4033816425120773
default,8,828,0.4874639303083539,0.39130040361365054,0.5410628019323671
default,12,828,0.49590809027546684,0.400037363035371,0.5519323671497585
extended,0,1656,0.19806963762840696,0.2591279264266772,0.3176328502415459
extended,1,1656,0.3013543524132547,0.3295471695733603,0.35446859903381644
extended,2,1656,0.30353582880241853,0.3201690302399512,0.34480676328502413
extended,3,1656,0.33080995606512625,0.33046906340279203,0.3605072463768116
extended,4,1656,0.3084548830059737,0.3127542248666978,0.3303140096618358
extended,8,1656,0.4648709287081585,0.37031926419141326,0.5120772946859904
extended,12,1656,0.47475272273686014,0.3837033459028044,0.5241545893719807
