livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.3973892773892774,0.34259259259259256,0.5111111111111111,default,0
crop_farming,603,0.2628051093621116,0.27604060813237924,0.3333333333333333,default,0
pastoral,180,0.19162037037037039,0.2409408244680851,0.34444444444444444,default,0
agropastoral,45,0.4852181811829647,0.4351851851851852,0.4888888888888889,default,1
crop_farming,603,0.3399019451508343,0.3489359071766852,0.3416252072968491,default,1
pastoral,180,0.5360553121043918,0.33502327127659576,0.5722222222222222,default,1
agropastoral,45,0.47255516626713384,0.4212962962962963,0.4666666666666667,default,2
crop_farming,603,0.3513606182803301,0.3385764998298467,0.33996683250414594,default,2
pastoral,180,0.5253590253590253,0.4745124113475177,0.55,default,2
agropastoral,45,0.4718614718614718,0.4444444444444444,0.4666666666666667,default,3
crop_farming,603,0.39243325221391867,0.34592462329964935,0.36318407960199006,default,3
pastoral,180,0.5322589802917672,0.3964982269503546,0.5555555555555556,default,3
agropastoral,45,0.5073359073359073,0.5277777777777778,0.5111111111111111,default,4
crop_farming,603,0.391281423612078,0.3318943667463866,0.351575456053068,default,4
pastoral,180,0.5285459654338373,0.3900986258865248,0.55,default,4
agropastoral,45,0.41139601139601145,0.3703703703703703,0.4222222222222222,default,8
crop_farming,603,0.5909974062803907,0.38611478827983237,0.6202321724709784,default,8
pastoral,180,0.2028861611098453,0.2321003639417693,0.3055555555555556,default,8
agropastoral,45,0.36296296296296293,0.36574074074074076,0.4,default,12
crop_farming,603,0.5995016929005056,0.39146549320153085,0.6301824212271974,default,12
pastoral,180,0.20971967208737216,0.2477253639417693,0.3277777777777778,default,12
agropastoral,90,0.43330089213300893,0.33262108262108264,0.5555555555555556,extended,0
crop_farming,1206,0.18947421581535673,0.25925586189536415,0.29270315091210614,extended,0
pastoral,360,0.18556040317046604,0.24672939068100358,0.3416666666666667,extended,0
agropastoral,90,0.4590806971066438,0.39985754985754984,0.45555555555555555,extended,1
crop_farming,1206,0.2555363559955756,0.31629413674776985,0.2860696517412935,extended,1
pastoral,360,0.5121600621600622,0.3375,0.5583333333333333,extended,1
agropastoral,90,0.43057716316143285,0.3806267806267806,0.4222222222222222,extended,2
crop_farming,1206,0.2611943695788773,0.3041390029748119,0.27860696517412936,extended,2
pastoral,360,0.5090798445592967,0.39369559651817715,0.5472222222222223,extended,2
agropastoral,90,0.45841136079900124,0.4055555555555556,0.4444444444444444,extended,3
crop_farming,1206,0.29718639186153883,0.31424124517259805,0.29850746268656714,extended,3
pastoral,360,0.5094754161827333,0.3574884792626728,0.5472222222222223,extended,3
agropastoral,90,0.38071682125271955,0.435042735042735,0.3888888888888889,extended,4
crop_farming,1206,0.27931037156614696,0.3053790849856687,0.26865671641791045,extended,4
pastoral,360,0.48337241618898735,0.3336981566820276,0.5222222222222223,extended,4
agropastoral,90,0.44624301319953497,0.33433048433048435,0.4777777777777778,extended,8
crop_farming,1206,0.5610494220157658,0.37543297479317145,0.5804311774461028,extended,8
pastoral,360,0.18807791895827072,0.28709311681661914,0.2916666666666667,extended,8
agropastoral,90,0.4281818181818182,0.32336182336182334,0.45555555555555555,extended,12
crop_farming,1206,0.5776208457104489,0.38915934777787453,0.5978441127694859,extended,12
pastoral,360,0.19246044546429653,0.2959083095603833,0.29444444444444445,extended,12
