ipc_class,precision,recall,f1,support,window,lead
Minimal,0.6703296703296703,0.6703296703296703,0.6703296703296703,364,default,0
Stressed,0.3922413793103448,0.7250996015936255,0.509090909090909,251,default,0
Crisis,0.0,0.0,0.0,165,default,0
Emergency,0.0,0.0,0.0,48,default,0
Famine,0.0,0.0,0.0,0,default,0
Minimal,0.85,0.42032967032967034,0.5625,364,default,1
Stressed,0.3626543209876543,0.9362549800796812,0.5228031145717463,251,default,1
Crisis,0.0,0.0,0.0,165,default,1
Emergency,0.0,0.0,0.0,48,default,1
Famine,0.0,0.0,0.0,0,default,1
Minimal,0.4441717791411043,0.9945054945054945,0.6140797285835454,364,default,2
Stressed,0.8461538461538461,0.043824701195219126,0.08333333333333333,251,default,2
Crisis,0.0,0.0,0.0,165,default,2
Emergency,0.0,0.0,0.0,48,default,2
Famine,0.0,0.0,0.0,0,default,2
Minimal,0.7450980392156863,0.1043956043956044,0.18313253012048192,364,default,3
Stressed,0.31145431145431146,0.9641434262948207,0.4708171206225681,251,default,3
Crisis,0.0,0.0,0.0,165,default,3
Emergency,0.0,0.0,0.0,48,default,3
Famine,0.0,0.0,0.0,0,default,3
Minimal,0.8727272727272727,0.13186813186813187,0.22911694510739858,364,default,4
Stressed,0.2879684418145957,0.5816733067729084,0.38522427440633245,251,default,4
Crisis,0.35714285714285715,0.5757575757575758,0.4408352668213457,165,default,4
Emergency,0.0,0.0,0.0,48,default,4
Famine,0.0,0.0,0.0,0,default,4
Minimal,0.46226415094339623,0.9423076923076923,0.620253164556962,364,default,8
Stressed,0.45348837209302323,0.1553784860557769,0.2314540059347181,251,default,8
Crisis,0.0,0.0,0.0,165,default,8
Emergency,0.0,0.0,0.0,48,default,8
Famine,0.0,0.0,0.0,0,default,8
Minimal,0.8205128205128205,0.26373626373626374,0.3991683991683992,364,default,12
Stressed,0.32814710042432815,0.9243027888446215,0.48434237995824636,251,default,12
Crisis,0.75,0.01818181818181818,0.03550295857988166,165,default,12
Emergency,0.0,0.0,0.0,48,default,12
Famine,0.0,0.0,0.0,0,default,12
Minimal,0.6595744680851063,0.5945205479452055,0.6253602305475504,730,extended,0
Stressed,0.3717434869739479,0.7510121457489879,0.4973190348525469,494,extended,0
Crisis,0.0,0.0,0.0,343,extended,0
Emergency,0.0,0.0,0.0,89,extended,0
Famine,0.0,0.0,0.0,0,extended,0
Minimal,0.8578947368421053,0.2232876712328767,0.35434782608695653,730,extended,1
Stressed,0.32605729877216916,0.9676113360323887,0.48775510204081635,494,extended,1
Crisis,0.0,0.0,0.0,343,extended,1
Emergency,0.0,0.0,0.0,89,extended,1
Famine,0.0,0.0,0.0,0,extended,1
Minimal,0.4441732763880415,0.9972602739726028,0.6146053186998733,730,extended,2
Stressed,0.7647058823529411,0.02631578947368421,0.050880626223091974,494,extended,2
Crisis,0.0,0.0,0.0,343,extended,2
Emergency,0.0,0.0,0.0,89,extended,2
Famine,0.0,0.0,0.0,0,extended,2
Minimal,0.7450980392156863,0.052054794520547946,0.0973111395646607,730,extended,3
Stressed,0.30218068535825543,0.9817813765182186,0.4621248213434969,494,extended,3
Crisis,0.0,0.0,0.0,343,extended,3
Emergency,0.0,0.0,0.0,89,extended,3
Famine,0.0,0.0,0.0,0,extended,3
Minimal,0.8727272727272727,0.06575342465753424,0.12229299363057325,730,extended,4
Stressed,0.2644927536231884,0.29554655870445345,0.27915869980879543,494,extended,4
Crisis,0.26024785510009535,0.7959183673469388,0.3922413793103448,343,extended,4
Emergency,0.0,0.0,0.0,89,extended,4
Famine,0.0,0.0,0.0,0,extended,4
Minimal,0.5116279069767442,0.8136986301369863,0.6282390269698572,730,extended,8
Stressed,0.4047058823529412,0.3481781376518219,0.37431991294885747,494,extended,8
Crisis,0.0,0.0,0.0,343,extended,8
Emergency,0.0,0.0,0.0,89,extended,8
Famine,0.0,0.0,0.0,0,extended,8
Minimal,0.8205128205128205,0.13150684931506848,0.22668240850059032,730,extended,12
Stressed,0.3104575163398693,0.9615384615384616,0.46936758893280633,494,extended,12
Crisis,0.4444444444444444,0.011661807580174927,0.022727272727272728,343,extended,12
Emergency,0.0,0.0,0.0,89,extended,12
Famine,0.0,0.0,0.0,0,extended,12
