window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.44901185770750984,0.348857317980824,0.5144927536231884
default,1,828,0.40576519535930955,0.3391461626023379,0.46859903381642515
default,2,828,0.2952194297959869,0.2595825489251784,0.4504830917874396
default,3,828,0.2232310848310628,0.2671347576726063,0.33816425120772947
default,4,828,0.3053474395176384,0.322324753599654,0.34903381642512077
default,8,828,0.3428346707588749,0.2744215445908673,0.4613526570048309
default,12,828,0.3293782884450454,0.30155521769067584,0.3997584541062802
extended,0,1656,0.424026915167192,0.33638317342354834,0.4861111111111111
extended,1,1656,0.30170587768818935,0.29772475181631636,0.38707729468599034
extended,2,1656,0.2861092463799004,0.25589401586157173,0.447463768115942
extended,3,1656,0.18075289470162426,0.2584590427596916,0.31582125603864736
extended,4,1656,0.21842818608654085,0.2893045876772316,0.28200483091787437
extended,8,1656,0.38860418278063485,0.29046919194720205,0.46256038647342995
extended,12,1656,0.24465048410850954,0.27617677960842624,0.3472222222222222
