livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.4531590413943355,0.5185185185185185,0.5333333333333333,default,0
crop_farming,603,0.543352707598742,0.33632529280535417,0.5737976782752903,default,0
pastoral,180,0.18267074413863404,0.21875,0.3111111111111111,default,0
agropastoral,45,0.4548168249660787,0.40740740740740744,0.5777777777777777,default,1
crop_farming,603,0.47122642618783583,0.3357719255437814,0.4975124378109453,default,1
pastoral,180,0.18370370370370373,0.2421875,0.34444444444444444,default,1
agropastoral,45,0.1512820512820513,0.3611111111111111,0.24444444444444444,default,2
crop_farming,603,0.4397841618972805,0.2531807724484105,0.5854063018242123,default,2
pastoral,180,0.06151735270379338,0.2734375,0.05,default,2
agropastoral,45,0.40505050505050505,0.35648148148148145,0.5333333333333333,default,3
crop_farming,603,0.22470322482296037,0.2640084704406023,0.31840796019900497,default,3
pastoral,180,0.18652094717668488,0.25,0.35555555555555557,default,3
agropastoral,45,0.5804444444444444,0.5509259259259259,0.6222222222222222,default,4
crop_farming,603,0.24237636199919127,0.28085910544301285,0.263681592039801,default,4
pastoral,180,0.531342932429889,0.3273769946808511,0.5666666666666667,default,4
agropastoral,45,0.22049910873440284,0.3287037037037037,0.26666666666666666,default,8
crop_farming,603,0.46929737658837256,0.2624660136642499,0.582089552238806,default,8
pastoral,180,0.12450332614167567,0.15364583333333331,0.10555555555555556,default,8
agropastoral,45,0.4523809523809524,0.4166666666666667,0.5555555555555556,default,12
crop_farming,603,0.3555201950806969,0.2915112590630229,0.39800995024875624,default,12
pastoral,180,0.21863945578231292,0.2540724734042553,0.36666666666666664,default,12
agropastoral,90,0.4842010367365337,0.5078347578347578,0.5444444444444444,extended,0
crop_farming,1206,0.512313132041342,0.3282583968954904,0.5364842454394693,extended,0
pastoral,360,0.17793575566087413,0.21975806451612903,0.30277777777777776,extended,0
agropastoral,90,0.4894370218111225,0.3888888888888889,0.6111111111111112,extended,1
crop_farming,1206,0.3302098051171476,0.2957312993443062,0.38474295190713104,extended,1
pastoral,360,0.17509259259259258,0.24596774193548387,0.3388888888888889,extended,1
agropastoral,90,0.1107228822113518,0.3461538461538462,0.2222222222222222,extended,2
crop_farming,1206,0.4401958459374473,0.2532215977519069,0.5870646766169154,extended,2
pastoral,360,0.03254894997277269,0.2620967741935484,0.03611111111111111,extended,2
agropastoral,90,0.44302843439534084,0.3454415954415954,0.5777777777777777,extended,3
crop_farming,1206,0.1682090417066784,0.2568312591997859,0.2877280265339967,extended,3
pastoral,360,0.17649219467401284,0.25,0.34444444444444444,extended,3
agropastoral,90,0.3618848500277141,0.42749287749287745,0.4,extended,4
crop_farming,1206,0.16223987277623123,0.2785085983199191,0.20149253731343283,extended,4
pastoral,360,0.46263759086188994,0.289336917562724,0.5222222222222223,extended,4
agropastoral,90,0.31324657991324656,0.39245014245014237,0.34444444444444444,extended,8
crop_farming,1206,0.5122434984209393,0.2844439983942192,0.5621890547263682,extended,8
pastoral,360,0.15131690244759097,0.18231566820276496,0.15833333333333333,extended,8
agropastoral,90,0.4770105143506678,0.37606837606837606,0.5888888888888889,extended,12
crop_farming,1206,0.24774352909789574,0.27214835880030586,0.3283582089552239,extended,12
pastoral,360,0.1931125279768286,0.2521505376344086,0.35,extended,12
