ipc_class,precision,recall,f1,support,window,lead
Minimal,0.4396135265700483,1.0,0.610738255033557,364,default,0
Stressed,0.0,0.0,0.0,251,default,0
Crisis,0.0,0.0,0.0,165,default,0
Emergency,0.0,0.0,0.0,48,default,0
Famine,0.0,0.0,0.0,0,default,0
Minimal,0.4396135265700483,1.0,0.610738255033557,364,default,1
Stressed,0.0,0.0,0.0,251,default,1
Crisis,0.0,0.0,0.0,165,default,1
Emergency,0.0,0.0,0.0,48,default,1
Famine,0.0,0.0,0.0,0,default,1
Minimal,0.44930417495029823,0.6208791208791209,0.5213379469434832,364,default,2
Stressed,0.1111111111111111,0.00398406374501992,0.007692307692307693,251,default,2
Crisis,0.0,0.0,0.0,165,default,2
Emergency,0.0,0.0,0.0,48,default,2
Famine,0.0,0.0,0.0,0,default,2
Minimal,0.4608030592734226,0.6620879120879121,0.5434047350620068,364,default,3
Stressed,0.5,0.00796812749003984,0.01568627450980392,251,default,3
Crisis,0.0,0.0,0.0,165,default,3
Emergency,0.0,0.0,0.0,48,default,3
Famine,0.0,0.0,0.0,0,default,3
Minimal,0.45493562231759654,0.5824175824175825,0.5108433734939759,364,default,4
Stressed,0.16666666666666666,0.00398406374501992,0.007782101167315175,251,default,4
Crisis,0.0,0.0,0.0,165,default,4
Emergency,0.0,0.0,0.0,48,default,4
Famine,0.0,0.0,0.0,0,default,4
Minimal,0.43896424167694204,0.978021978021978,0.6059574468085106,364,default,8
Stressed,0.5,0.00398406374501992,0.007905138339920948,251,default,8
Crisis,0.0,0.0,0.0,165,default,8
Emergency,0.0,0.0,0.0,48,default,8
Famine,0.0,0.0,0.0,0,default,8
Minimal,0.4396135265700483,1.0,0.610738255033557,364,default,12
Stressed,0.0,0.0,0.0,251,default,12
Crisis,0.0,0.0,0.0,165,default,12
Emergency,0.0,0.0,0.0,48,default,12
Famine,0.0,0.0,0.0,0,default,12
Minimal,0.44082125603864736,1.0,0.6119027661357921,730,extended,0
Stressed,0.0,0.0,0.0,494,extended,0
Crisis,0.0,0.0,0.0,343,extended,0
Emergency,0.0,0.0,0.0,89,extended,0
Famine,0.0,0.0,0.0,0,extended,0
Minimal,0.44082125603864736,1.0,0.6119027661357921,730,extended,1
Stressed,0.0,0.0,0.0,494,extended,1
Crisis,0.0,0.0,0.0,343,extended,1
Emergency,0.0,0.0,0.0,89,extended,1
Famine,0.0,0.0,0.0,0,extended,1
Minimal,0.43063932448733416,0.48904109589041095,0.4579858883899936,730,extended,2
Stressed,0.3,0.012145748987854251,0.023346303501945526,494,extended,2
Crisis,0.0,0.0,0.0,343,extended,2
Emergency,0.0,0.0,0.0,89,extended,2
Famine,0.0,0.0,0.0,0,extended,2
Minimal,0.4449197860962567,0.5698630136986301,0.4996996996996997,730,extended,3
Stressed,0.5,0.008097165991902834,0.01593625498007968,494,extended,3
Crisis,0.0,0.0,0.0,343,extended,3
Emergency,0.0,0.0,0.0,89,extended,3
Famine,0.0,0.0,0.0,0,extended,3
Minimal,0.41636582430806257,0.473972602739726,0.4433055733504164,730,extended,4
Stressed,0.18181818181818182,0.004048582995951417,0.007920792079207921,494,extended,4
Crisis,0.0,0.0,0.0,343,extended,4
Emergency,0.0,0.0,0.0,89,extended,4
Famine,0.0,0.0,0.0,0,extended,4
Minimal,0.4427860696517413,0.9753424657534246,0.6090675791274593,730,extended,8
Stressed,0.6666666666666666,0.004048582995951417,0.008048289738430584,494,extended,8
Crisis,0.0,0.0,0.0,343,extended,8
Emergency,0.0,0.0,0.0,89,extended,8
Famine,0.0,0.0,0.0,0,extended,8
Minimal,0.4468614045991299,0.9849315068493151,0.6147926464300983,730,extended,12
Stressed,0.0,0.0,0.0,494,extended,12
Crisis,0.0,0.0,0.0,343,extended,12
Emergency,0.0,0.0,0.0,89,extended,12
Famine,0.0,0.0,0.0,0,extended,12
