window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.2684887981065396,0.25,0.4396135265700483
default,1,828,0.2684887981065396,0.25,0.4396135265700483
default,2,828,0.2315190602876777,0.1562157961560352,0.2741545893719807
default,3,828,0.24364321070595565,0.16751400989448798,0.29347826086956524
default,4,828,0.2269327238463808,0.1466004115406506,0.2572463768115942
default,8,828,0.26878345454301694,0.24550151044174948,0.4311594202898551
default,12,828,0.2684887981065396,0.25,0.4396135265700483
extended,0,1656,0.2697397459415026,0.25,0.44082125603864736
extended,1,1656,0.2697397459415026,0.25,0.44082125603864736
extended,2,1656,0.20885433119242536,0.1252967112195663,0.21920289855072464
extended,3,1656,0.22503218039911846,0.14449004492263323,0.2536231884057971
extended,4,1656,0.19778136463341348,0.11950529643391936,0.21014492753623187
extended,8,1656,0.27089081394554954,0.24484776218734403,0.4311594202898551
extended,12,1656,0.27101366660264,0.24623287671232877,0.43417874396135264
