livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.06666666666666667,0.3333333333333333,0.2,default,0
crop_farming,603,0.4303230791939083,0.25,0.5837479270315091,default,0
pastoral,180,0.000546448087431694,0.25,0.016666666666666666,default,0
agropastoral,45,0.06666666666666667,0.3333333333333333,0.2,default,1
crop_farming,603,0.4303230791939083,0.25,0.5837479270315091,default,1
pastoral,180,0.000546448087431694,0.25,0.016666666666666666,default,1
agropastoral,45,0.06315789473684211,0.2222222222222222,0.13333333333333333,default,2
crop_farming,603,0.35124087836573314,0.1556530605131065,0.3615257048092869,default,2
pastoral,180,0.0009900990099009901,0.25,0.016666666666666666,default,2
agropastoral,45,0.061538461538461535,0.2222222222222222,0.13333333333333333,default,3
crop_farming,603,0.3675156555530804,0.16477272727272727,0.38474295190713104,default,3
pastoral,180,0.022449722449722452,0.2578125,0.027777777777777776,default,3
agropastoral,45,0.06857142857142857,0.2222222222222222,0.13333333333333333,default,4
crop_farming,603,0.34367843323067204,0.14488636363636365,0.3383084577114428,default,4
pastoral,180,0.010959552903286918,0.17057291666666666,0.016666666666666666,default,4
agropastoral,45,0.06792452830188679,0.3333333333333333,0.2,default,8
crop_farming,603,0.4278404724345751,0.24585192414947016,0.572139303482587,default,8
pastoral,180,0.0005681818181818182,0.25,0.016666666666666666,default,8
agropastoral,45,0.06666666666666667,0.3333333333333333,0.2,default,12
crop_farming,603,0.4303230791939083,0.25,0.5837479270315091,default,12
pastoral,180,0.000546448087431694,0.25,0.016666666666666666,default,12
agropastoral,90,0.06666666666666667,0.3333333333333333,0.2,extended,0
crop_farming,1206,0.4313206338792693,0.25,0.5845771144278606,extended,0
pastoral,360,0.0007417499243112323,0.25,0.019444444444444445,extended,0
agropastoral,90,0.06666666666666667,0.3333333333333333,0.2,extended,1
crop_farming,1206,0.4313206338792693,0.25,0.5845771144278606,extended,1
pastoral,360,0.0007417499243112323,0.25,0.019444444444444445,extended,1
agropastoral,90,0.058823529411764705,0.1851851851851852,0.1111111111111111,extended,2
crop_farming,1206,0.31196398503153466,0.12591663321289978,0.28938640132669985,extended,2
pastoral,360,0.005993589743589744,0.1091589861751152,0.011111111111111112,extended,2
agropastoral,90,0.05333333333333333,0.1851851851851852,0.1111111111111111,extended,3
crop_farming,1206,0.3378954751712661,0.14377090860430886,0.3341625207296849,extended,3
pastoral,360,0.011963550852439742,0.1826036866359447,0.019444444444444445,extended,3
agropastoral,90,0.07814096317949626,0.19159544159544162,0.12222222222222222,extended,4
crop_farming,1206,0.2951781018860073,0.11773049645390071,0.2752902155887231,extended,4
pastoral,360,0.006188034188034188,0.1448732718894009,0.013888888888888888,extended,4
agropastoral,90,0.06728971962616823,0.3333333333333333,0.2,extended,8
crop_farming,1206,0.43030769200250746,0.2451893483206209,0.5713101160862355,extended,8
pastoral,360,0.0007777777777777778,0.25,0.019444444444444445,extended,8
agropastoral,90,0.07058823529411765,0.3333333333333333,0.2,extended,12
crop_farming,1206,0.4324439537279012,0.24645390070921985,0.5762852404643449,extended,12
pastoral,360,0.0006517690875232774,0.21428571428571427,0.016666666666666666,extended,12
