model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
LSTM,delta,default,agropastoral,0,45.0,0.5555555555555556,0.5819135802469135,0.5085964971118503,-0.0842227178117716
LSTM,delta,default,agropastoral,1,45.0,0.6888888888888889,0.6940130718954247,0.444030937883589,0.2152742030353424
LSTM,delta,default,agropastoral,2,45.0,0.5777777777777777,0.6061375661375661,0.4994764950540331,-0.015476511024510087
LSTM,delta,default,agropastoral,3,45.0,0.6444444444444445,0.6749485808309339,0.4675199058320787,0.11588719233230937
LSTM,delta,default,agropastoral,4,45.0,0.5111111111111111,0.5404616210413312,0.5735042214393615,-0.19432410925965993
LSTM,delta,default,agropastoral,8,45.0,0.5111111111111111,0.516969696969697,0.5631054997444153,-0.1714227492298468
LSTM,delta,default,agropastoral,12,45.0,0.4888888888888889,0.47947289607666965,0.5221732457478842,-0.01922810886370807
LSTM,delta,default,crop_farming,0,603.0,0.6716417910447762,0.6950085203349018,0.4306039973277951,0.4236865794819311
LSTM,delta,default,crop_farming,1,603.0,0.7346600331674958,0.7449638307465278,0.34599690512440495,0.5805316792458572
LSTM,delta,default,crop_farming,2,603.0,0.6898839137645107,0.7074089812503546,0.4081452498783915,0.399882055458065
LSTM,delta,default,crop_farming,3,603.0,0.7081260364842454,0.722465380213521,0.40017498527988665,0.4974910263397543
LSTM,delta,default,crop_farming,4,603.0,0.6550580431177446,0.6781485905284778,0.4575698097942283,0.3347810114476547
LSTM,delta,default,crop_farming,8,603.0,0.6616915422885572,0.6688550692979389,0.45928853295533417,0.26412914067290905
LSTM,delta,default,crop_farming,12,603.0,0.6533996683250415,0.6428891773332578,0.45485232926126734,0.2826174067853423
LSTM,delta,default,pastoral,0,180.0,0.5833333333333334,0.5772817059483727,0.4399010181427002,0.14624793237759215
LSTM,delta,default,pastoral,1,180.0,0.6055555555555555,0.6062551332839957,0.3781002660592397,0.37606535112515405
LSTM,delta,default,pastoral,2,180.0,0.6444444444444445,0.6513570150525064,0.40741739802890353,0.24348833390816216
LSTM,delta,default,pastoral,3,180.0,0.5777777777777777,0.5803716709633386,0.4244759115907881,0.25235455503921234
LSTM,delta,default,pastoral,4,180.0,0.5888888888888889,0.5840963321355478,0.4434938821527693,0.18953733514940285
LSTM,delta,default,pastoral,8,180.0,0.6444444444444445,0.635163905468474,0.40280039442910087,0.2791864520706111
LSTM,delta,default,pastoral,12,180.0,0.5222222222222223,0.5179655151052773,0.5150176015165117,0.0440864646895498
LSTM,delta,extended,agropastoral,0,75.0,0.56,0.5848828420256992,0.5189809433619181,-0.12656100805646253
LSTM,delta,extended,agropastoral,1,75.0,0.64,0.6515920209708846,0.45296029329299925,0.13639889927284488
LSTM,delta,extended,agropastoral,2,75.0,0.5333333333333333,0.5629447395396515,0.5288872003555298,-0.16333500927740596
LSTM,delta,extended,agropastoral,3,75.0,0.6266666666666667,0.6561329652634,0.5096332756678263,-0.0739116391398511
LSTM,delta,extended,agropastoral,4,75.0,0.5066666666666667,0.5439904225010608,0.611128679116567,-0.4393476023809666
LSTM,delta,extended,agropastoral,8,75.0,0.4533333333333333,0.48484193284193283,0.6199005850156148,-0.38868436227287684
LSTM,delta,extended,agropastoral,12,75.0,0.4666666666666667,0.4854433296172426,0.577722544670105,-0.19414399247310765
LSTM,delta,extended,crop_farming,0,1005.0,0.6537313432835821,0.679513962167533,0.4510373730564592,0.370831308102867
LSTM,delta,extended,crop_farming,1,1005.0,0.6985074626865672,0.7142491975897932,0.37895819939191067,0.5076621831827226
LSTM,delta,extended,crop_farming,2,1005.0,0.6597014925373135,0.6835170625537803,0.4495086531733992,0.29269124740047436
LSTM,delta,extended,crop_farming,3,1005.0,0.6766169154228856,0.6965546099425994,0.4392790523334522,0.40705895908568934
LSTM,delta,extended,crop_farming,4,1005.0,0.6159203980099502,0.6469255629720009,0.5159228446471751,0.16562773586432877
LSTM,delta,extended,crop_farming,8,1005.0,0.6258706467661691,0.6462017031051338,0.5084881222070153,0.15629605271323121
LSTM,delta,extended,crop_farming,12,1005.0,0.6447761194029851,0.6491579690053118,0.4618287608991215,0.28821623964670995
LSTM,delta,extended,pastoral,0,300.0,0.5433333333333333,0.542190628085365,0.4940508464972178,0.0838166523297208
LSTM,delta,extended,pastoral,1,300.0,0.6,0.6035658880596467,0.41677000840504963,0.3397860168037823
LSTM,delta,extended,pastoral,2,300.0,0.5733333333333334,0.5850736581633779,0.47655014753341673,0.11341667698608182
LSTM,delta,extended,pastoral,3,300.0,0.57,0.5670119700083733,0.4605790857474009,0.2157565864751193
LSTM,delta,extended,pastoral,4,300.0,0.4866666666666667,0.49255324376736564,0.5816361896197001,-0.2585957346222818
LSTM,delta,extended,pastoral,8,300.0,0.56,0.5693054498820048,0.5333400738239288,-0.14474615140494573
LSTM,delta,extended,pastoral,12,300.0,0.4633333333333333,0.4712398314221307,0.5807190648714702,-0.09777686038122035
LSTM,level,default,agropastoral,0,45.0,0.4444444444444444,0.40421052631578946,0.9586237887541453,-2.810530744263044
LSTM,level,default,agropastoral,1,45.0,0.26666666666666666,0.22753623188405797,1.1285688029395209,-3.6804831138433673
LSTM,level,default,agropastoral,2,45.0,0.3111111111111111,0.2609625668449198,1.06672154267629,-3.4980835147598857
LSTM,level,default,agropastoral,3,45.0,0.3111111111111111,0.27009448472863107,0.9026727822091845,-2.029088053291805
LSTM,level,default,agropastoral,4,45.0,0.35555555555555557,0.3277521423862888,1.1125074843565623,-4.032660159381278
LSTM,level,default,agropastoral,8,45.0,0.24444444444444444,0.1967479674796748,0.8942893531587389,-1.7805994388354476
LSTM,level,default,agropastoral,12,45.0,0.28888888888888886,0.22035087719298246,0.9349028183354272,-2.237527404946118
LSTM,level,default,crop_farming,0,603.0,0.603648424543947,0.5518852623330236,0.8179083483333809,-0.8785311899984463
LSTM,level,default,crop_farming,1,603.0,0.5953565505804311,0.5225191490408886,0.8133218286197577,-0.9574688906138913
LSTM,level,default,crop_farming,2,603.0,0.6252072968490879,0.5627507513626407,0.7679382921945594,-0.835181105250272
LSTM,level,default,crop_farming,3,603.0,0.6119402985074627,0.5506757211893114,0.5993788964910491,-0.37110957457398897
LSTM,level,default,crop_farming,4,603.0,0.6235489220563848,0.5670966233075043,0.887953810332031,-1.2195659063021091
LSTM,level,default,crop_farming,8,603.0,0.6301824212271974,0.5786201107898226,0.5600375346777648,-0.08859858728529724
LSTM,level,default,crop_farming,12,603.0,0.6434494195688225,0.5752790114442634,0.5960891415329517,-0.29359757397905306
LSTM,level,default,pastoral,0,180.0,0.17222222222222222,0.18014279376801062,1.6187255412340165,-7.573935327687213
LSTM,level,default,pastoral,1,180.0,0.13333333333333333,0.14027814864263463,1.7031546158923043,-8.273418868389777
LSTM,level,default,pastoral,2,180.0,0.18888888888888888,0.20082621082621085,1.6293355700042513,-7.796587646777555
LSTM,level,default,pastoral,3,180.0,0.18888888888888888,0.192616393442623,1.4524073713355594,-6.084138910937104
LSTM,level,default,pastoral,4,180.0,0.18333333333333332,0.18832699287244745,1.751978784468439,-9.076293425761659
LSTM,level,default,pastoral,8,180.0,0.25555555555555554,0.1686139747995418,1.0910789774523841,-3.4382547459680595
LSTM,level,default,pastoral,12,180.0,0.25555555555555554,0.17387689045147608,1.1697892197304303,-4.0735122901487975
LSTM,level,extended,agropastoral,0,75.0,0.4266666666666667,0.38433566433566435,0.9527301665147145,-2.738415162647995
LSTM,level,extended,agropastoral,1,75.0,0.25333333333333335,0.19539753086419753,1.1632300249735514,-3.7297509612269355
LSTM,level,extended,agropastoral,2,75.0,0.3466666666666667,0.3029192253188474,1.074810668627421,-3.396353737877625
LSTM,level,extended,agropastoral,3,75.0,0.32,0.27144418423106953,0.8689389673868815,-1.8916980100416714
LSTM,level,extended,agropastoral,4,75.0,0.4,0.36473659673659675,1.1287959877649942,-3.995689699040984
LSTM,level,extended,agropastoral,8,75.0,0.38666666666666666,0.3350949494949495,0.8352616286277771,-1.5556804862113034
LSTM,level,extended,agropastoral,12,75.0,0.3333333333333333,0.275137914913511,0.9384698323408762,-2.1699699644868784
LSTM,level,extended,crop_farming,0,1005.0,0.5960199004975124,0.5425336715749701,0.8139765593542981,-0.8535500117434698
LSTM,level,extended,crop_farming,1,1005.0,0.5860696517412936,0.5054410395769825,0.8354401270400232,-0.9909020309373608
LSTM,level,extended,crop_farming,2,1005.0,0.5950248756218905,0.5271451376521693,0.7992767067690987,-0.8908092782002572
LSTM,level,extended,crop_farming,3,1005.0,0.608955223880597,0.5471803953367501,0.6030108179025983,-0.3598797371752245
LSTM,level,extended,crop_farming,4,1005.0,0.6159203980099502,0.5607038331635754,0.9154154473572821,-1.2532419068743241
LSTM,level,extended,crop_farming,8,1005.0,0.5552238805970149,0.5206921285866732,0.5814804467395763,-0.0803758423239318
LSTM,level,extended,crop_farming,12,1005.0,0.6139303482587065,0.5574334329972199,0.6064902181056009,-0.2853746534669188
LSTM,level,extended,pastoral,0,300.0,0.17333333333333334,0.18077878835175545,1.6880563710133234,-7.242223552141208
LSTM,level,extended,pastoral,1,300.0,0.13,0.13750501383985547,1.7973001901308696,-8.040583679925845
LSTM,level,extended,pastoral,2,300.0,0.16666666666666666,0.1779960841899168,1.7397998789946238,-7.649864601119276
LSTM,level,extended,pastoral,3,300.0,0.18,0.18015640889061063,1.5556894838809967,-6.0473461416609435
LSTM,level,extended,pastoral,4,300.0,0.18,0.1789048378522063,1.8228577834367752,-8.636066119407818
LSTM,level,extended,pastoral,8,300.0,0.25,0.1608832807570978,1.1849947026371956,-3.5343850729304327
LSTM,level,extended,pastoral,12,300.0,0.22333333333333333,0.1613257000217061,1.31633318344752,-4.484428113224772
RandomForest,delta,default,agropastoral,0,45.0,0.6888888888888889,0.6859557109557108,0.357774549732791,0.3918732508884093
RandomForest,delta,default,agropastoral,1,45.0,0.6666666666666666,0.6623885918003565,0.344341090831878,0.41526584116719134
RandomForest,delta,default,agropastoral,2,45.0,0.6888888888888889,0.6859557109557108,0.3462007501922608,0.42303379755999126
RandomForest,delta,default,agropastoral,3,45.0,0.7333333333333333,0.7213675213675215,0.34854492470621623,0.4830526345159831
RandomForest,delta,default,agropastoral,4,45.0,0.7555555555555555,0.7155649717514124,0.3999108131232224,0.3970454455838932
RandomForest,delta,default,agropastoral,8,45.0,0.7333333333333333,0.623371989295272,0.4249354744631817,0.21037904850133982
RandomForest,delta,default,agropastoral,12,45.0,0.6888888888888889,0.5866666666666667,0.45842252584194165,0.09570299199159882
RandomForest,delta,default,crop_farming,0,603.0,0.7761194029850746,0.7717828208190378,0.26126468472784364,0.7292422927598662
RandomForest,delta,default,crop_farming,1,603.0,0.7446102819237148,0.7311171640431159,0.27454680820788985,0.6919126199395558
RandomForest,delta,default,crop_farming,2,603.0,0.7794361525704809,0.7743761265497421,0.2596419833067143,0.7244938954620066
RandomForest,delta,default,crop_farming,3,603.0,0.7412935323383084,0.7307733790906471,0.2779516297343193,0.6971964385228435
RandomForest,delta,default,crop_farming,4,603.0,0.746268656716418,0.7249189842867155,0.3028346154162371,0.6236924202929411
RandomForest,delta,default,crop_farming,8,603.0,0.6865671641791045,0.6639169135335715,0.385104769918015,0.39246657775047666
RandomForest,delta,default,crop_farming,12,603.0,0.714759535655058,0.6768886100494069,0.3799609440341677,0.37996876482343556
RandomForest,delta,default,pastoral,0,180.0,0.6333333333333333,0.6362568690631097,0.3453930403614326,0.5032211905768958
RandomForest,delta,default,pastoral,1,180.0,0.6444444444444445,0.6462101466797975,0.35189275981265783,0.48660450131119515
RandomForest,delta,default,pastoral,2,180.0,0.6666666666666666,0.6703365979961725,0.3622852899931691,0.4634985896204725
RandomForest,delta,default,pastoral,3,180.0,0.6111111111111112,0.6088016164895758,0.3887077869381124,0.4135253317748999
RandomForest,delta,default,pastoral,4,180.0,0.5444444444444444,0.5323420948420949,0.4653789684466697,0.180992087530208
RandomForest,delta,default,pastoral,8,180.0,0.38333333333333336,0.32524935689984236,0.5926226154976676,-0.35110377969228557
RandomForest,delta,default,pastoral,12,180.0,0.6111111111111112,0.5757893734300035,0.4666299437339982,0.14150833365988014
RandomForest,delta,extended,agropastoral,0,75.0,0.6666666666666666,0.667452494511318,0.3694567477652782,0.38321275309381064
RandomForest,delta,extended,agropastoral,1,75.0,0.6266666666666667,0.6292063492063492,0.36465486928161195,0.3909385934760199
RandomForest,delta,extended,agropastoral,2,75.0,0.6533333333333333,0.6565079365079366,0.3633650081295284,0.4016595618984734
RandomForest,delta,extended,agropastoral,3,75.0,0.7066666666666667,0.6967850923023338,0.3449499083442397,0.5141154964052566
RandomForest,delta,extended,agropastoral,4,75.0,0.7333333333333333,0.7129599739137524,0.3543096924661175,0.5029956981003847
RandomForest,delta,extended,agropastoral,8,75.0,0.7466666666666667,0.6418150537634408,0.3612378876101791,0.40937297019054153
RandomForest,delta,extended,agropastoral,12,75.0,0.7066666666666667,0.6080685147622268,0.40772555541762845,0.24416689302008143
RandomForest,delta,extended,crop_farming,0,1005.0,0.7621890547263681,0.7595076237406491,0.27432656637611436,0.7175210066089157
RandomForest,delta,extended,crop_farming,1,1005.0,0.7472636815920398,0.7392699331782574,0.2808143550093973,0.6955698227997991
RandomForest,delta,extended,crop_farming,2,1005.0,0.7661691542288557,0.7623660433927552,0.2733600153396656,0.7106678112163141
RandomForest,delta,extended,crop_farming,3,1005.0,0.7393034825870647,0.7322816082533121,0.277538306231138,0.7085755221599606
RandomForest,delta,extended,crop_farming,4,1005.0,0.7482587064676617,0.7392362764728,0.29639933246969585,0.6622007677569879
RandomForest,delta,extended,crop_farming,8,1005.0,0.7014925373134329,0.6905991557775414,0.3558802098426731,0.5032960409555566
RandomForest,delta,extended,crop_farming,12,1005.0,0.7104477611940299,0.693400167127393,0.3581334981253215,0.4867306820119113
RandomForest,delta,extended,pastoral,0,300.0,0.65,0.649137383829327,0.36816191490903516,0.5205637631535951
RandomForest,delta,extended,pastoral,1,300.0,0.6566666666666666,0.6548852257830586,0.3749973766652491,0.486885279612453
RandomForest,delta,extended,pastoral,2,300.0,0.6466666666666666,0.6449612538037031,0.3856537677055131,0.4771882762512599
RandomForest,delta,extended,pastoral,3,300.0,0.6333333333333333,0.6304671491522703,0.3927762434328655,0.46650652426386763
RandomForest,delta,extended,pastoral,4,300.0,0.5633333333333334,0.5569761542364282,0.46078150706202375,0.2980088101485341
