model,target_mode,window,mean_accuracy,mean_f1_weighted,mean_mae,mean_r2
LSTM,delta,default,0.6570048309178744,0.6641129094750935,0.4288982836911397,0.5218259641622058
LSTM,delta,extended,0.6232919254658384,0.6383693062749066,0.47314521322956243,0.45446344403203254
LSTM,level,default,0.5108695652173914,0.42523333098767196,0.9024486033550578,-0.943981017006007
LSTM,level,extended,0.49358178053830226,0.40869052515448784,0.9352529035885019,-0.9814530139019
RandomForest,delta,default,0.7054865424430642,0.693078389314671,0.33591043929853903,0.6626535387011824
RandomForest,delta,extended,0.7042443064182196,0.6973372098541127,0.3355365931704828,0.6938988314305551
RandomForest,level,default,0.6906487232574189,0.6642823759771693,0.3665430986974257,0.5938628239319704
RandomForest,level,extended,0.6944099378881987,0.6682393347338335,0.3640389814386054,0.6305667635364867
T-GCN,classification,default,0.4259834368530021,0.3358268523450611,0.7199792960662527,-0.226673241319059
TabICLv2,classification,default,0.6492408557625949,0.6335770503659345,0.38146997929606624,0.5252381629461113
TabICLv2,classification,extended,0.6466873706004141,0.6251626478834265,0.37908902691511387,0.5465739920724753
XGBoost,delta,default,0.6980676328502415,0.686624850210393,0.3409252764181314,0.6543055074997114
XGBoost,delta,extended,0.699896480331263,0.6941254725647077,0.3337353816383533,0.6907837674801062
XGBoost,level,default,0.6959972394755003,0.6720706397973639,0.37284420347304514,0.5807750732486535
XGBoost,level,extended,0.699896480331263,0.6760924019894052,0.36014452079849146,0.6320815241382791
