model,target_mode,window,lhz,mean_accuracy,mean_f1_weighted,mean_mae,mean_r2
LSTM,delta,default,agropastoral,0.5682539682539682,0.5848452875997908,0.5112009718304589,-0.021930400117406386
LSTM,delta,default,crop_farming,0.6820658611703388,0.6942485071007114,0.422375972803044,0.39758841420450197
LSTM,delta,default,pastoral,0.5952380952380952,0.593213039708216,0.4301723531314305,0.21870948919424066
LSTM,delta,extended,agropastoral,0.540952380952381,0.5671183218228387,0.5456019316400801,-0.17851210204683227
LSTM,delta,extended,crop_farming,0.6535891968727789,0.673731438190879,0.4578604293869333,0.31262624657086047
LSTM,delta,extended,pastoral,0.5423809523809524,0.5472772384840378,0.5062350594997406,0.03595102659803662
LSTM,level,default,agropastoral,0.3174603174603175,0.272522113833192,0.9997552246328384,-2.8669960613315633
LSTM,level,default,crop_farming,0.619047619047619,0.5584038042096363,0.7203754074544992,-0.6634361182861512
LSTM,level,default,pastoral,0.19682539682539682,0.1778116292575635,1.4880671543024835,-6.616591602238595
LSTM,level,extended,agropastoral,0.3523809523809524,0.30415229512783376,0.9946053251766023,-2.782508288790485
LSTM,level,extended,crop_farming,0.5958777540867093,0.5373042341269059,0.7364414747526397,-0.6734476372459267
LSTM,level,extended,pastoral,0.18619047619047618,0.16822144484330695,1.586433084791615,-6.519271040058614
RandomForest,delta,default,agropastoral,0.707936507936508,0.668753023256093,0.38287573269878455,0.3451932871726296
RandomForest,delta,default,crop_farming,0.7412935323383084,0.7248248569103195,0.3059007764778839,0.605567572793018
RandomForest,delta,default,pastoral,0.584920634920635,0.5707122936286566,0.4247014863976725,0.2626066078258952
RandomForest,delta,extended,agropastoral,0.6914285714285714,0.6589707735667654,0.36652852414494047,0.4066374237406526
RandomForest,delta,extended,crop_farming,0.7393034825870647,0.7309515439918154,0.3023503261991437,0.6406516647870636
RandomForest,delta,extended,pastoral,0.59,0.5755515847865313,0.4389626047808543,0.31899835453544023
RandomForest,level,default,agropastoral,0.7142857142857143,0.6433463378917735,0.3808394742169168,0.44019660283045453
RandomForest,level,default,crop_farming,0.7277896233120114,0.6934532189679593,0.33391899002485376,0.5173157110334785
RandomForest,level,default,pastoral,0.5603174603174603,0.5207243774537618,0.47225976887066873,0.09975575700370373
RandomForest,level,extended,agropastoral,0.7257142857142858,0.6591479131376303,0.3554692652091192,0.5157083774813561
RandomForest,level,extended,crop_farming,0.7304904051172708,0.6979800312073215,0.3248826958941985,0.5685906052056032
RandomForest,level,extended,pastoral,0.5657142857142857,0.5074636633375954,0.4973549670697402,0.11583246563545367
T-GCN,classification,default,agropastoral,0.47619047619047616,0.38823327546468145,0.6031746031746031,-0.648351648351648
T-GCN,classification,default,crop_farming,0.4598436389481166,0.39232292202501134,0.652215114901682,-0.25955007149495174
T-GCN,classification,default,pastoral,0.3,0.21269978029667053,0.9761904761904763,-2.550589695841091
TabICLv2,classification,default,agropastoral,0.6,0.5902034396130746,0.41904761904761906,0.029649595687331515
TabICLv2,classification,default,crop_farming,0.6780383795309168,0.649050473091247,0.3598673300165838,0.48021269177126913
TabICLv2,classification,default,pastoral,0.5650793650793651,0.5487273888072445,0.4444444444444445,-0.13671507509975497
TabICLv2,classification,extended,agropastoral,0.6209523809523809,0.6142161932665279,0.3904761904761905,0.14079822616407944
TabICLv2,classification,extended,crop_farming,0.6750533049040512,0.6476357085081321,0.35664534470504616,0.4838344878244545
TabICLv2,classification,extended,pastoral,0.5580952380952381,0.5190048098368842,0.45142857142857146,-0.05340972093882818
XGBoost,delta,default,agropastoral,0.6857142857142857,0.6569663743303725,0.39722383073254847,0.3353245233662677
XGBoost,delta,default,crop_farming,0.7320540156361052,0.7147966101962026,0.31062843658466016,0.5944906639118369
XGBoost,delta,default,pastoral,0.5873015873015872,0.5742745667410525,0.4283450512816559,0.2501282108002371
XGBoost,delta,extended,agropastoral,0.6704761904761904,0.6482950227850252,0.3847791307765401,0.36347945606900733
XGBoost,delta,extended,crop_farming,0.734186211798152,0.7263147235426548,0.3015631309777332,0.6336642505471687
XGBoost,delta,extended,pastoral,0.5923809523809523,0.5770498607980976,0.4287514840668842,0.3361075705182581
XGBoost,level,default,agropastoral,0.6984126984126985,0.6264000440326906,0.40046380439417145,0.34293286920871713
XGBoost,level,default,crop_farming,0.7275527126273394,0.6936653887834608,0.3465978803935522,0.4872479258808675
XGBoost,level,default,pastoral,0.5896825396825396,0.5523925431231436,0.4538644855590647,0.17088008196648358
XGBoost,level,extended,agropastoral,0.718095238095238,0.6626441079828915,0.3621780060389911,0.45815914897622745
XGBoost,level,extended,crop_farming,0.7309168443496802,0.7018618551965989,0.32952547130571835,0.5496664646415452
XGBoost,level,extended,pastoral,0.5914285714285715,0.5337898052992992,0.4622099652891563,0.23088124434985632
