lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,ET0410,15,0.44645868960661533,0.5428809780265549,-0.5103505519497893,0.536570342637726,0.6464522400642043,-1.1416149930527792,0.2990577997740816,0.3790003534114216,0.2638814887887372
agropastoral,0,ET0502,15,0.23800294912255573,0.40107228709405324,-1.0444123301772792,0.2537503658989206,0.4361136550956909,-1.4172554747391235,0.30875181572800786,0.3636140783433578,-0.6803686175810151
agropastoral,0,ET0707,15,0.30779379013268054,0.36813415517702636,0.0026998943295529765,0.33073473605237586,0.42812691329578656,-0.3488346031781544,0.6317979140117312,0.7247179391076283,-2.8650192629956877
agropastoral,0,ET0712,15,0.5699351926105798,0.670032060402995,-1.0097962794495094,0.5376534102677655,0.7011449009371175,-1.2007789847910764,0.7382647666298451,0.8489272628099347,-2.2262783381075684
agropastoral,0,ET1201,15,0.27913408344792345,0.3829864813548558,-3.093014891736506,0.12703302906446756,0.2460490175971571,-0.6893502733830208,0.10197100930754928,0.18666867253535077,0.02765739890750729
agropastoral,1,ET0410,15,0.4619183483488527,0.560001934278848,-0.6071172528449655,0.536570342637726,0.6464522400642043,-1.1416149930527792,0.2990577997740816,0.3790003534114216,0.2638814887887372
agropastoral,1,ET0502,15,0.27894772097715387,0.41632361990603894,-1.2028518215194204,0.2537503658989206,0.4361136550956909,-1.4172554747391235,0.30875181572800786,0.3636140783433578,-0.6803686175810151
agropastoral,1,ET0707,15,0.3315977581813559,0.3951037419530444,-0.14877751122263416,0.33073473605237586,0.42812691329578656,-0.3488346031781544,0.6317979140117312,0.7247179391076283,-2.8650192629956877
agropastoral,1,ET0712,15,0.5813345885771773,0.6905281948990982,-1.1346353747820181,0.5376534102677655,0.7011449009371175,-1.2007789847910764,0.7382647666298451,0.8489272628099347,-2.2262783381075684
agropastoral,1,ET1201,15,0.28739783839653593,0.3703858878417259,-2.8281178396013984,0.12703302906446756,0.2460490175971571,-0.6893502733830208,0.10197100930754928,0.18666867253535077,0.02765739890750729
agropastoral,2,ET0410,15,0.436857854280761,0.5470533822561338,-0.5336558805173286,0.536570342637726,0.6464522400642043,-1.1416149930527792,0.2990577997740816,0.3790003534114216,0.2638814887887372
agropastoral,2,ET0502,15,0.25406791633944487,0.408045476172191,-1.1161201237282108,0.2537503658989206,0.4361136550956909,-1.4172554747391235,0.30875181572800786,0.3636140783433578,-0.6803686175810151
agropastoral,2,ET0707,15,0.2925117690406195,0.3564992912095283,0.06474297085733705,0.33073473605237586,0.42812691329578656,-0.3488346031781544,0.6317979140117312,0.7247179391076283,-2.8650192629956877
agropastoral,2,ET0712,15,0.5458879516187694,0.6618648300493709,-0.9610988227371142,0.5376534102677655,0.7011449009371175,-1.2007789847910764,0.7382647666298451,0.8489272628099347,-2.2262783381075684
