lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,45,0.3331160495341861,0.4189306592790732,0.5483417699114406,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,1,45,0.3411618880511043,0.42737877774415545,0.529941897278606,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,2,45,0.3568028824925333,0.43629179202584895,0.5101312638814282,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,3,45,0.365518836446906,0.43085400950432806,0.5222662587795368,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,4,45,0.40293524720821494,0.4915255569154459,0.37824706248419604,0.36484710589711794,0.507015585084112,0.33844149599875495,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,8,45,0.43360641470607186,0.5080787541705312,0.3356641218807379,0.4287118228488675,0.5984142379980666,0.07842756933206319,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,12,45,0.43273500107940105,0.5373963983497192,0.2567838455972361,0.47235127488991696,0.6556413483914932,-0.10626279687629236,0.44175858945638496,0.5791462026695346,0.13681861857709476
crop_farming,0,603,0.3107778155116589,0.5104500716229755,0.6042736128781345,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,1,603,0.321658670670492,0.543910988552579,0.5506920141303099,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,2,603,0.2966157643028203,0.49317246764307715,0.6306091629137323,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,3,603,0.32420656030460954,0.536609037030484,0.5626748672903104,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,4,603,0.33593933686417005,0.5728513837333107,0.5016064596081109,0.29445845439193163,0.5393069422265868,0.5582663401978049,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,8,603,0.37019016865885884,0.61744206548781,0.4209968852845053,0.3355291599901303,0.6210466861564822,0.4142167227171273,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,12,603,0.3780446138613668,0.654023199632903,0.35035697512924635,0.3999172544503842,0.6997555816119351,0.25632836926788904,0.35305264071658177,0.6559653866038714,0.34649288702612846
pastoral,0,180,0.39910474985992184,0.4999550458203397,0.369683015602839,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,1,180,0.41028027510977183,0.5268509051584608,0.3000410693335134,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,2,180,0.4179813860738395,0.5325581829360501,0.2847938796693613,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,3,180,0.4256407807606613,0.5485530352149859,0.24118773359614376,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,4,180,0.48253698702335096,0.599835139506162,0.09267911878606339,0.40636426604163156,0.5519713763664915,0.2317010988082523,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,8,180,0.5617320019035745,0.6924772000917996,-0.2092276119939882,0.42232965144300727,0.5890271356370795,0.12508129173108717,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,12,180,0.6085422013635612,0.7399925743635636,-0.38086690596800654,0.4567531004229377,0.6170332858805453,0.03990483339511064,0.5732987703644838,0.7198381989899996,-0.3066728769919784
