combo,size,agg_method,includes_tgcn,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming
XGB+RF+LSTM+TabICL,4,majority_vote,False,0.7187698258000399,0.6200613525813088,0.6891663567641358,0.7396591115983169
XGB+RF+LSTM,3,majority_vote,False,0.7156570915689969,0.6235977595230734,0.6519850512728038,0.7341299264277292
XGB+RF+LSTM+TabICL+TGCN,5,majority_vote,True,0.715130248184976,0.6235565285054607,0.6527309084739692,0.7338305685718546
XGB+RF+TabICL,3,majority_vote,False,0.713804976447397,0.6248804521923708,0.6523672990946684,0.7311039435866837
XGB+RF+TabICL+TGCN,4,majority_vote,True,0.7137734014691118,0.6224731095475965,0.6727360213782241,0.7316502866824381
XGB+LSTM+TabICL,3,majority_vote,False,0.7136612399756164,0.6096954702962446,0.6910851574492606,0.7364089367991647
RF+LSTM+TabICL,3,majority_vote,False,0.7133765935813271,0.6063770911824157,0.684202599719487,0.7379146532222938
XGB+RF+LSTM+TGCN,4,majority_vote,True,0.7125786711731118,0.6273538386943643,0.6552219031923959,0.7309543377370024
XGB+RF,2,majority_vote,False,0.709810134043904,0.6264540228043796,0.6391270314461718,0.7251964124727701
XGB+LSTM,2,majority_vote,False,0.7077163301039864,0.6278181558658533,0.6582707645553197,0.7286619323003724
RF+LSTM,2,majority_vote,False,0.7058501131939886,0.6241005744936772,0.6706526520570746,0.7272242527507189
XGB+LSTM+TabICL+TGCN,4,majority_vote,True,0.7053952302065236,0.6081215058609819,0.6784796249481791,0.7273988619557562
XGB+RF+TGCN,3,majority_vote,True,0.704909585090118,0.6185268578468434,0.6442547443787305,0.7214426045148488
XGB+LSTM+TGCN,3,majority_vote,True,0.702168891591065,0.619048139720151,0.6445001227527198,0.7208880673783583
RF+LSTM+TabICL+TGCN,4,majority_vote,True,0.7015177972041633,0.6118491510809828,0.672162547879184,0.7216747594100134
RF+LSTM+TGCN,3,majority_vote,True,0.699969963556259,0.6180295579865014,0.65157040063193,0.7177973274744683
RF+TabICL+TGCN,3,majority_vote,True,0.6891008128988495,0.5966191889165733,0.6571419616822954,0.7072560628625804
XGB+TabICL+TGCN,3,majority_vote,True,0.6863870767456979,0.5906500599519999,0.6636932566009158,0.7052261132399166
RF+TabICL,2,majority_vote,False,0.6850811807156961,0.5765047034182798,0.6861807687057048,0.7102291250748347
LSTM+TabICL,2,majority_vote,False,0.6846084451747079,0.5669565000909975,0.669037705451631,0.718062983806388
XGB+TabICL,2,majority_vote,False,0.6824298399068514,0.5722432354311826,0.674223512602019,0.7086468473832913
LSTM+TabICL+TGCN,3,majority_vote,True,0.6704618854983949,0.5851991235928414,0.657138961610951,0.6901051385447835
TabICL+TGCN,2,majority_vote,True,0.667170872848702,0.5355728233562076,0.6686930190010231,0.6995509363271514
