combo,size,agg_method,includes_tgcn,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming
XGB+RF+LSTM,3,majority_vote,False,0.710941429137806,0.6115403115997429,0.6378908133111428,0.735886641048659
XGB+RF+TabICL,3,majority_vote,False,0.708909718505296,0.5979130969407033,0.6462295935427976,0.736257195134184
XGB+RF+LSTM+TabICL,4,majority_vote,False,0.7082292372250257,0.5941596955786258,0.668495658853409,0.7374803389554293
XGB+RF,2,majority_vote,False,0.7070937914082579,0.6015304609418308,0.6403220046761423,0.7323132278146023
XGB+RF+TabICL+TGCN,4,majority_vote,True,0.7069303235188874,0.5941484313696844,0.6612451266608604,0.7338408014236154
XGB+RF+LSTM+TabICL+TGCN,5,majority_vote,True,0.7056607900504809,0.5923476832775487,0.636821247846458,0.734411246366828
RF+LSTM+TabICL,3,majority_vote,False,0.7036035358278868,0.577624090854173,0.6750166131214311,0.7362019221140438
XGB+RF+TGCN,3,majority_vote,True,0.7027142508749519,0.5857895811475747,0.6458109611746881,0.7312051708243796
XGB+LSTM+TabICL,3,majority_vote,False,0.7016320104429435,0.5834162563613351,0.6763913183502087,0.7317186091395678
XGB+RF+LSTM+TGCN,4,majority_vote,True,0.6996165197194925,0.600175511010487,0.6306565584147374,0.7254937331673311
XGB+LSTM+TabICL+TGCN,4,majority_vote,True,0.6964452238857914,0.5812881161201948,0.6672089668108647,0.7254211234551503
RF+LSTM+TabICL+TGCN,4,majority_vote,True,0.6937555097922795,0.5765956863779861,0.6640384116675507,0.7234098586415537
XGB+LSTM,2,majority_vote,False,0.6931800308207837,0.6050695304297633,0.6372193170155694,0.7199336258958974
RF+LSTM,2,majority_vote,False,0.6924164432661052,0.6031373045884728,0.6511978705171911,0.71890243376554
RF+TabICL+TGCN,3,majority_vote,True,0.6913052964677993,0.5651095861605586,0.6470292166083693,0.7215158618950023
RF+LSTM+TGCN,3,majority_vote,True,0.6876204294526789,0.586867337525592,0.6287564483749649,0.713986047572633
XGB+TabICL+TGCN,3,majority_vote,True,0.6873211429019034,0.556581069553048,0.6673847705782894,0.7177048949264221
RF+TabICL,2,majority_vote,False,0.6865878831285529,0.5505812558038935,0.6908350411216662,0.7209181877079225
XGB+TabICL,2,majority_vote,False,0.6862521309704388,0.5484267960510285,0.674256170141288,0.7220976503388199
XGB+LSTM+TGCN,3,majority_vote,True,0.685097956790874,0.5883727576850326,0.6367609196726206,0.7100788184736916
LSTM+TabICL,2,majority_vote,False,0.6772358808970792,0.5577373492051393,0.6402415842272378,0.7122528237110208
TabICL+TGCN,2,majority_vote,True,0.668889825685177,0.5160019296374665,0.665944516602731,0.7078715195431614
LSTM+TabICL+TGCN,3,majority_vote,True,0.6656138368970099,0.5482503610579128,0.6523075818836549,0.695739103455162
LSTM+TGCN,2,majority_vote,True,0.4545530853557585,0.48166021259368746,0.47333354821006574,0.462288867230302
RF+TGCN,2,majority_vote,True,0.37473084587094385,0.29153298653804544,0.4529829503540465,0.4113740700907946
XGB+TGCN,2,majority_vote,True,0.3742981555068257,0.29369602765736263,0.4823521226413753,0.40707038730446243
XGB+RF+LSTM+TabICL,4,mean,False,0.7104418047118147,0.6081315225207067,0.6917179700249816,0.735608287417522
XGB+RF,2,mean,False,0.7070937914082579,0.6015304609418308,0.6403220046761423,0.7323132278146023
XGB+RF+LSTM,3,mean,False,0.7055418952019765,0.6150953250534388,0.6539600214542463,0.7301006123681351
XGB+RF+TabICL,3,mean,False,0.7040801395240585,0.5718968972779878,0.6867602309721298,0.7360872681629388
XGB+LSTM+TabICL,3,mean,False,0.701971413150953,0.5883492231234791,0.6906074896425934,0.7313228783903671
RF+LSTM+TabICL,3,mean,False,0.7012834395138664,0.5912681435756569,0.7018156665539609,0.7289437241015794
RF+LSTM,2,mean,False,0.6953722271642766,0.6088197731373872,0.6587059950306277,0.7209472098361603
XGB+LSTM,2,mean,False,0.6946560093327342,0.6092531843027761,0.6480069718744618,0.7203775163622588
RF+TabICL,2,mean,False,0.688584241082822,0.5523341818554922,0.6908350411216662,0.7227582225780579
XGB+TabICL,2,mean,False,0.6884605971464529,0.5501752057461718,0.6724668052515648,0.7241928143426005
LSTM+TabICL,2,mean,False,0.6825010959124654,0.5693508272048149,0.6456503983177121,0.7158700218637107
XGB+RF+LSTM+TabICL+TGCN,5,mean,True,0.676974323832442,0.52545585434287,0.6572556067805481,0.7174586008652193
RF+LSTM+TabICL+TGCN,4,mean,True,0.6512593921721379,0.48956026133854813,0.6432335677566806,0.6963315703436148
XGB+RF+TabICL+TGCN,4,mean,True,0.6508827342751423,0.4697767857769561,0.6439762775329786,0.6997825337891813
XGB+LSTM+TabICL+TGCN,4,mean,True,0.650165208654613,0.4895264689214692,0.6473280258345999,0.6945031627326106
RF+TabICL+TGCN,3,mean,True,0.6397257099651659,0.45446728627970595,0.6360385359811188,0.6885741424818457
XGB+RF+LSTM+TGCN,4,mean,True,0.6396076378233208,0.48135685387382426,0.6330042533469241,0.6840486806652782
XGB+TabICL+TGCN,3,mean,True,0.6389908743170432,0.4531999134651738,0.6436252488402605,0.6873602549193504
LSTM+TabICL+TGCN,3,mean,True,0.6314014893653471,0.4721735751281715,0.6387661939663787,0.6757763731734033
XGB+LSTM+TGCN,3,mean,True,0.6165662929054012,0.466979820075118,0.6191459446177253,0.6600466185424878
RF+LSTM+TGCN,3,mean,True,0.6152690271767767,0.4652951621365707,0.6227232581522585,0.6584970804877549
XGB+RF+TGCN,3,mean,True,0.6050628953368856,0.4066868160090138,0.6051189716967106,0.661026893434289
LSTM+TGCN,2,mean,True,0.4612077821894894,0.4239607415399239,0.5220975506681058,0.47597121351770794
XGB+TGCN,2,mean,True,0.39437645975589813,0.28490515803254246,0.49177779046695297,0.4234232181900031
RF+TGCN,2,mean,True,0.38998401290864637,0.27512757167026286,0.48156664227267915,0.42115312143306893
TabICL+TGCN,2,mean,True,0.3810478878934624,0.24738008522671187,0.5277887500593896,0.4129653004682456
XGB+RF+LSTM,3,median,False,0.710941429137806,0.6115403115997429,0.6378908133111428,0.735886641048659
XGB+RF+LSTM+TabICL,4,median,False,0.7101359308146681,0.5966191473740199,0.6639331724263712,0.7391936736121542
XGB+RF+TabICL,3,median,False,0.708909718505296,0.5979130969407033,0.6462295935427976,0.736257195134184
XGB+RF,2,median,False,0.7070937914082579,0.6015304609418308,0.6403220046761423,0.7323132278146023
XGB+RF+LSTM+TabICL+TGCN,5,median,True,0.7060043890430665,0.5923476832775487,0.6386500181895467,0.7349124040202354
RF+LSTM+TabICL,3,median,False,0.7036035358278868,0.577624090854173,0.6750166131214311,0.7362019221140438
XGB+RF+TGCN,3,median,True,0.7027142508749519,0.5857895811475747,0.6458109611746881,0.7312051708243796
XGB+LSTM+TabICL,3,median,False,0.7016320104429435,0.5834162563613351,0.6763913183502087,0.7317186091395678
XGB+RF+LSTM+TGCN,4,median,True,0.7011993421352406,0.5918508125508545,0.651252031750814,0.7282716769145322
RF+LSTM,2,median,False,0.6953722271642766,0.6088197731373872,0.6587059950306277,0.7209472098361603
XGB+LSTM,2,median,False,0.6946560093327342,0.6092531843027761,0.6480069718744618,0.7203775163622588
XGB+RF+TabICL+TGCN,4,median,True,0.6943784514066238,0.566945688462153,0.6545348052354958,0.7264396958141351
RF+TabICL+TGCN,3,median,True,0.6913052964677993,0.5651095861605586,0.6470292166083693,0.7215158618950023
RF+TabICL,2,median,False,0.688584241082822,0.5523341818554922,0.6908350411216662,0.7227582225780579
XGB+TabICL,2,median,False,0.6884605971464529,0.5501752057461718,0.6724668052515648,0.7241928143426005
RF+LSTM+TGCN,3,median,True,0.6876204294526789,0.586867337525592,0.6287564483749649,0.713986047572633
XGB+TabICL+TGCN,3,median,True,0.6873211429019034,0.556581069553048,0.6673847705782894,0.7177048949264221
RF+LSTM+TabICL+TGCN,4,median,True,0.6868610596178597,0.5610333889692258,0.6667691447595759,0.7195088341032824
