combo,majority_vote,mean,median,best_agg
XGB+RF+LSTM+TabICL,0.7187698258000399,0.7218258864610027,0.7203718489939933,mean
XGB+RF+LSTM,0.7156570915689969,0.7171872307316399,0.7156570915689969,mean
XGB+LSTM+TabICL,0.7136612399756164,0.7109451731512921,0.7136612399756164,median
RF+LSTM+TabICL,0.7133765935813271,0.7102639520431875,0.7133765935813271,median
XGB+RF,0.709810134043904,0.709810134043904,0.709810134043904,mean
RF+LSTM,0.7058501131939886,0.7092792810414262,0.7092792810414262,mean
XGB+LSTM,0.7077163301039864,0.7090817164671869,0.7090817164671869,mean
XGB+RF+TabICL,0.713804976447397,0.7040546835836838,0.713804976447397,median
LSTM+TabICL,0.6846084451747079,0.6887491248972223,0.6887491248972223,mean
RF+TabICL,0.6850811807156961,0.6878669692501995,0.6878669692501995,mean
XGB+TabICL,0.6824298399068514,0.6850952423147232,0.6850952423147232,mean
XGB+RF+LSTM+TabICL+TGCN,0.715130248184976,0.6797502428808567,0.7152068883049013,median
RF+LSTM+TabICL+TGCN,0.7015177972041633,0.6601052618862449,0.6865209112729923,majority_vote
XGB+LSTM+TabICL+TGCN,0.7053952302065236,0.6587400346594372,0.6838836182679626,majority_vote
XGB+RF+TabICL+TGCN,0.7137734014691118,0.6557125552165577,0.6919195414909126,majority_vote
XGB+RF+LSTM+TGCN,0.7125786711731118,0.6529961414947009,0.7132333483280465,median
RF+TabICL+TGCN,0.6891008128988495,0.6491394059035163,0.6891008128988495,median
XGB+TabICL+TGCN,0.6863870767456979,0.64699362016819,0.6863870767456979,median
LSTM+TabICL+TGCN,0.6704618854983949,0.6415624790602825,0.6704618854983949,median
RF+LSTM+TGCN,0.699969963556259,0.6303600865019577,0.699969963556259,median
XGB+LSTM+TGCN,0.702168891591065,0.6296904377769564,0.702168891591065,median
XGB+RF+TGCN,0.704909585090118,0.6089554819843296,0.704909585090118,median
LSTM+TGCN,0.4948943532714049,0.4798995427686701,0.4798995427686701,majority_vote
TabICL+TGCN,0.667170872848702,0.4221642544838298,0.4221642544838298,majority_vote
XGB+TGCN,0.3973813241910841,0.40991161663698134,0.40991161663698134,mean
RF+TGCN,0.3967785119098611,0.4077499663575482,0.4077499663575482,mean
