combo,majority_vote,mean,median,best_agg
XGB+RF+LSTM+TabICL,0.7082292372250257,0.7104418047118147,0.7101359308146681,mean
XGB+RF,0.7070937914082579,0.7070937914082579,0.7070937914082579,mean
XGB+RF+LSTM,0.710941429137806,0.7055418952019765,0.710941429137806,median
XGB+RF+TabICL,0.708909718505296,0.7040801395240585,0.708909718505296,median
XGB+LSTM+TabICL,0.7016320104429435,0.701971413150953,0.7016320104429435,mean
RF+LSTM+TabICL,0.7036035358278868,0.7012834395138664,0.7036035358278868,median
RF+LSTM,0.6924164432661052,0.6953722271642766,0.6953722271642766,mean
XGB+LSTM,0.6931800308207837,0.6946560093327342,0.6946560093327342,mean
RF+TabICL,0.6865878831285529,0.688584241082822,0.688584241082822,mean
XGB+TabICL,0.6862521309704388,0.6884605971464529,0.6884605971464529,mean
LSTM+TabICL,0.6772358808970792,0.6825010959124654,0.6825010959124654,mean
XGB+RF+LSTM+TabICL+TGCN,0.7056607900504809,0.676974323832442,0.7060043890430665,median
RF+LSTM+TabICL+TGCN,0.6937555097922795,0.6512593921721379,0.6868610596178597,majority_vote
XGB+RF+TabICL+TGCN,0.7069303235188874,0.6508827342751423,0.6943784514066238,majority_vote
XGB+LSTM+TabICL+TGCN,0.6964452238857914,0.650165208654613,0.686812912138466,majority_vote
RF+TabICL+TGCN,0.6913052964677993,0.6397257099651659,0.6913052964677993,median
XGB+RF+LSTM+TGCN,0.6996165197194925,0.6396076378233208,0.7011993421352406,median
XGB+TabICL+TGCN,0.6873211429019034,0.6389908743170432,0.6873211429019034,median
LSTM+TabICL+TGCN,0.6656138368970099,0.6314014893653471,0.6656138368970099,median
XGB+LSTM+TGCN,0.685097956790874,0.6165662929054012,0.685097956790874,median
RF+LSTM+TGCN,0.6876204294526789,0.6152690271767767,0.6876204294526789,median
XGB+RF+TGCN,0.7027142508749519,0.6050628953368856,0.7027142508749519,median
LSTM+TGCN,0.4545530853557585,0.4612077821894894,0.4612077821894894,mean
XGB+TGCN,0.3742981555068257,0.39437645975589813,0.39437645975589813,mean
RF+TGCN,0.37473084587094385,0.38998401290864637,0.38998401290864637,mean
TabICL+TGCN,0.668889825685177,0.3810478878934624,0.3810478878934624,majority_vote
