combo,subset,lead,n,accuracy,f1_weighted,mae,r2
Busker (reference),all,0,736,0.7160326086956522,0.7041520737929458,0.3324134628266601,0.6765522741705114
Busker (reference),all,1,736,0.7228260869565217,0.7101361257426817,0.3243893895312783,0.6917896360615516
Busker (reference),all,2,736,0.7269021739130435,0.7159934466909739,0.32118875780466993,0.6879494551811611
Busker (reference),all,3,736,0.6970108695652174,0.6877782403534735,0.3640072015507969,0.6537578860143143
Busker (reference),all,4,736,0.6807065217391305,0.6582373109069899,0.38717743456989817,0.5340237222818291
Busker (reference),all,8,736,0.6997282608695652,0.6868842488805194,0.387942704537403,0.5335539924908501
Busker (reference),all,12,736,0.6521739130434783,0.6405726077274302,0.4077483135910365,0.5079602298960377
Busker (reference),pastoral,0,160,0.6375,0.6198441994247362,0.3507823596538576,0.4999186778843835
Busker (reference),pastoral,1,160,0.625,0.602495104151342,0.3455649547371725,0.5153729571827488
Busker (reference),pastoral,2,160,0.6625,0.6514103103584494,0.33171305983129623,0.5310490295214283
Busker (reference),pastoral,3,160,0.5875,0.5629304919908467,0.38573311237995184,0.43846017746121757
Busker (reference),pastoral,4,160,0.53125,0.5089926396090351,0.4339864066325756,0.287940473480781
Busker (reference),pastoral,8,160,0.64375,0.611812865497076,0.37951878309075215,0.37589989806616486
Busker (reference),pastoral,12,160,0.56875,0.5311371100164204,0.4052807679013772,0.4021446691978734
Busker (reference),agropastoral,0,40,0.75,0.75,0.3834808479054068,0.3639800372213323
Busker (reference),agropastoral,1,40,0.825,0.8182440476190476,0.33031414540713194,0.4591163154200564
Busker (reference),agropastoral,2,40,0.775,0.7734397163120568,0.34631424372783304,0.46025300452928697
Busker (reference),agropastoral,3,40,0.775,0.7641176470588236,0.3654385904997633,0.3841370549224322
Busker (reference),agropastoral,4,40,0.725,0.6823676323676324,0.4199352669225296,0.16611736899873308
Busker (reference),agropastoral,8,40,0.65,0.6384049773755656,0.4742670735483575,-0.020944140776895326
Busker (reference),agropastoral,12,40,0.675,0.6535714285714286,0.48865242218538363,-0.047887777961219014
Busker (reference),crop_farming,0,536,0.7369402985074627,0.7181470249680115,0.3231192111559485,0.5825487469601621
Busker (reference),crop_farming,1,536,0.7444029850746269,0.7275645352051113,0.3176261793298283,0.60082934374566
Busker (reference),crop_farming,2,536,0.7425373134328358,0.7187857840820472,0.316172138847232,0.5915411697714938
Busker (reference),crop_farming,3,536,0.7238805970149254,0.712003346987815,0.3574150349638128,0.5550629660696339
Busker (reference),crop_farming,4,536,0.7220149253731343,0.6808243477445537,0.37075999273382787,0.3934409680580472
Busker (reference),crop_farming,8,536,0.7201492537313433,0.68632002947643,0.384015190863944,0.38481341376388456
Busker (reference),crop_farming,12,536,0.6753731343283582,0.6458363316711959,0.40244727434956573,0.3387252564821379
