combo,size,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming,mean_r2_all,mean_r2_pastoral,mean_r2_agropastoral,mean_r2_crop_farming
XGB+RF+LSTM+TabICL,4,0.7218258864610027,0.6214790319573142,0.6970892302886506,0.7430673815321268,0.688735506564081,0.42543443086782473,0.3945565319950927,0.6170949156462188
XGB+RF+LSTM,3,0.7171872307316399,0.6247691271898701,0.6810295890848205,0.73771331107183,0.6801973994835387,0.432197745017364,0.34434682962346985,0.6040221640543902
XGB+LSTM+TabICL,3,0.7109451731512921,0.5954301431510987,0.7060888625711425,0.7376277223157344,0.6746309686176166,0.4008905510724882,0.3701247746732478,0.5993436204669512
RF+LSTM+TabICL,3,0.7102639520431875,0.6005620832695117,0.7135341454452863,0.7351655968411167,0.6774509430385505,0.40531293779798483,0.38751096566111104,0.6024292795083345
XGB+RF,2,0.709810134043904,0.6264540228043796,0.6391270314461718,0.7251964124727701,0.6750760654207584,0.3667706753844798,0.31197263698726985,0.6087722281369946
RF+LSTM,2,0.7092792810414262,0.6250873867046788,0.6794487139805826,0.7311140051061376,0.6642088306266943,0.4262168618953332,0.31753660630023667,0.579934032576013
XGB+LSTM,2,0.7090817164671869,0.6264261717167167,0.6709381997313031,0.7306334582879567,0.6573629044307584,0.4148801623642865,0.288178928027795,0.5719851770396269
XGB+RF+TabICL,3,0.7040546835836838,0.5957860061194212,0.6964049128533379,0.7254438753673444,0.6831426370251776,0.37377969328875843,0.37791891010600526,0.6178989622485813
LSTM+TabICL,2,0.6887491248972223,0.5761650913728984,0.6754273625708981,0.7203634461523029,0.6265711802106001,0.2982454030716056,0.29003652118176443,0.5421371255392232
RF+TabICL,2,0.6878669692501995,0.5794550976221008,0.6861807687057048,0.7121361962389522,0.6660706570972535,0.3242175175905345,0.3716817516338585,0.5989547879385928
XGB+TabICL,2,0.6850952423147232,0.5752061126023185,0.6711904397237448,0.710476056757743,0.6652830501869366,0.3192703815745427,0.34547183221521394,0.5997007792670824
XGB+RF+LSTM+TabICL+TGCN,5,0.6797502428808567,0.5585776772203872,0.6666567438291865,0.7084736353960305,0.6490729275681513,0.2615879705387632,0.39748392944957356,0.5810711878454727
RF+LSTM+TabICL+TGCN,4,0.6601052618862449,0.513488192725811,0.6497241252261904,0.6993670320875934,0.6262603557173305,0.20333278898786142,0.3913173446077393,0.5542280605049691
XGB+LSTM+TabICL+TGCN,4,0.6587400346594372,0.5143359223860263,0.6569902089278644,0.6966645935078988,0.6249887911762239,0.1985391917971138,0.3874749664695856,0.5531639473010284
XGB+RF+TabICL+TGCN,4,0.6557125552165577,0.4875924293465831,0.6503367720522374,0.6989615880991542,0.6129986464055521,0.09507916600695786,0.3423378836411584,0.5539961072257374
XGB+RF+LSTM+TGCN,4,0.6529961414947009,0.501420277305645,0.6484896054081114,0.6931214071531056,0.623656595539029,0.18083325101311987,0.33483587049867236,0.5564704025001852
RF+TabICL+TGCN,3,0.6491394059035163,0.479727014638256,0.6402987131513677,0.6923035324007504,0.5600032619558999,-0.07479118878725845,0.30134978358843306,0.4990211793151242
XGB+TabICL+TGCN,3,0.64699362016819,0.4740634110101564,0.6423168643136548,0.6910258180666283,0.5602126296769475,-0.08108947974130946,0.3002562270335143,0.5005466332510525
LSTM+TabICL+TGCN,3,0.6415624790602825,0.49444864065116445,0.6406324033793255,0.6818795865377154,0.5722754202283648,0.07048372615865413,0.35310085273746383,0.49084483127532935
RF+LSTM+TGCN,3,0.6303600865019577,0.4865612139522914,0.6449370286342713,0.66979471140649,0.5810684861923602,0.06457550807500145,0.297520442780495,0.5088430556138536
XGB+LSTM+TGCN,3,0.6296904377769564,0.48545171726453745,0.6340574695237872,0.6702490456244273,0.5785852675642439,0.055437411114259295,0.29502788229055527,0.5065041331653928
XGB+RF+TGCN,3,0.6089554819843296,0.42083180028970374,0.5982739012018462,0.6617725794570763,0.5566303022265996,-0.12276266005331347,0.2175650258114715,0.5057779872931867
LSTM+TGCN,2,0.4798995427686701,0.4388077841323702,0.5669664781150796,0.4946388624369019,0.4539234690367924,-0.2672786592923026,0.15747248282500184,0.3651773279322686
TabICL+TGCN,2,0.4221642544838298,0.2798843356011182,0.5158988630947324,0.45879265228293675,0.40782007579224766,-0.5450228916327687,0.14784422274457665,0.33957091255065297
XGB+TGCN,2,0.40991161663698134,0.2765833622132697,0.4930857026218853,0.445787166418793,0.42484311362025634,-0.5968147589323151,0.05459023067713675,0.3810377917730716
RF+TGCN,2,0.4077499663575482,0.27218461611279254,0.48719064122645295,0.44560772918471525,0.4248730199967343,-0.5812572748870204,0.04728948147545299,0.3786116431105072
