combo,subset,lead,n,accuracy,f1_weighted,mae,r2
Persistence,all,0,828,0.7306763285024155,0.7300129188532143,0.2838651669925179,0.7017652378313505
Persistence,all,1,828,0.7306763285024155,0.7300129188532143,0.2838651669925179,0.7017652378313505
Persistence,all,2,828,0.7306763285024155,0.7300129188532143,0.2838651669925179,0.7017652378313505
Persistence,all,3,828,0.7306763285024155,0.7300129188532143,0.2838651669925179,0.7017652378313505
Persistence,all,4,828,0.6944444444444444,0.6905437767552074,0.32261127494106134,0.6303932342331882
Persistence,all,8,828,0.6811594202898551,0.6663897210282682,0.3594631072004697,0.5243844036442842
Persistence,all,12,828,0.6485507246376812,0.6293011481867066,0.4162095046856965,0.4143297332060174
Persistence,pastoral,0,180,0.6611111111111111,0.6623519583271905,0.3382886393188928,0.4035083314116319
Persistence,pastoral,1,180,0.6611111111111111,0.6623519583271905,0.3382886393188928,0.4035083314116319
Persistence,pastoral,2,180,0.6611111111111111,0.6623519583271905,0.3382886393188928,0.4035083314116319
Persistence,pastoral,3,180,0.6611111111111111,0.6623519583271905,0.3382886393188928,0.4035083314116319
Persistence,pastoral,4,180,0.5888888888888889,0.5848832045474731,0.40636426604163156,0.2317010988082523
Persistence,pastoral,8,180,0.6,0.5718247356945987,0.42232965144300727,0.12508129173108717
Persistence,pastoral,12,180,0.5833333333333334,0.5539563675489912,0.4567531004229377,0.03990483339511064
Persistence,agropastoral,0,45,0.7333333333333333,0.7265454545454546,0.3396526166420552,0.3669965015344797
Persistence,agropastoral,1,45,0.7333333333333333,0.7265454545454546,0.3396526166420552,0.3669965015344797
Persistence,agropastoral,2,45,0.7333333333333333,0.7265454545454546,0.3396526166420552,0.3669965015344797
Persistence,agropastoral,3,45,0.7333333333333333,0.7265454545454546,0.3396526166420552,0.3669965015344797
Persistence,agropastoral,4,45,0.7555555555555555,0.7349222111883482,0.36484710589711794,0.33844149599875495
Persistence,agropastoral,8,45,0.6444444444444445,0.6071584189231248,0.4287118228488675,0.07842756933206319
Persistence,agropastoral,12,45,0.6666666666666666,0.6365252525252525,0.47235127488991696,-0.10626279687629236
Persistence,crop_farming,0,603,0.7512437810945274,0.7491304292884626,0.2634561118466196,0.6437195146596164
Persistence,crop_farming,1,603,0.7512437810945274,0.7491304292884626,0.2634561118466196,0.6437195146596164
Persistence,crop_farming,2,603,0.7512437810945274,0.7491304292884626,0.2634561118466196,0.6437195146596164
Persistence,crop_farming,3,603,0.7512437810945274,0.7491304292884626,0.2634561118466196,0.6437195146596164
Persistence,crop_farming,4,603,0.7213930348258707,0.7147119316641464,0.29445845439193163,0.5582663401978049
Persistence,crop_farming,8,603,0.7081260364842454,0.6900036654270211,0.3355291599901303,0.4142167227171273
Persistence,crop_farming,12,603,0.6666666666666666,0.6450129486561988,0.3999172544503842,0.25632836926788904
