combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+LSTM+TabICL,all,0,828,0.7318840579710145,0.7409335402972499,0.3000158233520245,0.7407392160725979
XGB+RF+LSTM+TabICL,all,1,828,0.7415458937198067,0.7474262744740078,0.2884349487540313,0.7514701805332983
XGB+RF+LSTM+TabICL,all,2,828,0.7367149758454107,0.7427953232703525,0.29849810226556256,0.7384153642218192
XGB+RF+LSTM+TabICL,all,3,828,0.7451690821256038,0.7492618356781886,0.29994203715411116,0.7458310684474307
XGB+RF+LSTM+TabICL,all,4,828,0.7222222222222222,0.7243060751847068,0.3302981216177439,0.6968855096678375
XGB+RF+LSTM+TabICL,all,8,828,0.6884057971014492,0.6754942712635447,0.3682086747936664,0.5821228923827961
XGB+RF+LSTM+TabICL,all,12,828,0.6896135265700483,0.6725638850589689,0.37608301575424374,0.5656843146227877
XGB+RF+LSTM+TabICL,pastoral,0,180,0.6444444444444445,0.6328735140329343,0.3357557433537056,0.4652086131517015
XGB+RF+LSTM+TabICL,pastoral,1,180,0.6555555555555556,0.6464012125751173,0.32701718474774105,0.5085826764798849
XGB+RF+LSTM+TabICL,pastoral,2,180,0.6611111111111111,0.6507024444421402,0.33673973224016424,0.49438606681435715
XGB+RF+LSTM+TabICL,pastoral,3,180,0.6444444444444445,0.6384175084175084,0.34244929422739323,0.481097168892453
XGB+RF+LSTM+TabICL,pastoral,4,180,0.6333333333333333,0.6129322904685223,0.3773657000494702,0.40905203361660836
XGB+RF+LSTM+TabICL,pastoral,8,180,0.6333333333333333,0.5937057409444648,0.3989816648070029,0.3343197762779314
XGB+RF+LSTM+TabICL,pastoral,12,180,0.6166666666666667,0.5753205128205128,0.40878961058263774,0.2853946808418367
XGB+RF+LSTM+TabICL,agropastoral,0,45,0.7111111111111111,0.7115160556976414,0.37752703959575656,0.356615426961846
XGB+RF+LSTM+TabICL,agropastoral,1,45,0.6666666666666666,0.6643775147466698,0.39098787092622395,0.33679946931584626
XGB+RF+LSTM+TabICL,agropastoral,2,45,0.7333333333333333,0.7358888888888889,0.379466825110759,0.36850746953093705
XGB+RF+LSTM+TabICL,agropastoral,3,45,0.7333333333333333,0.7307109557109557,0.34952789126129596,0.4846300592106998
XGB+RF+LSTM+TabICL,agropastoral,4,45,0.7555555555555555,0.7420175438596492,0.3918873786571462,0.37672341527739994
