combo,size,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming,mean_r2_all,mean_r2_pastoral,mean_r2_agropastoral,mean_r2_crop_farming
XGB+RF+LSTM+TabICL,4,0.7104418047118147,0.6081315225207067,0.6917179700249816,0.735608287417522,0.710874180583348,0.4582551330948133,0.4217260241896568,0.6400306435133726
XGB+RF,2,0.7070937914082579,0.6015304609418308,0.6403220046761423,0.7323132278146023,0.7086990221583181,0.4090833802325327,0.393049736824248,0.6479595553529649
XGB+RF+LSTM,3,0.7055418952019765,0.6150953250534388,0.6539600214542463,0.7301006123681351,0.6944764137888075,0.4473684586119709,0.3766642540203612,0.616008486538108
XGB+RF+TabICL,3,0.7040801395240585,0.5718968972779878,0.6867602309721298,0.7360872681629388,0.7171211086521109,0.419431134684325,0.440597215664632,0.6581555873261135
XGB+LSTM+TabICL,3,0.701971413150953,0.5883492231234791,0.6906074896425934,0.7313228783903671,0.6910072848160224,0.4308848749960772,0.3729284299911157,0.6136429637741915
RF+LSTM+TabICL,3,0.7012834395138664,0.5912681435756569,0.7018156665539609,0.7289437241015794,0.6955562376192876,0.43291311770990404,0.3918823754794011,0.6202145164569263
RF+LSTM,2,0.6953722271642766,0.6088197731373872,0.6587059950306277,0.7209472098361603,0.6648063744341334,0.40858732563254035,0.3144350041067626,0.5756613460445494
XGB+LSTM,2,0.6946560093327342,0.6092531843027761,0.6480069718744618,0.7203775163622588,0.6550222098479896,0.3993473022592112,0.2845808941742933,0.5620446176783548
RF+TabICL,2,0.688584241082822,0.5523341818554922,0.6908350411216662,0.7227582225780579,0.7012890048220559,0.37478282284727565,0.4294719188552479,0.6406412409337436
XGB+TabICL,2,0.6884605971464529,0.5501752057461718,0.6724668052515648,0.7241928143426005,0.6987875134442988,0.3786695995432499,0.3993045312270495,0.6368960628756192
LSTM+TabICL,2,0.6825010959124654,0.5693508272048149,0.6456503983177121,0.7158700218637107,0.632630410236055,0.3181571093576768,0.23777086273631204,0.5425264483833242
XGB+RF+LSTM+TabICL+TGCN,5,0.676974323832442,0.52545585434287,0.6572556067805481,0.7174586008652193,0.6757453077772518,0.31522222950617124,0.4265917825992981,0.6090511275873017
RF+LSTM+TabICL+TGCN,4,0.6512593921721379,0.48956026133854813,0.6432335677566806,0.6963315703436148,0.6500359476411716,0.25679470992717185,0.40714698747908656,0.5777090005489892
XGB+RF+TabICL+TGCN,4,0.6508827342751423,0.4697767857769561,0.6439762775329786,0.6997825337891813,0.6440437834262616,0.14115614931927659,0.3942306758313567,0.5922889403572521
XGB+LSTM+TabICL+TGCN,4,0.650165208654613,0.4895264689214692,0.6473280258345999,0.6945031627326106,0.6486318074895548,0.25996291060595206,0.39979463390689773,0.5749513346987566
RF+TabICL+TGCN,3,0.6397257099651659,0.45446728627970595,0.6360385359811188,0.6885741424818457,0.5862988660918711,-0.03924742670589427,0.34782619890487126,0.5323792434132107
XGB+RF+LSTM+TGCN,4,0.6396076378233208,0.48135685387382426,0.6330042533469241,0.6840486806652782,0.6467671309740098,0.24981941012632639,0.36223985551324356,0.575610835898252
XGB+TabICL+TGCN,3,0.6389908743170432,0.4531999134651738,0.6436252488402605,0.6873602549193504,0.5872397957910362,-0.029859370920469863,0.3403015657633993,0.5323837554474766
LSTM+TabICL+TGCN,3,0.6314014893653471,0.4721735751281715,0.6387661939663787,0.6757763731734033,0.5900542462244802,0.13534386927439904,0.34018599621537776,0.5024628824387325
XGB+LSTM+TGCN,3,0.6165662929054012,0.466979820075118,0.6191459446177253,0.6600466185424878,0.5952747513630879,0.14457252557151104,0.2963736748186884,0.5116135837762535
RF+LSTM+TGCN,3,0.6152690271767767,0.4652951621365707,0.6227232581522585,0.6584970804877549,0.5975705653120943,0.14101860315022147,0.3037590734287254,0.5159964274344632
XGB+RF+TGCN,3,0.6050628953368856,0.4066868160090138,0.6051189716967106,0.661026893434289,0.5848608013301799,-0.05085860841601681,0.26702178263307924,0.5361077870281499
LSTM+TGCN,2,0.4612077821894894,0.4239607415399239,0.5220975506681058,0.47597121351770794,0.45319264571312096,-0.14906544273293473,0.10518990868998321,0.3361488735479042
XGB+TGCN,2,0.39437645975589813,0.28490515803254246,0.49177779046695297,0.4234232181900031,0.44223182013820445,-0.4899422167638451,0.07445628247374705,0.39040163767032304
RF+TGCN,2,0.38998401290864637,0.27512757167026286,0.48156664227267915,0.42115312143306893,0.43966374909388,-0.5063888650138311,0.07859443962588678,0.38922222042326565
TabICL+TGCN,2,0.3810478878934624,0.24738008522671187,0.5277887500593896,0.4129653004682456,0.42064606262149523,-0.5124827337879536,0.17521541436445848,0.3530306779243381
