combo,subset,lead,n,accuracy,f1_weighted,mae,r2
Persistence,all,0,1380,0.7130434782608696,0.7131415078322696,0.2956468043737133,0.6967089703097303
Persistence,all,1,1380,0.7130434782608696,0.7131415078322696,0.2956468043737133,0.6967089703097303
Persistence,all,2,1380,0.7130434782608696,0.7131415078322696,0.2956468043737133,0.6967089703097303
Persistence,all,3,1380,0.7130434782608696,0.7131415078322696,0.2956468043737133,0.6967089703097303
Persistence,all,4,1380,0.6847826086956522,0.6840836486682363,0.3249537435648804,0.6458715952876067
Persistence,all,8,1380,0.6804347826086956,0.676274855924964,0.34307480418014413,0.591536830932976
Persistence,all,12,1380,0.6405797101449275,0.6343688310544436,0.405182566598791,0.4802212693221395
Persistence,pastoral,0,300,0.67,0.6690296902410304,0.33434192757746006,0.47214678214479633
Persistence,pastoral,1,300,0.67,0.6690296902410304,0.33434192757746006,0.47214678214479633
Persistence,pastoral,2,300,0.67,0.6690296902410304,0.33434192757746006,0.47214678214479633
Persistence,pastoral,3,300,0.67,0.6690296902410304,0.33434192757746006,0.47214678214479633
Persistence,pastoral,4,300,0.5766666666666667,0.5753515403972721,0.4194296924281871,0.2725614539599973
Persistence,pastoral,8,300,0.5766666666666667,0.5753177342275965,0.4244166128081379,0.24161965964770937
Persistence,pastoral,12,300,0.5466666666666666,0.5423877768076261,0.4810124405768402,0.09414613528455307
Persistence,agropastoral,0,75,0.6666666666666666,0.6688825577714466,0.35714837678425115,0.3274434094051879
Persistence,agropastoral,1,75,0.6666666666666666,0.6688825577714466,0.35714837678425115,0.3274434094051879
Persistence,agropastoral,2,75,0.6666666666666666,0.6688825577714466,0.35714837678425115,0.3274434094051879
Persistence,agropastoral,3,75,0.6666666666666666,0.6688825577714466,0.35714837678425115,0.3274434094051879
Persistence,agropastoral,4,75,0.7066666666666667,0.7066666666666667,0.3622982923577901,0.3419086225450816
Persistence,agropastoral,8,75,0.6933333333333334,0.6912198912198912,0.37101524576768746,0.25232667325350633
Persistence,agropastoral,12,75,0.6,0.5951985269632328,0.4796402282455107,-0.05546775484617039
Persistence,crop_farming,0,1005,0.7293532338308458,0.7294340387939009,0.2795063517449428,0.6169571656070426
Persistence,crop_farming,1,1005,0.7293532338308458,0.7294340387939009,0.2795063517449428,0.6169571656070426
Persistence,crop_farming,2,1005,0.7293532338308458,0.7294340387939009,0.2795063517449428,0.6169571656070426
Persistence,crop_farming,3,1005,0.7293532338308458,0.7294340387939009,0.2795063517449428,0.6169571656070426
Persistence,crop_farming,4,1005,0.7154228855721393,0.7139129598327835,0.2939650611584523,0.5702172709465615
Persistence,crop_farming,8,1005,0.7104477611940299,0.7041959189399558,0.3167085596951055,0.4867471815368589
Persistence,crop_farming,12,1005,0.6716417910447762,0.6631643315945753,0.3769902414078271,0.3392616301463841
