combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+LSTM+TabICL,all,0,1380,0.7123188405797102,0.7226177195934625,0.3079039813088779,0.7470856001199611
XGB+RF+LSTM+TabICL,all,1,1380,0.7268115942028985,0.7341351559141134,0.2968008528186255,0.7523371891719927
XGB+RF+LSTM+TabICL,all,2,1380,0.722463768115942,0.7296251704432176,0.30703145609096427,0.7408711599320317
XGB+RF+LSTM+TabICL,all,3,1380,0.722463768115942,0.7285432947001754,0.30735725378309675,0.7535794869571231
XGB+RF+LSTM+TabICL,all,4,1380,0.7,0.7069547155491197,0.3382703898573873,0.7103653855567504
XGB+RF+LSTM+TabICL,all,8,1380,0.6847826086956522,0.6844266894860678,0.362898832076953,0.6401834451933486
XGB+RF+LSTM+TabICL,all,12,1380,0.6818840579710145,0.666789887296546,0.3629362574489742,0.6316969971522293
XGB+RF+LSTM+TabICL,pastoral,0,300,0.6433333333333333,0.6315774052395663,0.34730171636203355,0.5095942536753989
XGB+RF+LSTM+TabICL,pastoral,1,300,0.6666666666666666,0.6569763931888545,0.3379886877439942,0.5400045256769982
XGB+RF+LSTM+TabICL,pastoral,2,300,0.6533333333333333,0.6426873876523842,0.35420557302689987,0.5182492784999282
XGB+RF+LSTM+TabICL,pastoral,3,300,0.65,0.6413106134371958,0.3511385808795659,0.5313362551696751
XGB+RF+LSTM+TabICL,pastoral,4,300,0.59,0.5684838857707649,0.4161785582673136,0.40617896389467856
XGB+RF+LSTM+TabICL,pastoral,8,300,0.6033333333333334,0.5798433056895143,0.4211662542216801,0.39570973548728294
XGB+RF+LSTM+TabICL,pastoral,12,300,0.5966666666666667,0.5360416666666666,0.43733070352543657,0.30671291925973154
XGB+RF+LSTM+TabICL,agropastoral,0,75,0.6933333333333334,0.7028372373382676,0.3825243029845619,0.3669316145133372
XGB+RF+LSTM+TabICL,agropastoral,1,75,0.6533333333333333,0.6631990231990232,0.39376691310586753,0.3326623749139035
XGB+RF+LSTM+TabICL,agropastoral,2,75,0.68,0.689015873015873,0.3803417591958065,0.36610136947506156
XGB+RF+LSTM+TabICL,agropastoral,3,75,0.68,0.6863809523809524,0.3535114498428387,0.4830158365616054
XGB+RF+LSTM+TabICL,agropastoral,4,75,0.6933333333333334,0.6965228758169935,0.37720981465722886,0.4219117010434651
XGB+RF+LSTM+TabICL,agropastoral,8,75,0.7466666666666667,0.738505115359048,0.3479156313860998,0.511542646174203
XGB+RF+LSTM+TabICL,agropastoral,12,75,0.7066666666666667,0.6655647130647131,0.3796321571716408,0.46991662664602163
XGB+RF+LSTM+TabICL,crop_farming,0,1005,0.7343283582089553,0.7469223202926419,0.2905747826604968,0.6945365375324279
XGB+RF+LSTM+TabICL,crop_farming,1,1005,0.7502487562189055,0.7594522804120372,0.2772697035657363,0.6988328519401007
XGB+RF+LSTM+TabICL,crop_farming,2,1005,0.746268656716418,0.7554002231963747,0.28747871199778635,0.6819809798664851
