config,cluster,mean_f1_1to5,mean_f1_3plus
"XGBoost, Ethiopia (plain baseline)",pastoral,0.5337898052992992,0.7370050425302045
"XGBoost, Ethiopia (plain baseline)",agropastoral,0.6626441079828915,0.6626441079828915
"XGBoost, Ethiopia (plain baseline)",crop_farming,0.7018618551965988,0.7177807226153445
"XGBoost, Ethiopia (best variant)",pastoral,0.5978964734480118,0.749789113266837
"XGBoost, Ethiopia (best variant)",agropastoral,0.6439331989084037,0.6439331989084037
"XGBoost, Ethiopia (best variant)",crop_farming,0.7275304548277675,0.7607095088682898
RandomForest (delta+noclimate),pastoral,0.5998573888711697,0.7579122478426024
RandomForest (delta+noclimate),agropastoral,0.6420350381886761,0.6420350381886761
RandomForest (delta+noclimate),crop_farming,0.7341838119126847,0.7680766848676378
LSTM (delta),pastoral,0.5472772384840378,0.7003944627683022
LSTM (delta),agropastoral,0.5671183218228388,0.5795680113495782
LSTM (delta),crop_farming,0.673731438190879,0.7019637753357156
TabICLv2,pastoral,0.5190048098368841,0.7652372766561378
TabICLv2,agropastoral,0.6142161932665279,0.6142161932665279
TabICLv2,crop_farming,0.6476357085081322,0.692869809662467
T-GCN (CE),pastoral,0.19559093059808028,0.23221824978893799
T-GCN (CE),agropastoral,0.38279018849228247,0.385329871031965
T-GCN (CE),crop_farming,0.33902210358538304,0.3425153298014469
"Ensemble, 2-way (XGB+RF)",pastoral,0.6015304609418308,0.7570871450918638
"Ensemble, 2-way (XGB+RF)",agropastoral,0.6403220046761423,0.6403220046761423
"Ensemble, 2-way (XGB+RF)",crop_farming,0.7323132278146023,0.7657962488425741
"Ensemble, 5-way (all architectures)",pastoral,0.52545585434287,0.7164307077023118
"Ensemble, 5-way (all architectures)",agropastoral,0.6572556067805481,0.6572556067805481
"Ensemble, 5-way (all architectures)",crop_farming,0.7174586008652193,0.7571181793013023
"Ensemble, 4-way champion (drop T-GCN)",pastoral,0.6081315225207067,0.7446078573585263
"Ensemble, 4-way champion (drop T-GCN)",agropastoral,0.6917179700249816,0.6917179700249816
"Ensemble, 4-way champion (drop T-GCN)",crop_farming,0.735608287417522,0.7671495309710041
Persistence,pastoral,0.6241679731995167,0.7524190941780827
Persistence,agropastoral,0.6669450451336539,0.6669450451336539
Persistence,crop_farming,0.7141441950775597,0.7449063009333077
FEWS NET outlook (2020-2024),pastoral,0.6928253944680831,0.8130671088860302
FEWS NET outlook (2020-2024),agropastoral,0.7034701151765688,0.7034701151765688
FEWS NET outlook (2020-2024),crop_farming,0.7555058663731224,0.7875750592894712
