config,lead,n,f1_1to5,f1_3plus
"XGBoost, Ethiopia (plain baseline)",0,1380,0.697693589858378,0.7672221738230816
"XGBoost, Ethiopia (plain baseline)",1,1380,0.6924110234728428,0.7624701947491122
"XGBoost, Ethiopia (plain baseline)",2,1380,0.6999643914669154,0.770704124546782
"XGBoost, Ethiopia (plain baseline)",3,1380,0.6780706310890391,0.7445099215084459
"XGBoost, Ethiopia (plain baseline)",4,1380,0.6635085384935945,0.7220375964500968
"XGBoost, Ethiopia (plain baseline)",8,1380,0.648173482510364,0.6912796742796463
"XGBoost, Ethiopia (plain baseline)",12,1380,0.6528251570347028,0.6938244902817894
"XGBoost, Ethiopia (plain baseline)",mean,9660,0.6760924019894052,0.7360068822341364
"XGBoost, Ethiopia (best variant)",0,1380,0.7361876837531431,0.7788797878641222
"XGBoost, Ethiopia (best variant)",1,1380,0.7263492479005966,0.7782689050898062
"XGBoost, Ethiopia (best variant)",2,1380,0.7121657000497617,0.7689840676210011
"XGBoost, Ethiopia (best variant)",3,1380,0.7170434371782102,0.7757750010048826
"XGBoost, Ethiopia (best variant)",4,1380,0.7032886347486879,0.7625637544450462
"XGBoost, Ethiopia (best variant)",8,1380,0.6776574554714945,0.7381811557655839
"XGBoost, Ethiopia (best variant)",12,1380,0.6428698637919379,0.7046167555756772
"XGBoost, Ethiopia (best variant)",mean,9660,0.7022231461276902,0.7581813467665884
RandomForest (delta+noclimate),0,1380,0.7320375927205853,0.7883068537176083
RandomForest (delta+noclimate),1,1380,0.727760796586468,0.7829380809229387
RandomForest (delta+noclimate),2,1380,0.7330476782117965,0.788020868991818
RandomForest (delta+noclimate),3,1380,0.7214477751872876,0.7771876235122245
RandomForest (delta+noclimate),4,1380,0.7045519199533081,0.7654392814871686
RandomForest (delta+noclimate),8,1380,0.6721115676621631,0.7378163446741265
RandomForest (delta+noclimate),12,1380,0.6654946568790481,0.7231690434886487
RandomForest (delta+noclimate),mean,9660,0.7080645696000938,0.766125442399219
LSTM (delta),0,1380,0.643351634075215,0.6985534604411837
LSTM (delta),1,1380,0.6854864721392867,0.734980443514536
LSTM (delta),2,1380,0.6519375288040693,0.7083185885738466
LSTM (delta),3,1380,0.6638365365255537,0.7093456689683514
LSTM (delta),4,1380,0.6050632902077329,0.6622606279064712
LSTM (delta),8,1380,0.6170720222163062,0.6714025163059961
LSTM (delta),12,1380,0.6018376599561822,0.6676123230750639
LSTM (delta),mean,9660,0.6383693062749065,0.6932105183979212
TabICLv2,0,1380,0.6621289528080824,0.7414140075402753
TabICLv2,1,1380,0.6616836328788008,0.7419388724197449
TabICLv2,2,1380,0.6361991221872099,0.7253383745220046
TabICLv2,3,1380,0.6324136259963424,0.7307695629556902
TabICLv2,4,1380,0.5925431363981633,0.6934769636306085
TabICLv2,8,1380,0.5995896229395534,0.6871415084045879
TabICLv2,12,1380,0.5915804419758335,0.665350591130089
TabICLv2,mean,9660,0.6251626478834265,0.7122042686575715
T-GCN (CE),0,1656,0.424026915167192,0.424026915167192
T-GCN (CE),1,1656,0.30170587768818935,0.30170587768818935
T-GCN (CE),2,1656,0.2861092463799004,0.2861092463799004
T-GCN (CE),3,1656,0.18075289470162426,0.18075289470162426
T-GCN (CE),4,1656,0.21842818608654085,0.25344012777212394
T-GCN (CE),8,1656,0.38860418278063485,0.4166658491586013
T-GCN (CE),12,1656,0.24465048410850954,0.24822465751963949
T-GCN (CE),mean,11592,0.2920396838446559,0.30156079548389586
"Ensemble, 2-way (XGB+RF)",0,1380,0.7351246026064708,0.7834978586855239
"Ensemble, 2-way (XGB+RF)",1,1380,0.7342953490950307,0.7865767770295146
"Ensemble, 2-way (XGB+RF)",2,1380,0.7253689073712234,0.7820467217332177
"Ensemble, 2-way (XGB+RF)",3,1380,0.7224799811525517,0.7792533320464536
"Ensemble, 2-way (XGB+RF)",4,1380,0.7018084474563037,0.7612899139376852
"Ensemble, 2-way (XGB+RF)",8,1380,0.6756476101373268,0.7392749341106819
"Ensemble, 2-way (XGB+RF)",12,1380,0.654931642038898,0.7161270404620305
"Ensemble, 2-way (XGB+RF)",mean,9660,0.7070937914082579,0.7640095111435867
"Ensemble, 5-way (all architectures)",0,1380,0.7126767853473649,0.7806264859909986
"Ensemble, 5-way (all architectures)",1,1380,0.7137622563928983,0.7823832951882775
"Ensemble, 5-way (all architectures)",2,1380,0.680059516959951,0.7559406492333711
"Ensemble, 5-way (all architectures)",3,1380,0.6918266918860813,0.7732817646938689
"Ensemble, 5-way (all architectures)",4,1380,0.630658026127305,0.6972300287623511
"Ensemble, 5-way (all architectures)",8,1380,0.6419856935740029,0.7083578678284457
"Ensemble, 5-way (all architectures)",12,1380,0.6678512965394904,0.7355585521490849
"Ensemble, 5-way (all architectures)",mean,9660,0.676974323832442,0.7476255205494854
"Ensemble, 4-way champion (drop T-GCN)",0,1380,0.7226177195934625,0.7663147871983919
"Ensemble, 4-way champion (drop T-GCN)",1,1380,0.7341351559141134,0.7802019005681448
"Ensemble, 4-way champion (drop T-GCN)",2,1380,0.7296251704432176,0.7780896392402826
"Ensemble, 4-way champion (drop T-GCN)",3,1380,0.7285432947001754,0.7773674962045538
"Ensemble, 4-way champion (drop T-GCN)",4,1380,0.7069547155491197,0.7560557104478316
"Ensemble, 4-way champion (drop T-GCN)",8,1380,0.6844266894860678,0.7478908930160267
"Ensemble, 4-way champion (drop T-GCN)",12,1380,0.666789887296546,0.734981100078313
"Ensemble, 4-way champion (drop T-GCN)",mean,9660,0.7104418047118147,0.7629859323933635
Persistence,0,1380,0.7131415078322696,0.7588359493603654
Persistence,1,1380,0.7131415078322696,0.7588359493603654
Persistence,2,1380,0.7131415078322696,0.7588359493603654
Persistence,3,1380,0.7131415078322696,0.7588359493603654
Persistence,4,1380,0.6840836486682363,0.735002669038826
Persistence,8,1380,0.676274855924964,0.7359108472986234
Persistence,12,1380,0.6343688310544436,0.6922302570136791
Persistence,mean,9660,0.6924704809966745,0.7426410815417986
FEWS NET outlook (2020-2024),0,1196,0.7714502236578589,0.8193705644897589
FEWS NET outlook (2020-2024),1,1288,0.7673275991442442,0.8118504526932409
FEWS NET outlook (2020-2024),2,1288,0.7501707962846634,0.8042562412252334
FEWS NET outlook (2020-2024),3,1380,0.7456757853644589,0.7986641402553479
FEWS NET outlook (2020-2024),4,1104,0.7257003412391427,0.779557117265355
FEWS NET outlook (2020-2024),5,1196,0.7221784523522788,0.7750471143647958
FEWS NET outlook (2020-2024),6,1288,0.7222512527306465,0.7636278887258128
FEWS NET outlook (2020-2024),7,1380,0.7114223215926816,0.7575402449104462
FEWS NET outlook (2020-2024),mean,10120,0.739522096545747,0.7887392204912489
