config,variant,mean_f1,mean_r2
XGBoost,baseline,0.7006034607729951,0.6738989902755746
RandomForest,baseline,0.756514165732674,0.6579342481405953
LSTM,baseline,0.6509143964739736,0.3661940543459051
TabICLv2,baseline,0.7067462194351275,0.3677313711505662
Persistence,baseline,0.7151573055512735,0.6609878745980774
Ensemble(4-way),baseline,0.7429002160360777,0.6556677333916847
XGBoost,noconflict,0.7192887108873373,0.6715355596043678
RandomForest,noconflict,0.7561685744629869,0.6427142970544739
LSTM,noconflict,0.7052132926873529,0.5000890576177301
TabICLv2,noconflict,0.7188427139687654,0.3877677966710017
Persistence,noconflict,0.7151573055512735,0.6609878745980774
Ensemble(4-way),noconflict,0.7551729278005299,0.6655569741085051
