lead,n,f1_weighted,series
0,828,0.7384904304913478,random_forest
1,828,0.7362991227214515,random_forest
2,828,0.7370604343001368,random_forest
3,828,0.7236494286752204,random_forest
4,828,0.6997196507162975,random_forest
8,828,0.6623969440018168,random_forest
12,828,0.6674869341428025,random_forest
0,828,0.7392262079923013,xgboost
1,828,0.7384610860595768,xgboost
2,828,0.7296034362539637,xgboost
3,828,0.7353105530237765,xgboost
4,828,0.7067097852652918,xgboost
8,828,0.6681079838016669,xgboost
12,828,0.63453550542697,xgboost
0,828,0.6601891544716987,lstm
1,828,0.7109045639271251,lstm
2,828,0.6850185044910717,lstm
3,828,0.6846712660976204,lstm
4,828,0.6467299011151211,lstm
8,828,0.6526707214055066,lstm
12,828,0.6086062548175105,lstm
0,828,0.7409335402972499,best_ensemble
1,828,0.7474262744740078,best_ensemble
2,828,0.7427953232703525,best_ensemble
3,828,0.7492618356781886,best_ensemble
4,828,0.7243060751847068,best_ensemble
8,828,0.6754942712635447,best_ensemble
12,828,0.6725638850589689,best_ensemble
0,828,0.7300129188532143,persistence
1,828,0.7300129188532143,persistence
2,828,0.7300129188532143,persistence
3,828,0.7300129188532143,persistence
4,828,0.6905437767552074,persistence
8,828,0.6663897210282682,persistence
12,828,0.6293011481867066,persistence
0,736,0.7041520737929458,busker_arch
1,736,0.7101361257426817,busker_arch
2,736,0.7159934466909739,busker_arch
3,736,0.6877782403534735,busker_arch
4,736,0.6582373109069899,busker_arch
8,736,0.6868842488805194,busker_arch
12,736,0.6405726077274302,busker_arch
