lhz,lead,n,f1_weighted,series
agropastoral,0,45,0.6859557109557108,random_forest
agropastoral,1,45,0.6859557109557108,random_forest
agropastoral,2,45,0.6859557109557108,random_forest
agropastoral,3,45,0.7125661375661375,random_forest
agropastoral,4,45,0.6139288668320926,random_forest
agropastoral,8,45,0.5879032258064516,random_forest
agropastoral,12,45,0.5879032258064516,random_forest
crop_farming,0,603,0.7587207054647486,random_forest
crop_farming,1,603,0.7562826780843647,random_forest
crop_farming,2,603,0.7666043605846593,random_forest
crop_farming,3,603,0.7479170891121454,random_forest
crop_farming,4,603,0.7114587968625914,random_forest
crop_farming,8,603,0.6629989828563742,random_forest
crop_farming,12,603,0.6756904164350882,random_forest
pastoral,0,180,0.6605800745377057,random_forest
pastoral,1,180,0.6632371332371333,random_forest
pastoral,2,180,0.6341274656923512,random_forest
pastoral,3,180,0.6329152483198045,random_forest
pastoral,4,180,0.5988876639362076,random_forest
pastoral,8,180,0.6021266217929958,random_forest
pastoral,12,180,0.5708605664488017,random_forest
agropastoral,0,45,0.6577200577200577,xgboost
agropastoral,1,45,0.6643775147466698,xgboost
agropastoral,2,45,0.6375159998348404,xgboost
agropastoral,3,45,0.6820458553791886,xgboost
agropastoral,4,45,0.562938922695515,xgboost
agropastoral,8,45,0.5879032258064516,xgboost
agropastoral,12,45,0.6619303201506591,xgboost
crop_farming,0,603,0.7622465823061451,xgboost
crop_farming,1,603,0.7612649958403029,xgboost
crop_farming,2,603,0.7552660485709692,xgboost
crop_farming,3,603,0.7554521984856388,xgboost
crop_farming,4,603,0.7242928642086109,xgboost
crop_farming,8,603,0.6747167640691709,xgboost
crop_farming,12,603,0.6419480252471591,xgboost
pastoral,0,180,0.6537706836637318,xgboost
pastoral,1,180,0.66384484228474,xgboost
pastoral,2,180,0.6454112869006485,xgboost
pastoral,3,180,0.6612369994359842,xgboost
pastoral,4,180,0.5918866180468582,xgboost
pastoral,8,180,0.5913906718014549,xgboost
pastoral,12,180,0.5300885946395446,xgboost
agropastoral,0,45,0.5819135802469135,lstm
agropastoral,1,45,0.6940130718954247,lstm
agropastoral,2,45,0.6061375661375661,lstm
agropastoral,3,45,0.6749485808309339,lstm
agropastoral,4,45,0.5404616210413312,lstm
agropastoral,8,45,0.516969696969697,lstm
agropastoral,12,45,0.47947289607666965,lstm
crop_farming,0,603,0.6950085203349018,lstm
crop_farming,1,603,0.7449638307465278,lstm
crop_farming,2,603,0.7074089812503546,lstm
crop_farming,3,603,0.722465380213521,lstm
crop_farming,4,603,0.6781485905284778,lstm
crop_farming,8,603,0.6688550692979389,lstm
crop_farming,12,603,0.6428891773332578,lstm
pastoral,0,180,0.5772817059483727,lstm
pastoral,1,180,0.6062551332839957,lstm
pastoral,2,180,0.6513570150525064,lstm
pastoral,3,180,0.5803716709633386,lstm
pastoral,4,180,0.5840963321355478,lstm
pastoral,8,180,0.635163905468474,lstm
pastoral,12,180,0.5179655151052773,lstm
pastoral,0,180,0.6328735140329343,best_ensemble
pastoral,1,180,0.6464012125751173,best_ensemble
pastoral,2,180,0.6507024444421402,best_ensemble
pastoral,3,180,0.6384175084175084,best_ensemble
pastoral,4,180,0.6129322904685223,best_ensemble
pastoral,8,180,0.5937057409444648,best_ensemble
pastoral,12,180,0.5753205128205128,best_ensemble
agropastoral,0,45,0.7115160556976414,best_ensemble
agropastoral,1,45,0.6643775147466698,best_ensemble
agropastoral,2,45,0.7358888888888889,best_ensemble
agropastoral,3,45,0.7307109557109557,best_ensemble
agropastoral,4,45,0.7420175438596492,best_ensemble
agropastoral,8,45,0.6945534290271133,best_ensemble
agropastoral,12,45,0.6005602240896358,best_ensemble
crop_farming,0,603,0.7691095821161136,best_ensemble
crop_farming,1,603,0.7778671073379473,best_ensemble
crop_farming,2,603,0.7666206768648927,best_ensemble
crop_farming,3,603,0.7783865666092629,best_ensemble
crop_farming,4,603,0.741091341119295,best_ensemble
crop_farming,8,603,0.6857176387913215,best_ensemble
crop_farming,12,603,0.6826787578860548,best_ensemble
pastoral,0,180,0.6623519583271905,persistence
pastoral,1,180,0.6623519583271905,persistence
pastoral,2,180,0.6623519583271905,persistence
pastoral,3,180,0.6623519583271905,persistence
pastoral,4,180,0.5848832045474731,persistence
pastoral,8,180,0.5718247356945987,persistence
pastoral,12,180,0.5539563675489912,persistence
agropastoral,0,45,0.7265454545454546,persistence
agropastoral,1,45,0.7265454545454546,persistence
agropastoral,2,45,0.7265454545454546,persistence
agropastoral,3,45,0.7265454545454546,persistence
agropastoral,4,45,0.7349222111883482,persistence
agropastoral,8,45,0.6071584189231248,persistence
agropastoral,12,45,0.6365252525252525,persistence
crop_farming,0,603,0.7491304292884626,persistence
crop_farming,1,603,0.7491304292884626,persistence
crop_farming,2,603,0.7491304292884626,persistence
crop_farming,3,603,0.7491304292884626,persistence
crop_farming,4,603,0.7147119316641464,persistence
crop_farming,8,603,0.6900036654270211,persistence
crop_farming,12,603,0.6450129486561988,persistence
pastoral,0,160,0.6198441994247362,busker_arch
pastoral,1,160,0.602495104151342,busker_arch
pastoral,2,160,0.6514103103584494,busker_arch
pastoral,3,160,0.5629304919908467,busker_arch
pastoral,4,160,0.5089926396090351,busker_arch
pastoral,8,160,0.611812865497076,busker_arch
pastoral,12,160,0.5311371100164204,busker_arch
agropastoral,0,40,0.75,busker_arch
agropastoral,1,40,0.8182440476190476,busker_arch
agropastoral,2,40,0.7734397163120568,busker_arch
agropastoral,3,40,0.7641176470588236,busker_arch
agropastoral,4,40,0.6823676323676324,busker_arch
agropastoral,8,40,0.6384049773755656,busker_arch
agropastoral,12,40,0.6535714285714286,busker_arch
crop_farming,0,536,0.7181470249680115,busker_arch
crop_farming,1,536,0.7275645352051113,busker_arch
crop_farming,2,536,0.7187857840820472,busker_arch
crop_farming,3,536,0.712003346987815,busker_arch
crop_farming,4,536,0.6808243477445537,busker_arch
crop_farming,8,536,0.68632002947643,busker_arch
crop_farming,12,536,0.6458363316711959,busker_arch
