config,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming,delta_vs_full5_all
XGBoost,0.7074220796890781,0.6196613852532804,0.6363474137619117,0.7250267826754282,
RandomForest,0.7093004207212962,0.6232478248521429,0.6514526555540379,0.7256675756285674,
LSTM,0.6641129094750934,0.593213039708216,0.5848452875997909,0.6942485071007114,
TabICLv2,0.667170872848702,0.5355728233562076,0.6686930190010231,0.6995509363271514,
T-GCN,0.3358268523450611,0.21269978029667053,0.3882332754646815,0.39232292202501134,
Persistence,0.7008980459118627,0.6228674487285465,0.6978268144026492,0.7208928947001737,
Full-5-way,0.6797502428808567,0.5585776772203872,0.6666567438291865,0.7084736353960305,
LOO_drop_XGBoost,0.6601052618862449,0.513488192725811,0.6497241252261904,0.6993670320875934,-0.01964498099461187
LOO_drop_RandomForest,0.6587400346594372,0.5143359223860263,0.6569902089278644,0.6966645935078988,-0.021010208221419524
LOO_drop_LSTM,0.6557125552165577,0.4875924293465831,0.6503367720522374,0.6989615880991542,-0.024037687664299034
LOO_drop_TabICLv2,0.6529961414947009,0.501420277305645,0.6484896054081114,0.6931214071531056,-0.02675410138615586
LOO_drop_T-GCN,0.7218258864610027,0.6214790319573142,0.6970892302886506,0.7430673815321268,0.04207564358014593
