zone_code,lead,target_month,subject,predicted_cause,is_compound,top1_category,top1_score,top2_category,top2_score,margin,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,shap_DROUGHT_spi_3,shap_DROUGHT_ndvi_anomaly,shap_DROUGHT_ssmi_3,shap_DROUGHT_spei_3,shap_FLOODING_spi_3,shap_FLOODING_ssmi_3,shap_FLOODING_glofas_exceed_2yr,shap_CONFLICT_acled_event_count,shap_CONFLICT_acled_fatalities,shap_MARKET_SHOCK_grain_price_index,shap_MARKET_SHOCK_price_volatility,shap_MARKET_SHOCK_food_cpi_yoy_change,shap_MARKET_SHOCK_exchange_rate
ET0101,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.01592256801086478,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.01592256801086478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002326063986402005,0.01568996161222458,0.0
ET0102,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.030100054282229394,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.030100054282229394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020933075575158,0.029890723526477814,0.0
ET0103,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.015273581720975926,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.015273581720975926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017021363237290643,0.01510336808860302,0.0
ET0104,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.01508656820806209,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.01508656820806209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002505688607925549,0.014835999347269535,0.0
ET0105,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0066015517115829425,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0066015517115829425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.006325212772935629,0.0
ET0106,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.015675707458285615,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.015675707458285615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021193150314502418,0.01546377595514059,0.0
ET0107,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.013208048723754473,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.013208048723754473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002409222797723487,0.012967126443982124,0.0
ET0201,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003913284332611511,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003913284332611511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007663465171390271,0.0031469378154724836,0.0
ET0202,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.01105388279984254,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.01105388279984254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008469450099255482,0.010206937789916992,0.0
ET0203,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0038530612314389145,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0038530612314389145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007061234159664309,0.0031469378154724836,0.0
ET0204,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.003616889127442846,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.003616889127442846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000755055694753537,0.002861833432689309,0.0
ET0205,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.002142924664894963,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.002142924664894963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00070477564668181,0.0014381490182131529,0.0
ET0301,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.015315299591748044,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.015315299591748044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021193150314502418,0.01510336808860302,0.0
ET0302,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0076563510883715935,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0076563510883715935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.007381044793874025,0.0
ET0303,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.015448170379386283,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.015448170379386283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025176316557917744,0.015196407213807106,0.0
ET0304,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.01230519857199397,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.01230519857199397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023483145923819393,0.012070367112755775,0.0
ET0305,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006693170762446243,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006693170762446243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006417864467948675,0.0
ET0306,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0307,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0308,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.015315299591748044,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.015315299591748044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021193150314502418,0.01510336808860302,0.0
ET0309,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0310,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.008911346390959807,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.008911346390959807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002332090662093833,0.008678137324750423,0.0
ET0311,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0065012195918825455,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0065012195918825455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006225913297384977,0.0
ET0312,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0401,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006311155746516306,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006311155746516306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006035849452018738,0.0
ET0402,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006311155746516306,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006311155746516306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006035849452018738,0.0
ET0403,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0404,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0405,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0406,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006219536229991718,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006219536229991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.005943197291344404,0.0
ET0407,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0065012195918825455,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0065012195918825455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006225913297384977,0.0
ET0408,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.007942251868371386,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.007942251868371386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027411198971094564,0.0076681398786604404,0.0
ET0409,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.029912779667938594,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.029912779667938594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018721502419793978,0.029725564643740654,0.0
ET0410,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.017632323608268052,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.017632323608268052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013708123762626201,0.003924199845641851,0.0
ET0411,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0021485079437297827,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0021485079437297827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007103589255166298,0.0014381490182131529,0.0
ET0412,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.004101054899365408,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.004101054899365408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007878992873884272,0.003313155611976981,0.0
