zone_code,lead,target_month,lstm_pred
ET0101,0,2026-06,2.3845298290252686
ET0102,0,2026-06,2.836613893508911
ET0103,0,2026-06,2.7891736030578613
ET0104,0,2026-06,2.8995890617370605
ET0105,0,2026-06,1.1578071117401123
ET0106,0,2026-06,2.464853525161743
ET0107,0,2026-06,2.08219575881958
ET0201,0,2026-06,2.5997838973999023
ET0202,0,2026-06,2.841904878616333
ET0203,0,2026-06,2.774110794067383
ET0204,0,2026-06,3.477949380874634
ET0205,0,2026-06,2.4640321731567383
ET0301,0,2026-06,2.804588794708252
ET0302,0,2026-06,1.7478597164154053
ET0303,0,2026-06,2.4430203437805176
ET0304,0,2026-06,2.4218602180480957
ET0305,0,2026-06,1.6229580640792847
ET0306,0,2026-06,1.493004322052002
ET0307,0,2026-06,1.1536073684692383
ET0308,0,2026-06,2.918611526489258
ET0309,0,2026-06,1.1533836126327515
ET0310,0,2026-06,1.8880162239074707
ET0311,0,2026-06,1.3183398246765137
ET0312,0,2026-06,1.1533578634262085
ET0401,0,2026-06,1.3511018753051758
ET0402,0,2026-06,1.3244754076004028
ET0403,0,2026-06,1.153394103050232
ET0404,0,2026-06,1.153462529182434
ET0405,0,2026-06,1.1534470319747925
ET0406,0,2026-06,1.3586244583129883
ET0407,0,2026-06,1.608758807182312
ET0408,0,2026-06,1.4897788763046265
ET0409,0,2026-06,3.122314453125
ET0410,0,2026-06,2.7329628467559814
ET0411,0,2026-06,2.0150716304779053
ET0412,0,2026-06,3.016925811767578
ET0413,0,2026-06,1.1622003316879272
ET0414,0,2026-06,1.7577863931655884
ET0415,0,2026-06,1.595873236656189
ET0416,0,2026-06,1.153402328491211
ET0417,0,2026-06,1.5344440937042236
ET0418,0,2026-06,1.1548221111297607
ET0419,0,2026-06,1.4161642789840698
ET0420,0,2026-06,1.1533491611480713
ET0421,0,2026-06,2.273620843887329
ET0501,0,2026-06,2.21817946434021
ET0502,0,2026-06,2.221891403198242
ET0503,0,2026-06,2.950352668762207
ET0504,0,2026-06,3.155933380126953
ET0505,0,2026-06,3.109273910522461
ET0506,0,2026-06,3.043530225753784
ET0507,0,2026-06,3.153472900390625
ET0508,0,2026-06,3.153071641921997
ET0509,0,2026-06,3.1228270530700684
ET0510,0,2026-06,3.152841329574585
ET0511,0,2026-06,2.396320343017578
ET0602,0,2026-06,1.1552658081054688
ET0603,0,2026-06,1.4490704536437988
ET0604,0,2026-06,1.1886239051818848
ET0605,0,2026-06,1.2214717864990234
ET0701,0,2026-06,1.769637942314148
ET0702,0,2026-06,1.7688307762145996
ET0703,0,2026-06,2.3452975749969482
ET0705,0,2026-06,2.548133373260498
ET0706,0,2026-06,2.934238910675049
ET0707,0,2026-06,2.179028034210205
ET0710,0,2026-06,3.170161247253418
ET0712,0,2026-06,3.1391639709472656
ET0713,0,2026-06,3.147634744644165
ET0714,0,2026-06,1.2727527618408203
ET0715,0,2026-06,2.431272029876709
ET0716,0,2026-06,1.1871298551559448
ET0720,0,2026-06,1.987226128578186
ET0721,0,2026-06,3.1417431831359863
ET0722,0,2026-06,3.1456429958343506
ET0723,0,2026-06,3.1539738178253174
ET0724,0,2026-06,1.1536641120910645
ET1101,0,2026-06,1.1533585786819458
ET1102,0,2026-06,1.153874397277832
ET1103,0,2026-06,1.1533615589141846
ET1104,0,2026-06,1.1764363050460815
ET1105,0,2026-06,1.1561572551727295
ET1106,0,2026-06,1.1611570119857788
ET1201,0,2026-06,1.159696102142334
ET1202,0,2026-06,1.4751890897750854
ET1203,0,2026-06,1.1539244651794434
ET1204,0,2026-06,1.1533892154693604
ET1301,0,2026-06,1.3352577686309814
ET1401,0,2026-06,1.1533836126327515
ET1501,0,2026-06,1.5656325817108154
ET1502,0,2026-06,1.9376583099365234
ET1600,0,2026-06,2.412353992462158
ET0101,1,2026-07,2.370314598083496
ET0102,1,2026-07,2.940324544906616
ET0103,1,2026-07,2.666926622390747
ET0104,1,2026-07,2.66166353225708
ET0105,1,2026-07,1.1366838216781616
ET0106,1,2026-07,2.4436089992523193
ET0107,1,2026-07,2.2776122093200684
ET0201,1,2026-07,2.4901204109191895
ET0202,1,2026-07,2.6599133014678955
ET0203,1,2026-07,2.6160991191864014
ET0204,1,2026-07,3.4453959465026855
ET0205,1,2026-07,2.326044797897339
ET0301,1,2026-07,2.6954751014709473
ET0302,1,2026-07,1.6594171524047852
ET0303,1,2026-07,2.3676750659942627
ET0304,1,2026-07,2.2964446544647217
ET0305,1,2026-07,1.5228772163391113
ET0306,1,2026-07,1.3046714067459106
ET0307,1,2026-07,1.1356143951416016
ET0308,1,2026-07,2.801501512527466
ET0309,1,2026-07,1.129233479499817
ET0310,1,2026-07,1.8689370155334473
ET0311,1,2026-07,1.291724443435669
ET0312,1,2026-07,1.1349997520446777
ET0401,1,2026-07,1.3327860832214355
ET0402,1,2026-07,1.3039240837097168
ET0403,1,2026-07,1.1324065923690796
ET0404,1,2026-07,1.1322016716003418
ET0405,1,2026-07,1.1341466903686523
ET0406,1,2026-07,1.2752245664596558
ET0407,1,2026-07,1.5001438856124878
ET0408,1,2026-07,1.4730051755905151
ET0409,1,2026-07,2.952650547027588
ET0410,1,2026-07,2.661412000656128
ET0411,1,2026-07,2.15140962600708
ET0412,1,2026-07,2.8847386837005615
ET0413,1,2026-07,1.135718584060669
ET0414,1,2026-07,1.7402724027633667
ET0415,1,2026-07,1.5785119533538818
ET0416,1,2026-07,1.1329301595687866
ET0417,1,2026-07,1.5425797700881958
ET0418,1,2026-07,1.1381540298461914
ET0419,1,2026-07,1.3987475633621216
ET0420,1,2026-07,1.1253234148025513
ET0421,1,2026-07,2.1371545791625977
ET0501,1,2026-07,2.2017054557800293
ET0502,1,2026-07,2.1636805534362793
ET0503,1,2026-07,2.924346923828125
ET0504,1,2026-07,3.126718521118164
ET0505,1,2026-07,3.089695692062378
ET0506,1,2026-07,3.0740835666656494
ET0507,1,2026-07,3.1353957653045654
ET0508,1,2026-07,3.161648750305176
ET0509,1,2026-07,3.0750269889831543
ET0510,1,2026-07,3.1312057971954346
ET0511,1,2026-07,2.377304792404175
ET0602,1,2026-07,1.175761342048645
ET0603,1,2026-07,1.3275554180145264
ET0604,1,2026-07,1.1714560985565186
ET0605,1,2026-07,1.206040620803833
ET0701,1,2026-07,1.621267557144165
ET0702,1,2026-07,1.7863842248916626
ET0703,1,2026-07,2.3218038082122803
ET0705,1,2026-07,2.486386775970459
ET0706,1,2026-07,2.751105308532715
ET0707,1,2026-07,2.138340950012207
ET0710,1,2026-07,3.2038393020629883
ET0712,1,2026-07,3.104924440383911
ET0713,1,2026-07,3.111121416091919
ET0714,1,2026-07,1.242933988571167
ET0715,1,2026-07,2.391773223876953
ET0716,1,2026-07,1.1649518013000488
ET0720,1,2026-07,1.935722827911377
ET0721,1,2026-07,3.111579656600952
ET0722,1,2026-07,3.1140997409820557
ET0723,1,2026-07,3.1132519245147705
ET0724,1,2026-07,1.1343404054641724
ET1101,1,2026-07,1.1189470291137695
ET1102,1,2026-07,1.1336555480957031
ET1103,1,2026-07,1.1364858150482178
ET1104,1,2026-07,1.1571382284164429
ET1105,1,2026-07,1.1344239711761475
ET1106,1,2026-07,1.1424150466918945
ET1201,1,2026-07,1.1440380811691284
ET1202,1,2026-07,1.3647894859313965
ET1203,1,2026-07,1.1225717067718506
ET1204,1,2026-07,1.1317864656448364
ET1301,1,2026-07,1.4329122304916382
ET1401,1,2026-07,1.1266084909439087
ET1501,1,2026-07,1.5598385334014893
ET1502,1,2026-07,1.9211866855621338
ET1600,1,2026-07,2.1362833976745605
ET0101,2,2026-08,2.406846284866333
ET0102,2,2026-08,3.0729432106018066
ET0103,2,2026-08,2.996638059616089
ET0104,2,2026-08,2.823415517807007
ET0105,2,2026-08,1.1793922185897827
ET0106,2,2026-08,2.486436605453491
ET0107,2,2026-08,2.2746405601501465
ET0201,2,2026-08,2.6549999713897705
ET0202,2,2026-08,2.7564847469329834
ET0203,2,2026-08,2.6817047595977783
ET0204,2,2026-08,3.3499560356140137
ET0205,2,2026-08,2.374756336212158
ET0301,2,2026-08,2.94401478767395
ET0302,2,2026-08,1.7592904567718506
ET0303,2,2026-08,2.295083999633789
ET0304,2,2026-08,2.5350937843322754
ET0305,2,2026-08,1.5509814023971558
ET0306,2,2026-08,1.5903210639953613
ET0307,2,2026-08,1.1718220710754395
ET0308,2,2026-08,3.2156505584716797
ET0309,2,2026-08,1.1697003841400146
ET0310,2,2026-08,1.7940257787704468
ET0311,2,2026-08,1.3354159593582153
ET0312,2,2026-08,1.1751643419265747
ET0401,2,2026-08,1.367334246635437
ET0402,2,2026-08,1.3391081094741821
ET0403,2,2026-08,1.1680258512496948
ET0404,2,2026-08,1.1646021604537964
ET0405,2,2026-08,1.167807936668396
ET0406,2,2026-08,1.3456261157989502
ET0407,2,2026-08,1.583200454711914
ET0408,2,2026-08,1.5101062059402466
ET0409,2,2026-08,3.0478017330169678
ET0410,2,2026-08,2.7144486904144287
ET0411,2,2026-08,2.5318832397460938
ET0412,2,2026-08,3.086224317550659
ET0413,2,2026-08,1.1739444732666016
ET0414,2,2026-08,1.8227226734161377
ET0415,2,2026-08,1.6134591102600098
ET0416,2,2026-08,1.165163516998291
ET0417,2,2026-08,1.566615343093872
ET0418,2,2026-08,1.1705955266952515
ET0419,2,2026-08,1.4341768026351929
ET0420,2,2026-08,1.1660878658294678
ET0421,2,2026-08,2.216433525085449
ET0501,2,2026-08,2.2402937412261963
ET0502,2,2026-08,2.6954140663146973
ET0503,2,2026-08,2.966900587081909
ET0504,2,2026-08,3.1676666736602783
ET0505,2,2026-08,3.040832281112671
ET0506,2,2026-08,3.0028300285339355
