zone_code,lead,target_month,tabicl_pred
ET0101,0,2026-06,2
ET0102,0,2026-06,3
ET0103,0,2026-06,2
ET0104,0,2026-06,3
ET0105,0,2026-06,1
ET0106,0,2026-06,3
ET0107,0,2026-06,2
ET0201,0,2026-06,2
ET0202,0,2026-06,3
ET0203,0,2026-06,3
ET0204,0,2026-06,3
ET0205,0,2026-06,2
ET0301,0,2026-06,3
ET0302,0,2026-06,2
ET0303,0,2026-06,3
ET0304,0,2026-06,2
ET0305,0,2026-06,2
ET0306,0,2026-06,1
ET0307,0,2026-06,1
ET0308,0,2026-06,3
ET0309,0,2026-06,1
ET0310,0,2026-06,2
ET0311,0,2026-06,1
ET0312,0,2026-06,1
ET0401,0,2026-06,1
ET0402,0,2026-06,1
ET0403,0,2026-06,1
ET0404,0,2026-06,1
ET0405,0,2026-06,1
ET0406,0,2026-06,1
ET0407,0,2026-06,1
ET0408,0,2026-06,1
ET0409,0,2026-06,3
ET0410,0,2026-06,2
ET0411,0,2026-06,3
ET0412,0,2026-06,3
ET0413,0,2026-06,1
ET0414,0,2026-06,3
ET0415,0,2026-06,2
ET0416,0,2026-06,1
ET0417,0,2026-06,1
ET0418,0,2026-06,1
ET0419,0,2026-06,1
ET0420,0,2026-06,1
ET0421,0,2026-06,3
ET0501,0,2026-06,2
ET0502,0,2026-06,2
ET0503,0,2026-06,3
ET0504,0,2026-06,3
ET0505,0,2026-06,3
ET0506,0,2026-06,3
ET0507,0,2026-06,3
ET0508,0,2026-06,3
ET0509,0,2026-06,3
ET0510,0,2026-06,3
ET0511,0,2026-06,3
ET0602,0,2026-06,1
ET0603,0,2026-06,1
ET0604,0,2026-06,1
ET0605,0,2026-06,1
ET0701,0,2026-06,1
ET0702,0,2026-06,1
ET0703,0,2026-06,2
ET0705,0,2026-06,2
ET0706,0,2026-06,3
ET0707,0,2026-06,2
ET0710,0,2026-06,3
ET0712,0,2026-06,3
ET0713,0,2026-06,3
ET0714,0,2026-06,1
ET0715,0,2026-06,2
ET0716,0,2026-06,1
ET0720,0,2026-06,1
ET0721,0,2026-06,3
ET0722,0,2026-06,3
ET0723,0,2026-06,3
ET0724,0,2026-06,1
ET1101,0,2026-06,1
ET1102,0,2026-06,1
ET1103,0,2026-06,1
ET1104,0,2026-06,1
ET1105,0,2026-06,1
ET1106,0,2026-06,1
ET1201,0,2026-06,1
ET1202,0,2026-06,1
ET1203,0,2026-06,1
ET1204,0,2026-06,1
ET1301,0,2026-06,1
ET1401,0,2026-06,1
ET1501,0,2026-06,1
ET1502,0,2026-06,2
ET1600,0,2026-06,2
ET0101,1,2026-07,3
ET0102,1,2026-07,3
ET0103,1,2026-07,2
ET0104,1,2026-07,2
ET0105,1,2026-07,2
ET0106,1,2026-07,2
ET0107,1,2026-07,2
ET0201,1,2026-07,2
ET0202,1,2026-07,3
ET0203,1,2026-07,3
ET0204,1,2026-07,3
ET0205,1,2026-07,2
ET0301,1,2026-07,3
ET0302,1,2026-07,2
ET0303,1,2026-07,2
ET0304,1,2026-07,2
ET0305,1,2026-07,2
ET0306,1,2026-07,1
ET0307,1,2026-07,1
ET0308,1,2026-07,3
ET0309,1,2026-07,1
ET0310,1,2026-07,2
ET0311,1,2026-07,1
ET0312,1,2026-07,1
ET0401,1,2026-07,1
ET0402,1,2026-07,1
ET0403,1,2026-07,1
ET0404,1,2026-07,1
ET0405,1,2026-07,1
ET0406,1,2026-07,1
ET0407,1,2026-07,2
ET0408,1,2026-07,1
ET0409,1,2026-07,3
ET0410,1,2026-07,3
ET0411,1,2026-07,2
ET0412,1,2026-07,3
ET0413,1,2026-07,1
ET0414,1,2026-07,2
ET0415,1,2026-07,2
ET0416,1,2026-07,1
ET0417,1,2026-07,1
ET0418,1,2026-07,1
ET0419,1,2026-07,1
ET0420,1,2026-07,1
ET0421,1,2026-07,3
ET0501,1,2026-07,2
ET0502,1,2026-07,2
ET0503,1,2026-07,3
ET0504,1,2026-07,3
ET0505,1,2026-07,3
ET0506,1,2026-07,3
ET0507,1,2026-07,3
ET0508,1,2026-07,3
ET0509,1,2026-07,3
ET0510,1,2026-07,3
ET0511,1,2026-07,3
ET0602,1,2026-07,1
ET0603,1,2026-07,1
ET0604,1,2026-07,1
ET0605,1,2026-07,1
ET0701,1,2026-07,1
ET0702,1,2026-07,1
ET0703,1,2026-07,1
ET0705,1,2026-07,1
ET0706,1,2026-07,3
ET0707,1,2026-07,2
ET0710,1,2026-07,3
ET0712,1,2026-07,3
ET0713,1,2026-07,3
ET0714,1,2026-07,1
ET0715,1,2026-07,1
ET0716,1,2026-07,1
ET0720,1,2026-07,1
ET0721,1,2026-07,3
ET0722,1,2026-07,3
ET0723,1,2026-07,3
ET0724,1,2026-07,1
ET1101,1,2026-07,1
ET1102,1,2026-07,1
ET1103,1,2026-07,1
ET1104,1,2026-07,1
ET1105,1,2026-07,1
ET1106,1,2026-07,1
ET1201,1,2026-07,1
ET1202,1,2026-07,1
ET1203,1,2026-07,1
ET1204,1,2026-07,1
ET1301,1,2026-07,1
ET1401,1,2026-07,1
ET1501,1,2026-07,2
ET1502,1,2026-07,2
ET1600,1,2026-07,1
ET0101,2,2026-08,2
ET0102,2,2026-08,3
ET0103,2,2026-08,2
ET0104,2,2026-08,3
ET0105,2,2026-08,1
ET0106,2,2026-08,2
ET0107,2,2026-08,2
ET0201,2,2026-08,2
ET0202,2,2026-08,3
ET0203,2,2026-08,3
ET0204,2,2026-08,3
ET0205,2,2026-08,2
ET0301,2,2026-08,3
ET0302,2,2026-08,2
ET0303,2,2026-08,2
ET0304,2,2026-08,2
ET0305,2,2026-08,2
ET0306,2,2026-08,1
ET0307,2,2026-08,1
ET0308,2,2026-08,3
ET0309,2,2026-08,1
ET0310,2,2026-08,2
ET0311,2,2026-08,1
ET0312,2,2026-08,1
ET0401,2,2026-08,1
ET0402,2,2026-08,1
ET0403,2,2026-08,1
ET0404,2,2026-08,1
ET0405,2,2026-08,1
ET0406,2,2026-08,1
ET0407,2,2026-08,2
ET0408,2,2026-08,1
ET0409,2,2026-08,3
ET0410,2,2026-08,3
ET0411,2,2026-08,3
ET0412,2,2026-08,3
ET0413,2,2026-08,1
ET0414,2,2026-08,2
ET0415,2,2026-08,2
ET0416,2,2026-08,1
ET0417,2,2026-08,1
ET0418,2,2026-08,1
ET0419,2,2026-08,1
ET0420,2,2026-08,1
ET0421,2,2026-08,3
ET0501,2,2026-08,2
ET0502,2,2026-08,2
ET0503,2,2026-08,3
ET0504,2,2026-08,3
ET0505,2,2026-08,3
ET0506,2,2026-08,3
ET0507,2,2026-08,3
ET0508,2,2026-08,3
ET0509,2,2026-08,3
ET0510,2,2026-08,3
ET0511,2,2026-08,3
ET0602,2,2026-08,1
ET0603,2,2026-08,1
ET0604,2,2026-08,1
ET0605,2,2026-08,1
ET0701,2,2026-08,1
ET0702,2,2026-08,1
ET0703,2,2026-08,2
ET0705,2,2026-08,1
ET0706,2,2026-08,3
ET0707,2,2026-08,1
ET0710,2,2026-08,3
ET0712,2,2026-08,3
ET0713,2,2026-08,3
ET0714,2,2026-08,1
ET0715,2,2026-08,1
ET0716,2,2026-08,1
ET0720,2,2026-08,1
ET0721,2,2026-08,3
ET0722,2,2026-08,3
ET0723,2,2026-08,3
ET0724,2,2026-08,1
ET1101,2,2026-08,1
ET1102,2,2026-08,1
ET1103,2,2026-08,1
ET1104,2,2026-08,1
ET1105,2,2026-08,1
ET1106,2,2026-08,1
ET1201,2,2026-08,1
