zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0201,0,2026-06,pastoral,2.1701326753075225,2.2108132195268193
ET0202,0,2026-06,pastoral,2.4350203059713476,2.4961933457132504
ET0203,0,2026-06,pastoral,2.26292719386506,2.2933157890570883
ET0204,0,2026-06,pastoral,2.6673957671202375,2.707386691961834
ET0205,0,2026-06,pastoral,1.9402230451241491,1.9733087951028483
ET0411,0,2026-06,pastoral,1.6296404540652365,1.73524910701008
ET0412,0,2026-06,pastoral,2.430191608501262,2.5437114592423513
ET0414,0,2026-06,pastoral,1.4591757882674405,1.558894574250962
ET0415,0,2026-06,pastoral,1.4198610739137374,1.5168467450978023
ET0421,0,2026-06,pastoral,2.055353853904114,2.0471722668849943
ET0501,0,2026-06,pastoral,2.153552171947952,2.279803235487745
ET0503,0,2026-06,pastoral,2.727894399490641,2.889483193326782
ET0504,0,2026-06,pastoral,2.6510496471627563,2.8881068384199056
ET0505,0,2026-06,pastoral,2.6182414117751525,2.837265381311749
ET0506,0,2026-06,pastoral,2.637345600552909,2.868231548564211
ET0507,0,2026-06,pastoral,2.8343518227338795,2.9224963149422267
ET0508,0,2026-06,pastoral,2.7910462447622613,2.9173353857873012
ET0509,0,2026-06,pastoral,2.723957751040121,2.8633119250197705
ET0510,0,2026-06,pastoral,2.838530229993001,2.935752241802544
ET0511,0,2026-06,pastoral,2.6084796888976642,2.610192464049453
ET0410,0,2026-06,agropastoral,2.0436400743195833,2.2255779909989784
ET0502,0,2026-06,agropastoral,1.8786606034437159,1.822801300661329
ET0707,0,2026-06,agropastoral,1.751925262165471,1.9636735312554456
ET0712,0,2026-06,agropastoral,2.3281818077636687,2.7198701930195566
ET1201,0,2026-06,agropastoral,0.8920299932360649,1.0790604652884803
ET0101,0,2026-06,crop_farming,2.260243047484693,2.484094883029734
ET0102,0,2026-06,crop_farming,2.6298530859780027,2.6379884911582856
ET0103,0,2026-06,crop_farming,2.4374897066283774,2.518889974981605
ET0104,0,2026-06,crop_farming,2.5048219511023198,2.53675245359251
ET0105,0,2026-06,crop_farming,1.22828178758104,1.3604474469192265
ET0106,0,2026-06,crop_farming,2.46621477679354,2.4815916964506446
ET0107,0,2026-06,crop_farming,2.049980878829955,2.147330480257485
ET0301,0,2026-06,crop_farming,2.4527008839832773,2.5182045577657024
ET0302,0,2026-06,crop_farming,1.4578842849272873,1.4622711885554929
ET0303,0,2026-06,crop_farming,2.3247002626052535,2.4043894888901005
ET0304,0,2026-06,crop_farming,1.876415500714318,2.046840992933195
ET0305,0,2026-06,crop_farming,1.3130215456801797,1.3675981228363865
ET0306,0,2026-06,crop_farming,1.047490958742842,1.027588280455009
ET0307,0,2026-06,crop_farming,1.0320724782806572,1.0139121041815178
ET0308,0,2026-06,crop_farming,2.5128178684631033,2.547841020452018
ET0309,0,2026-06,crop_farming,1.0331489108502867,1.0134887646165718
ET0310,0,2026-06,crop_farming,1.8716910204184125,1.9325108072419968
ET0311,0,2026-06,crop_farming,1.2096969896545593,1.2046427931217845
ET0312,0,2026-06,crop_farming,1.0318245068192484,1.0130695589713012
ET0401,0,2026-06,crop_farming,1.2429037164631225,1.2338884036180742
ET0402,0,2026-06,crop_farming,1.2161927988730492,1.2043049811892648
ET0403,0,2026-06,crop_farming,1.0331489108502865,1.0134887646165716
ET0404,0,2026-06,crop_farming,1.0331489108502867,1.0152359019948998
ET0405,0,2026-06,crop_farming,1.0331489108502867,1.0134887646165718
ET0406,0,2026-06,crop_farming,1.0502962627912795,1.029759818078152
ET0407,0,2026-06,crop_farming,1.3128778497218643,1.3196534391445354
ET0408,0,2026-06,crop_farming,1.4720588953470144,1.4170042840508472
ET0409,0,2026-06,crop_farming,2.5771196964921432,2.634880333694467
ET0413,0,2026-06,crop_farming,1.0539745972234467,1.0223026573133802
ET0416,0,2026-06,crop_farming,1.0331489108502865,1.0134887646165716
ET0417,0,2026-06,crop_farming,1.3203434597080825,1.3268225449117832
ET0418,0,2026-06,crop_farming,1.0301593164548069,1.0148194815370464
ET0419,0,2026-06,crop_farming,1.325938498102527,1.326246881171321
ET0420,0,2026-06,crop_farming,1.0331489108502865,1.0149104081397688
ET0602,0,2026-06,crop_farming,1.0318245068192482,1.013066695263369
ET0603,0,2026-06,crop_farming,1.0572211282528816,1.033993545097132
ET0604,0,2026-06,crop_farming,1.0790826500150814,1.0582401447489098
ET0605,0,2026-06,crop_farming,1.1119903075470123,1.0894276942938628
ET0701,0,2026-06,crop_farming,1.3851788556336935,1.3844007497281903
ET0702,0,2026-06,crop_farming,1.4176720966886667,1.375767467336259
ET0703,0,2026-06,crop_farming,2.234301806764978,2.269682490659875
ET0705,0,2026-06,crop_farming,2.0448580249485455,2.1364898018459324
ET0706,0,2026-06,crop_farming,2.491867049143407,2.5742245598033384
ET0710,0,2026-06,crop_farming,2.725466754213243,2.7425720371138875
ET0713,0,2026-06,crop_farming,2.9543130708594987,2.9142579861834697
ET0714,0,2026-06,crop_farming,1.2706376948572733,1.2642206723907983
ET0715,0,2026-06,crop_farming,1.832550102928021,1.9381475817804703
ET0716,0,2026-06,crop_farming,1.0787546893966142,1.0551363176182602
ET0720,0,2026-06,crop_farming,1.5757973169235397,1.5683365217374146
ET0721,0,2026-06,crop_farming,2.951411370428327,2.915968254748651
