config,cluster,mean_f1_1to5,mean_f1_3plus
LSTM-level (default),pastoral,0.1778116292575635,0.17781709279563573
LSTM-level (default),agropastoral,0.2725221138331921,0.2725221138331921
LSTM-level (default),crop_farming,0.5584038042096363,0.5584038042096363
LSTM-level (extended),pastoral,0.1682214448433069,0.16823726297993044
LSTM-level (extended),agropastoral,0.30415229512783376,0.30415229512783376
LSTM-level (extended),crop_farming,0.5373042341269059,0.5373221723908147
LSTM-delta (default),pastoral,0.593213039708216,0.6967349539059906
LSTM-delta (default),agropastoral,0.5848452875997909,0.6035557069013431
LSTM-delta (default),crop_farming,0.6942485071007114,0.7083280530110498
LSTM-delta (extended),pastoral,0.5472772384840378,0.7003944627683022
LSTM-delta (extended),agropastoral,0.5671183218228388,0.5795680113495782
LSTM-delta (extended),crop_farming,0.673731438190879,0.7019637753357156
TabICLv2 (default),pastoral,0.5487273888072445,0.7136019775893595
TabICLv2 (default),agropastoral,0.5902034396130746,0.5902034396130746
TabICLv2 (default),crop_farming,0.649050473091247,0.6936437396960959
TabICLv2 (extended),pastoral,0.5190048098368841,0.7652372766561378
TabICLv2 (extended),agropastoral,0.6142161932665279,0.6142161932665279
TabICLv2 (extended),crop_farming,0.6476357085081322,0.692869809662467
RandomForest-delta-noclimate (default),pastoral,0.6251668715691528,0.7220286368084653
RandomForest-delta-noclimate (default),agropastoral,0.6488794114770345,0.6488794114770345
RandomForest-delta-noclimate (default),crop_farming,0.72505051015008,0.7508081674171682
RandomForest-delta-noclimate (extended),pastoral,0.5998573888711697,0.7579122478426024
RandomForest-delta-noclimate (extended),agropastoral,0.6420350381886761,0.6420350381886761
RandomForest-delta-noclimate (extended),crop_farming,0.7341838119126847,0.7680766848676378
T-GCN-CE (default),pastoral,0.21269978029667053,0.22835983886971137
T-GCN-CE (default),agropastoral,0.3882332754646815,0.3882332754646815
T-GCN-CE (default),crop_farming,0.39232292202501134,0.39397017512546256
T-GCN-CE (extended),pastoral,0.19559093059808028,0.23221824978893799
T-GCN-CE (extended),agropastoral,0.38279018849228247,0.385329871031965
T-GCN-CE (extended),crop_farming,0.33902210358538304,0.3425153298014469
Ensemble 2-way blend (XGB+RF),pastoral,0.6264540228043796,0.7201841786742802
Ensemble 2-way blend (XGB+RF),agropastoral,0.6391270314461718,0.6391270314461718
Ensemble 2-way blend (XGB+RF),crop_farming,0.7251964124727701,0.7482045386299371
Ensemble 5-way (all),pastoral,0.5585776772203872,0.675457761621923
Ensemble 5-way (all),agropastoral,0.6666567438291865,0.6666567438291865
Ensemble 5-way (all),crop_farming,0.7084736353960305,0.7540049042697571
Ensemble 4-way champion (drop T-GCN),pastoral,0.6214790319573142,0.7161331681725048
Ensemble 4-way champion (drop T-GCN),agropastoral,0.6970892302886506,0.6970892302886506
Ensemble 4-way champion (drop T-GCN),crop_farming,0.7430673815321268,0.7643135653284234
Persistence (default),pastoral,0.6228674487285465,0.7083573130363072
Persistence (default),agropastoral,0.6978268144026492,0.6978268144026492
Persistence (default),crop_farming,0.7208928947001737,0.7354164722427294
Persistence (extended),pastoral,0.6241679731995167,0.7524190941780827
Persistence (extended),agropastoral,0.6669450451336539,0.6669450451336539
Persistence (extended),crop_farming,0.7141441950775597,0.7449063009333077
FEWS NET outlook (2020-2024),pastoral,0.6928253944680831,0.8130671088860302
FEWS NET outlook (2020-2024),agropastoral,0.7034701151765688,0.7034701151765688
FEWS NET outlook (2020-2024),crop_farming,0.7555058663731224,0.7875750592894712
FEWS NET outlook (2026-only),pastoral,0.944417866472268,0.944417866472268
FEWS NET outlook (2026-only),agropastoral,0.6,0.6
FEWS NET outlook (2026-only),crop_farming,0.6486922569823284,0.6486922569823284
