config,lead_scheme,lead,n,f1_1to5,f1_3plus
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.4224245855983003,0.42246934114038254
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.38206993249673205,0.38206993249673205
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.42598214156185166,0.42598214156185166
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.4180685183084646,0.4180685183084646
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.430400545428597,0.430400545428597
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.44913994916977606,0.44913994916977606
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.4485476443499823,0.4485476443499823
LSTM-level (default),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.425233330987672,0.4252397246365409
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",0,1380,0.41507541610885024,0.4151753240588289
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",1,1380,0.36776156468775933,0.36776156468775933
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",2,1380,0.39795462743909854,0.39795462743909854
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",3,1380,0.41302463588935595,0.4130258764924842
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",4,1380,0.4256126180122198,0.4256126180122198
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",8,1380,0.4123629724380813,0.4123629724380813
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",12,1380,0.42904184150604974,0.42904184150604974
LSTM-level (extended),"RQ2 grid (0,1,2,3,4,8,12)",mean,9660,0.4086905251544878,0.40870497494778885
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.6601891544716987,0.6976294227530886
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7109045639271251,0.7380987358899722
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.6850185044910717,0.720321399050659
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.6846712660976204,0.7175308864698191
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.6467299011151211,0.6806580609902774
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6526707214055066,0.6822497414193092
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6086062548175105,0.6658379292547386
LSTM-delta (default),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.6641129094750934,0.7003323108325521
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",0,1380,0.643351634075215,0.6985534604411837
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",1,1380,0.6854864721392867,0.734980443514536
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",2,1380,0.6519375288040693,0.7083185885738466
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",3,1380,0.6638365365255537,0.7093456689683514
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",4,1380,0.6050632902077329,0.6622606279064712
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",8,1380,0.6170720222163062,0.6714025163059961
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",12,1380,0.6018376599561822,0.6676123230750639
LSTM-delta (extended),"RQ2 grid (0,1,2,3,4,8,12)",mean,9660,0.6383693062749065,0.6932105183979212
TabICLv2 (default),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.6822109050034297,0.7459275786734509
TabICLv2 (default),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.6771752892842063,0.7423453716332473
TabICLv2 (default),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.6592885341070813,0.7336597755694716
TabICLv2 (default),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.6181871507850729,0.6994570864143356
