window,lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline
default,agropastoral,0,3,0.0,0.047619047619047616,0.0,0.0,0.07142857142857142
default,agropastoral,1,3,0.3333333333333333,0.09523809523809523,0.25,0.0,0.07142857142857142
default,agropastoral,2,3,0.3333333333333333,0.09523809523809523,0.25,0.0,0.07142857142857142
default,agropastoral,3,3,0.0,0.09523809523809523,0.0,0.0,0.07142857142857142
default,agropastoral,4,3,0.0,0.07142857142857142,0.0,0.3333333333333333,0.047619047619047616
default,agropastoral,8,3,0.0,0.023809523809523808,0.0,0.0,0.09523809523809523
default,agropastoral,12,3,0.0,0.047619047619047616,0.0,0.3333333333333333,0.07142857142857142
default,crop_farming,0,21,0.047619047619047616,0.022336769759450172,0.057142857142857134,0.0,0.03264604810996564
default,crop_farming,1,21,0.09523809523809523,0.058419243986254296,0.07017543859649122,0.0,0.03264604810996564
default,crop_farming,2,21,0.0,0.03608247422680412,0.0,0.0,0.03264604810996564
default,crop_farming,3,21,0.047619047619047616,0.041237113402061855,0.043478260869565216,0.0,0.03264604810996564
default,crop_farming,4,21,0.047619047619047616,0.020618556701030927,0.058823529411764705,0.19047619047619047,0.02577319587628866
default,crop_farming,8,21,0.0,0.01718213058419244,0.0,0.0,0.02577319587628866
default,crop_farming,12,21,0.0,0.018900343642611683,0.0,0.14285714285714285,0.01718213058419244
default,pastoral,0,22,0.18181818181818182,0.12025316455696203,0.17777777777777776,0.0,0.13924050632911392
default,pastoral,1,22,0.09090909090909091,0.10759493670886076,0.0975609756097561,0.0,0.13924050632911392
default,pastoral,2,22,0.22727272727272727,0.15822784810126583,0.1923076923076923,0.0,0.13924050632911392
default,pastoral,3,22,0.22727272727272727,0.1518987341772152,0.19607843137254902,0.0,0.13924050632911392
default,pastoral,4,22,0.09090909090909091,0.15822784810126583,0.08163265306122448,0.09090909090909091,0.10759493670886076
default,pastoral,8,22,0.045454545454545456,0.0759493670886076,0.05714285714285715,0.09090909090909091,0.12658227848101267
default,pastoral,12,22,0.22727272727272727,0.13291139240506328,0.20833333333333331,0.18181818181818182,0.10126582278481013
extended,agropastoral,0,1,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
extended,agropastoral,1,1,0.0,0.0,0.0,0.0,0.1111111111111111
extended,agropastoral,2,1,0.0,0.0,0.0,0.0,0.1111111111111111
extended,agropastoral,3,1,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
extended,agropastoral,4,1,0.0,0.0,0.0,0.0,0.0
extended,agropastoral,8,1,0.0,0.0,0.0,0.0,0.0
extended,agropastoral,12,1,0.0,0.0,0.0,0.0,0.0
extended,crop_farming,0,9,0.0,0.024,0.0,0.0,0.032
extended,crop_farming,1,9,0.0,0.064,0.0,0.0,0.032
extended,crop_farming,2,9,0.1111111111111111,0.024,0.15384615384615383,0.0,0.032
extended,crop_farming,3,9,0.0,0.064,0.0,0.0,0.032
extended,crop_farming,4,9,0.0,0.016,0.0,0.0,0.0
extended,crop_farming,8,9,0.0,0.0,0.0,0.0,0.0
extended,crop_farming,12,9,0.0,0.024,0.0,0.0,0.0
extended,pastoral,0,6,0.3333333333333333,0.08823529411764706,0.3636363636363636,0.3333333333333333,0.14705882352941177
extended,pastoral,1,6,0.16666666666666666,0.14705882352941177,0.16666666666666666,0.3333333333333333,0.14705882352941177
extended,pastoral,2,6,0.0,0.14705882352941177,0.0,0.3333333333333333,0.14705882352941177
extended,pastoral,3,6,0.3333333333333333,0.08823529411764706,0.3636363636363636,0.3333333333333333,0.14705882352941177
extended,pastoral,4,6,0.3333333333333333,0.17647058823529413,0.28571428571428575,0.3333333333333333,0.14705882352941177
extended,pastoral,8,6,0.16666666666666666,0.08823529411764706,0.2,0.3333333333333333,0.08823529411764706
extended,pastoral,12,6,0.16666666666666666,0.11764705882352941,0.1818181818181818,0.3333333333333333,0.08823529411764706
