window,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,45,0.42180806398391724,0.5383594184889864,0.2541176676750183,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,1,45,0.5527612566947937,0.6877218885413838,-0.2171703577041626,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,2,45,0.4128859341144562,0.5281449906668226,0.28215277194976807,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,3,45,0.44317135214805603,0.5484078315035157,0.22601419687271118,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,4,45,0.45159804821014404,0.5487258652960544,0.22511625289916992,0.3648470938205719,0.5070155712930473,0.3384414315223694
default,agropastoral,8,45,0.48083168268203735,0.6463153998598817,-0.07501542568206787,0.42871177196502686,0.5984142458309449,0.07842743396759033
default,agropastoral,12,45,0.5865209698677063,0.7064042024302197,-0.2841987609863281,0.4723512530326843,0.6556412961914629,-0.10626280307769775
default,crop_farming,0,603,0.3174710273742676,0.499861519233264,0.6205209493637085,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,1,603,0.43337905406951904,0.6458719816231487,0.36644935607910156,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,2,603,0.35198765993118286,0.5136928771624387,0.5992296934127808,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,3,603,0.3464598059654236,0.5369036748775619,0.5621945261955261,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,4,603,0.3581305146217346,0.5557855295655152,0.5308594703674316,0.2944584786891937,0.5393069721875395,0.558266282081604
default,crop_farming,8,603,0.4448985159397125,0.6705458823868587,0.3171183466911316,0.3355291783809662,0.621046676291354,0.4142167568206787
default,crop_farming,12,603,0.4589497447013855,0.6787521679107721,0.30030155181884766,0.39991724491119385,0.6997555425083017,0.2563284635543823
default,pastoral,0,180,0.3718966543674469,0.4942155713326779,0.3840720057487488,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,1,180,0.47811591625213623,0.610376439922696,0.06050902605056763,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,2,180,0.40721845626831055,0.5186436750994438,0.3216789960861206,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,3,180,0.3920482099056244,0.5240179800232085,0.3075483441352844,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,4,180,0.4303949177265167,0.5499720208680772,0.2372569441795349,0.4063642621040344,0.5519713942088592,0.2317010760307312
default,pastoral,8,180,0.46339839696884155,0.6066310432301282,0.07200348377227783,0.4223296642303467,0.5890271426651705,0.12508130073547363
default,pastoral,12,180,0.4604756236076355,0.579226475538829,0.1539541482925415,0.45675310492515564,0.6170332993651819,0.039904773235321045
extended,agropastoral,0,10,0.3584907352924347,0.5224445090875045,0.1336633563041687,0.2874002456665039,0.4631415222350778,0.31917768716812134
extended,agropastoral,1,10,0.5510855913162231,0.6659184941587488,-0.4075002670288086,0.2874002456665039,0.4631415222350778,0.31917768716812134
extended,agropastoral,2,10,0.3694365918636322,0.5018478164341821,0.20062530040740967,0.2874002456665039,0.4631415222350778,0.31917768716812134
extended,agropastoral,3,10,0.4397435188293457,0.5454134347624158,0.0558130145072937,0.2874002456665039,0.4631415222350778,0.31917768716812134
extended,agropastoral,4,10,0.2461170256137848,0.4044006325087143,0.48092514276504517,0.18949337303638458,0.3551412478029509,0.5996787548065186
extended,agropastoral,8,10,0.21175675094127655,0.3770459312872,0.5487732291221619,0.2079828679561615,0.3650828980669151,0.576952338218689
extended,agropastoral,12,10,0.35765665769577026,0.45137409120741284,0.3533346652984619,0.2079828679561615,0.3650828980669151,0.576952338218689
extended,crop_farming,0,134,0.3195587396621704,0.47580884530855955,0.48612916469573975,0.272970587015152,0.46122401433075677,0.5171493887901306
extended,crop_farming,1,134,0.5339189767837524,0.7004755967482278,-0.11371731758117676,0.272970587015152,0.46122401433075677,0.5171493887901306
extended,crop_farming,2,134,0.37759456038475037,0.5200054901089985,0.3862311840057373,0.272970587015152,0.46122401433075677,0.5171493887901306
extended,crop_farming,3,134,0.3855709135532379,0.5319685004112216,0.35766613483428955,0.272970587015152,0.46122401433075677,0.5171493887901306
extended,crop_farming,4,134,0.34239935874938965,0.48058125489055964,0.4757691025733948,0.22154635190963745,0.42008885456987943,0.5994365811347961
extended,crop_farming,8,134,0.3506741225719452,0.49622076015664646,0.44109392166137695,0.27729830145835876,0.4827919903198239,0.4709349274635315
extended,crop_farming,12,134,0.4009207487106323,0.5566364221246897,0.29671359062194824,0.27729830145835876,0.4827919903198239,0.4709349274635315
extended,pastoral,0,40,0.23171238601207733,0.334143082237529,0.5701520442962646,0.18536889553070068,0.3119327881124128,0.6253963708877563
extended,pastoral,1,40,0.65599125623703,0.7691220972436332,-1.2774062156677246,0.18536889553070068,0.3119327881124128,0.6253963708877563
extended,pastoral,2,40,0.3284450173377991,0.41216516343128135,0.345977783203125,0.18536889553070068,0.3119327881124128,0.6253963708877563
extended,pastoral,3,40,0.36086100339889526,0.43921017182779654,0.2573320269584656,0.18536889553070068,0.3119327881124128,0.6253963708877563
extended,pastoral,4,40,0.29465463757514954,0.42538673602271515,0.3033449053764343,0.2122848927974701,0.3296734965093916,0.5815746784210205
extended,pastoral,8,40,0.2660899758338928,0.40011732496761815,0.3836538791656494,0.20794901251792908,0.33458401573431434,0.5690168142318726
extended,pastoral,12,40,0.2848101854324341,0.40013527519906744,0.3835986256599426,0.20794901251792908,0.33458401573431434,0.5690168142318726
