window,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.33497318625450134,0.5008130020335223,0.6825478672981262,0.28386515378952026,0.4854176742996214,0.701765239238739
default,1,828,0.44959256052970886,0.6406950098255698,0.48044711351394653,0.28386515378952026,0.4854176742996214,0.701765239238739
default,2,828,0.3673040270805359,0.5155674006339824,0.6635674834251404,0.28386515378952026,0.4854176742996214,0.701765239238739
default,3,828,0.36162641644477844,0.5347637212704085,0.6380480527877808,0.28386515378952026,0.4854176742996214,0.701765239238739
default,4,828,0.37891995906829834,0.5541446877425679,0.6113368272781372,0.3226112723350525,0.5403889079919406,0.6303932666778564
default,8,828,0.45087310671806335,0.6558596267381631,0.45556139945983887,0.3594631254673004,0.6130057037828692,0.5243843793869019
default,12,828,0.46621468663215637,0.659976144634072,0.44870561361312866,0.41620948910713196,0.6802413919739073,0.4143297076225281
extended,0,184,0.30257755517959595,0.45164163087535864,0.6312144994735718,0.25471097230911255,0.43327983455653746,0.6605913639068604
extended,1,184,0.5613894462585449,0.714164452818292,0.07789075374603271,0.25471097230911255,0.43327983455653746,0.6605913639068604
extended,2,184,0.3664665222167969,0.49753785394301814,0.5524535179138184,0.25471097230911255,0.43327983455653746,0.6605913639068604
extended,3,184,0.3831433355808258,0.5139981238223319,0.5223509073257446,0.25471097230911255,0.43327983455653746,0.6605913639068604
extended,4,184,0.3267873525619507,0.4652136765238821,0.6087170839309692,0.21779097616672516,0.3987496779927834,0.7125339508056641
extended,8,184,0.32473641633987427,0.47101234631038685,0.5989019870758057,0.25845521688461304,0.44869689483732866,0.6360078454017639
extended,12,184,0.37332800030708313,0.5210818047705703,0.5090947151184082,0.25845521688461304,0.44869689483732866,0.6360078454017639
