lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
agropastoral,0,1,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
agropastoral,1,1,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
agropastoral,2,1,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
agropastoral,3,1,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
agropastoral,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agropastoral,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agropastoral,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_farming,0,9,0.0,0.0,0.0,0.0,0.032,0.0,0.0
crop_farming,1,9,0.0,0.024,0.0,0.0,0.032,0.0,0.0
crop_farming,2,9,0.0,0.032,0.0,0.0,0.032,0.0,0.0
crop_farming,3,9,0.0,0.008,0.0,0.0,0.032,0.0,0.0
crop_farming,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_farming,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_farming,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastoral,0,6,0.0,0.0,0.0,0.3333333333333333,0.14705882352941177,0.0,0.0
pastoral,1,6,0.0,0.029411764705882353,0.0,0.3333333333333333,0.14705882352941177,0.0,0.0
pastoral,2,6,0.0,0.0,0.0,0.3333333333333333,0.14705882352941177,0.0,0.0
pastoral,3,6,0.0,0.0,0.0,0.3333333333333333,0.14705882352941177,0.0,0.0
pastoral,4,6,0.16666666666666666,0.0,0.2857142857142857,0.3333333333333333,0.14705882352941177,0.0,0.0
pastoral,8,6,0.16666666666666666,0.0,0.2857142857142857,0.3333333333333333,0.08823529411764706,0.0,0.0
pastoral,12,6,0.0,0.0,0.0,0.3333333333333333,0.08823529411764706,0.0,0.0
