feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.01507956102067846,pastoral,0
pct_agropastoral,0.014813508768983474,pastoral,0
pct_crop_farming,0.015086339046674472,pastoral,0
is_harvest_season,0.0019213159521092782,pastoral,0
is_lean_season,0.00502134045443992,pastoral,0
is_dry_season,0.0018120084439193348,pastoral,0
months_since_harvest_start,0.01577030871027424,pastoral,0
months_since_lean_start,0.049204877247086484,pastoral,0
agss_surveyed_flag,0.0034415202633258563,pastoral,0
ipc_lag1,0.1984648750315501,pastoral,0
ipc_lag4,0.05605802591269358,pastoral,0
ipc_lag8,0.08011799336356558,pastoral,0
ipc_mean12,0.06216628302920858,pastoral,0
ha_share_lag1,0.05289687480313183,pastoral,0
ha_share_lag4,0.01304545956506964,pastoral,0
ha_share_lag8,0.015074322897881944,pastoral,0
ha_share_mean12,0.02691393340977904,pastoral,0
acled_event_count,0.002743998749949631,pastoral,0
acled_fatalities,0.0007614886581495874,pastoral,0
acled_event_count_political_violence,5.423745675989942e-05,pastoral,0
acled_fatalities_political_violence,9.22043835288605e-05,pastoral,0
acled_event_count_demonstrations,0.00105218480878884,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.001806488440860298,pastoral,0
acled_fatalities_lag1,0.0013682687720869184,pastoral,0
acled_event_count_political_violence_lag1,0.0006998938133703839,pastoral,0
acled_fatalities_political_violence_lag1,0.0011678480816497518,pastoral,0
acled_event_count_demonstrations_lag1,0.001226971584350059,pastoral,0
acled_fatalities_demonstrations_lag1,0.00017925701016455574,pastoral,0
acled_event_count_strategic_developments_lag1,0.00047049854811470946,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0003450211138833336,pastoral,0
acled_fatalities_lag3,0.00017586829869507438,pastoral,0
acled_event_count_political_violence_lag3,0.0001646547104428761,pastoral,0
acled_fatalities_political_violence_lag3,0.00019532808371463783,pastoral,0
acled_event_count_demonstrations_lag3,6.825336237360583e-05,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0009742246412670723,pastoral,0
acled_fatalities_lag6,0.0014570728168487195,pastoral,0
acled_event_count_political_violence_lag6,0.00045899297252705403,pastoral,0
acled_fatalities_political_violence_lag6,0.0006884757734376315,pastoral,0
acled_event_count_demonstrations_lag6,0.0009980242102015603,pastoral,0
acled_fatalities_demonstrations_lag6,7.307133604070902e-05,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0009329912830687645,pastoral,0
acled_fatalities_lag12,0.001653411819261098,pastoral,0
acled_event_count_political_violence_lag12,0.0009263320255009776,pastoral,0
acled_fatalities_political_violence_lag12,0.000649391249282865,pastoral,0
acled_event_count_demonstrations_lag12,0.00016466647907948645,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_price_etb,0.0032596065800685626,pastoral,0
maize_price_etb_lag1,0.0026070639404494507,pastoral,0
maize_price_etb_lag3,0.001840103972767481,pastoral,0
maize_price_etb_lag6,0.002243198557001467,pastoral,0
maize_price_etb_lag12,0.0010122620245013236,pastoral,0
maize_price_index,0.0005794044912178359,pastoral,0
maize_price_index_lag1,0.0013305110599562213,pastoral,0
maize_price_index_lag3,0.0012549852555083457,pastoral,0
maize_price_index_lag6,0.0016850494395632277,pastoral,0
