lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,10,0.3206610060583488,0.47961112132538053,0.26989573515820076,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,1,10,0.32929500194147165,0.5026748074041464,0.19798842617901702,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,2,10,0.32588949274905826,0.48827425222028975,0.2432820387410095,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,3,10,0.3224212619256933,0.49428955745751946,0.2245223845285167,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,4,10,0.30767293625342,0.5237124764984405,0.1294529747391222,0.1894933637237105,0.35514123267394104,0.5996787991598191,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,8,10,0.2634200385205883,0.4440233841280543,0.37422518544796757,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,12,10,0.2838159783923867,0.45192923747097713,0.35174291366855637,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
crop_farming,0,134,0.28995550115357166,0.48380026417910454,0.46872283419559035,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,1,134,0.29548094533597846,0.5003461330475686,0.4317623005463165,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,2,134,0.27896079587679534,0.473784529341175,0.4904923619083612,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,3,134,0.2638470862460185,0.42420332936080146,0.5915516992912149,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,4,134,0.26520837214959575,0.4195921552832257,0.6003832641512501,0.22154635094236422,0.42008885692789066,0.5994365935755399,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,8,134,0.3299962629931229,0.4909367454961255,0.4529336192402298,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,12,134,0.32004156317133714,0.4519144255749191,0.536444906495813,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
pastoral,0,40,0.2129998503026834,0.2865740039897767,0.6838278879346822,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,1,40,0.20920425709625307,0.2816163615260267,0.694672625464474,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,2,40,0.21813250020024078,0.2885152593604775,0.6795298731318096,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,3,40,0.24403761226441617,0.3137389961826679,0.6210455751878039,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,4,40,0.30041757295062543,0.3463703618442207,0.5381175895019429,0.21228492497248252,0.3296734859121757,0.5815746215257012,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,8,40,0.25303359309278134,0.2847500091636284,0.6878398429733322,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,12,40,0.24083455868944892,0.28087961315073046,0.6962680952451592,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
