lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,ET0410,2,0.22172694374762447,0.26891788790043725,-5.2414271318045635,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,0,ET0502,2,0.13161737247957173,0.13283965061128342,-148.6226981495292,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,0,ET0707,2,0.21671526973940802,0.2226557030629394,-0.8590987900021174,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,0,ET0712,2,0.9712255246835867,1.003224063982141,-3.1565541234634127,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,0,ET1201,2,0.06201991964155318,0.06431835374362221,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,1,ET0410,2,0.2650862388372026,0.3082791224366189,-7.202245224434437,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,1,ET0502,2,0.047254179704259824,0.051718707640345356,-21.679702893916655,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,1,ET0707,2,0.24424236660535537,0.24593658260095147,-1.2681986580391373,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,1,ET0712,2,1.0126644675938226,1.0463847631522545,-3.5218939449793982,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,1,ET1201,2,0.07722775696671769,0.10145488024271665,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,2,ET0410,2,0.27319819511644994,0.2820181540402207,-5.864337880002793,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,2,ET0502,2,0.06442854640838425,0.07261827563621785,-43.71300899590842,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
