feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.015000300031105737,pastoral,0
pct_agropastoral,0.015451942499459961,pastoral,0
pct_crop_farming,0.015994297847911978,pastoral,0
is_harvest_season,0.0019795063425723258,pastoral,0
is_lean_season,0.005197193790075514,pastoral,0
is_dry_season,0.002302357403900805,pastoral,0
months_since_harvest_start,0.016779592488491674,pastoral,0
months_since_lean_start,0.05149597665534444,pastoral,0
agss_surveyed_flag,0.0038545150203145606,pastoral,0
ipc_lag1,0.2016664610846575,pastoral,0
ipc_lag4,0.0570836042308542,pastoral,0
ipc_lag8,0.08131660448732231,pastoral,0
ipc_mean12,0.06418053094137045,pastoral,0
ha_share_lag1,0.05385658455101095,pastoral,0
ha_share_lag4,0.013890858853572519,pastoral,0
ha_share_lag8,0.016987825983078953,pastoral,0
ha_share_mean12,0.028856598392166602,pastoral,0
maize_price_etb,0.003168909742097202,pastoral,0
maize_price_etb_lag1,0.002408291256691964,pastoral,0
maize_price_etb_lag3,0.0019816372068656536,pastoral,0
maize_price_etb_lag6,0.0021650656709786284,pastoral,0
maize_price_etb_lag12,0.0010536851782376629,pastoral,0
maize_price_index,0.0007007214186343418,pastoral,0
maize_price_index_lag1,0.0016096261701355175,pastoral,0
maize_price_index_lag3,0.001083003263896934,pastoral,0
maize_price_index_lag6,0.0017847283059178817,pastoral,0
maize_price_index_lag12,0.003396817686692747,pastoral,0
maize_n_markets,0.0005930078698995686,pastoral,0
wheat_price_etb,0.00024533290325418305,pastoral,0
wheat_price_etb_lag1,0.0007981319876712786,pastoral,0
wheat_price_etb_lag3,0.0018661333061897004,pastoral,0
wheat_price_etb_lag6,0.0015140761760901436,pastoral,0
wheat_price_etb_lag12,0.0012226085910926013,pastoral,0
wheat_price_index,0.00045129018889935186,pastoral,0
wheat_price_index_lag1,0.0002578981176756405,pastoral,0
wheat_price_index_lag3,0.0006190548489904235,pastoral,0
wheat_price_index_lag6,0.0013732021497570124,pastoral,0
wheat_price_index_lag12,0.0007595728076281582,pastoral,0
wheat_n_markets,0.0002556858050213837,pastoral,0
sorghum_price_etb,0.0004079613620800585,pastoral,0
sorghum_price_etb_lag1,0.000391693103688499,pastoral,0
sorghum_price_etb_lag3,0.0004165797734225019,pastoral,0
sorghum_price_etb_lag6,0.00064853070299245,pastoral,0
sorghum_price_etb_lag12,0.003605288521340204,pastoral,0
sorghum_price_index,0.0009025693344118457,pastoral,0
sorghum_price_index_lag1,0.00097608298608843,pastoral,0
sorghum_price_index_lag3,0.00041833623681849537,pastoral,0
sorghum_price_index_lag6,0.0011651092990536585,pastoral,0
sorghum_price_index_lag12,0.0005991869087855049,pastoral,0
sorghum_n_markets,0.0002632953818794192,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
livestock_sheep_price_etb_lag6,0.0,pastoral,0
livestock_sheep_price_etb_lag12,0.0,pastoral,0
livestock_sheep_price_index,0.0,pastoral,0
livestock_sheep_price_index_lag1,0.0,pastoral,0
livestock_sheep_price_index_lag3,0.0,pastoral,0
livestock_sheep_price_index_lag6,0.0,pastoral,0
livestock_sheep_price_index_lag12,0.0,pastoral,0
livestock_sheep_n_markets,0.0,pastoral,0
goat_maize_tot,0.0,pastoral,0
goat_maize_tot_lag1,0.0,pastoral,0
goat_maize_tot_lag3,0.0,pastoral,0
goat_maize_tot_lag6,0.0,pastoral,0
goat_maize_tot_lag12,0.0,pastoral,0
sheep_maize_tot,0.0,pastoral,0
sheep_maize_tot_lag1,0.0,pastoral,0
sheep_maize_tot_lag3,0.0,pastoral,0
sheep_maize_tot_lag6,0.0,pastoral,0
sheep_maize_tot_lag12,0.0,pastoral,0
maize_yield,0.0033909376148545255,pastoral,0
maize_yield_anomaly,0.00223844463139094,pastoral,0
wheat_yield,0.0022925313775742206,pastoral,0
wheat_yield_anomaly,0.0014887733684817055,pastoral,0
sorghum_yield,0.0006401845700294198,pastoral,0
sorghum_yield_anomaly,0.001634052272294662,pastoral,0
teff_yield,0.0016486162314895392,pastoral,0
teff_yield_anomaly,0.0013693523941856911,pastoral,0
headline_cpi,0.0022341491380602377,pastoral,0
headline_cpi_lag1,0.0024187840505934498,pastoral,0
headline_cpi_lag3,0.0014837692552122817,pastoral,0
headline_cpi_lag6,0.003170986596398897,pastoral,0
headline_cpi_lag12,0.002241528004815766,pastoral,0
headline_cpi_yoy_change,0.0036941568646559645,pastoral,0
headline_cpi_yoy_change_lag1,0.0033422686778891418,pastoral,0
headline_cpi_yoy_change_lag3,0.013852188203708104,pastoral,0
headline_cpi_yoy_change_lag6,0.0036724861880274634,pastoral,0
headline_cpi_yoy_change_lag12,0.016654277656711975,pastoral,0
food_cpi,0.0029078149000369364,pastoral,0
food_cpi_lag1,0.002506439913460775,pastoral,0
food_cpi_lag3,0.0025800539267299477,pastoral,0
food_cpi_lag6,0.002382492656657403,pastoral,0
food_cpi_lag12,0.0005581843388221054,pastoral,0
