window,lhz,lead,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,45,0.6666666666666666,0.6671023965141611,0.35555555555555557,0.6324555320336759,0.15094339622641506,0.6222222222222222,0.6066951566951567,0.4,0.6666666666666666,0.05660377358490565
default,agropastoral,1,45,0.5777777777777777,0.5729629629629629,0.4444444444444444,0.699205898780101,-0.037735849056603765,0.6222222222222222,0.6066951566951567,0.4,0.6666666666666666,0.05660377358490565
default,agropastoral,2,45,0.6444444444444445,0.6434886499402628,0.37777777777777777,0.6497862896539309,0.10377358490566035,0.6222222222222222,0.6066951566951567,0.4,0.6666666666666666,0.05660377358490565
default,agropastoral,3,45,0.6,0.5656177156177157,0.4,0.6324555320336759,0.15094339622641506,0.6222222222222222,0.6066951566951567,0.4,0.6666666666666666,0.05660377358490565
default,agropastoral,4,45,0.5777777777777777,0.571496642841672,0.4444444444444444,0.699205898780101,-0.037735849056603765,0.6,0.5662640901771336,0.4222222222222222,0.6831300510639732,0.009433962264150941
default,agropastoral,8,45,0.6222222222222222,0.6161973048563437,0.4,0.6666666666666666,0.05660377358490565,0.5111111111111111,0.45863142705247967,0.5111111111111111,0.7453559924999299,-0.179245283018868
default,agropastoral,12,45,0.5111111111111111,0.49455840455840455,0.5111111111111111,0.7453559924999299,-0.179245283018868,0.5111111111111111,0.4754882154882155,0.5333333333333333,0.7888106377466155,-0.3207547169811322
default,crop_farming,0,603,0.7014925373134329,0.6894786371852768,0.31343283582089554,0.5859040724295678,0.5970188284518828,0.6998341625207297,0.6753803731025678,0.36318407960199006,0.7041690585493247,0.41791608554160853
default,crop_farming,1,603,0.7048092868988391,0.6878493254508704,0.31343283582089554,0.5971185648019809,0.5814446768944677,0.6998341625207297,0.6753803731025678,0.36318407960199006,0.7041690585493247,0.41791608554160853
default,crop_farming,2,603,0.6865671641791045,0.6651558459481112,0.3333333333333333,0.6162530547827099,0.5541899116689911,0.6998341625207297,0.6753803731025678,0.36318407960199006,0.7041690585493247,0.41791608554160853
default,crop_farming,3,603,0.6749585406301825,0.6435358667654634,0.351575456053068,0.6413087778834634,0.5172013017201301,0.6998341625207297,0.6753803731025678,0.36318407960199006,0.7041690585493247,0.41791608554160853
default,crop_farming,4,603,0.6650082918739635,0.623860124541076,0.3747927031509121,0.676543747873018,0.46269177126917704,0.681592039800995,0.6495140711278635,0.3880597014925373,0.7375275805057282,0.3614597861459786
default,crop_farming,8,603,0.648424543946932,0.6084932097620475,0.417910447761194,0.7508977490438171,0.33809855880985584,0.6285240464344942,0.5834486959642545,0.4560530679933665,0.8093565611754467,0.23102626685262662
default,crop_farming,12,603,0.6650082918739635,0.6249803019858836,0.41459369817578773,0.7662014595502382,0.3108437935843793,0.6301824212271974,0.5802996425977319,0.5008291873963516,0.8903387843467824,0.06944444444444442
default,pastoral,0,180,0.6277777777777778,0.6263273125342091,0.37777777777777777,0.6236095644623235,0.04624933767315076,0.5833333333333334,0.5998593015187725,0.4166666666666667,0.6454972243679028,-0.0218757096359099
default,pastoral,1,180,0.6277777777777778,0.6292337313949463,0.37777777777777777,0.6236095644623235,0.04624933767315076,0.5833333333333334,0.5998593015187725,0.4166666666666667,0.6454972243679028,-0.0218757096359099
default,pastoral,2,180,0.6166666666666667,0.6048703549554372,0.38333333333333336,0.6191391873668903,0.05987434713496298,0.5833333333333334,0.5998593015187725,0.4166666666666667,0.6454972243679028,-0.0218757096359099
default,pastoral,3,180,0.5277777777777778,0.5108544739198655,0.4722222222222222,0.6871842709362768,-0.15812580425403122,0.5833333333333334,0.5998593015187725,0.4166666666666667,0.6454972243679028,-0.0218757096359099
default,pastoral,4,180,0.5111111111111111,0.49853479853479854,0.49444444444444446,0.711024300256718,-0.23987586102490388,0.5166666666666667,0.5257617532697066,0.5,0.7302967433402214,-0.30800090833396454
default,pastoral,8,180,0.4666666666666667,0.4439235007416826,0.5666666666666667,0.7958224257542215,-0.553251078646583,0.5166666666666667,0.49525129247157135,0.5277777777777778,0.7852812659593165,-0.5123760502611465
default,pastoral,12,180,0.5777777777777777,0.5273475495697718,0.4388888888888889,0.6871842709362768,-0.15812580425403122,0.4777777777777778,0.45035724701079033,0.5666666666666667,0.8096638534327413,-0.6077511164938314
extended,agropastoral,0,10,0.6,0.6,0.4,0.6324555320336759,0.0,0.7,0.6615384615384616,0.3,0.5477225575051661,0.25
extended,agropastoral,1,10,0.8,0.8054545454545454,0.3,0.7071067811865476,-0.25,0.7,0.6615384615384616,0.3,0.5477225575051661,0.25
extended,agropastoral,2,10,0.6,0.6266666666666667,0.5,0.8366600265340756,-0.75,0.7,0.6615384615384616,0.3,0.5477225575051661,0.25
extended,agropastoral,3,10,0.7,0.7163636363636363,0.3,0.5477225575051661,0.25,0.7,0.6615384615384616,0.3,0.5477225575051661,0.25
extended,agropastoral,4,10,0.6,0.6133333333333333,0.5,0.8366600265340756,-0.75,0.8,0.7142857142857142,0.2,0.4472135954999579,0.5
extended,agropastoral,8,10,0.5,0.4933333333333333,0.6,0.8944271909999159,-1.0,0.8,0.7142857142857142,0.2,0.4472135954999579,0.5
extended,agropastoral,12,10,0.7,0.6599999999999999,0.4,0.7745966692414834,-0.5,0.8,0.7142857142857142,0.2,0.4472135954999579,0.5
extended,crop_farming,0,134,0.6791044776119403,0.6592631072143527,0.39552238805970147,0.73808950636287,0.22610759493670884,0.6343283582089553,0.604682418224873,0.417910447761194,0.7227641798688508,0.25791139240506333
extended,crop_farming,1,134,0.6865671641791045,0.6818873668188736,0.3208955223880597,0.5795005569646918,0.5229430379746836,0.6343283582089553,0.604682418224873,0.417910447761194,0.7227641798688508,0.25791139240506333
extended,crop_farming,2,134,0.6716417910447762,0.6592691741945473,0.3880597014925373,0.7123641530615955,0.27911392405063296,0.6343283582089553,0.604682418224873,0.417910447761194,0.7227641798688508,0.25791139240506333
extended,crop_farming,3,134,0.664179104477612,0.609418012403087,0.35074626865671643,0.6169254532967279,0.4593354430379747,0.6343283582089553,0.604682418224873,0.417910447761194,0.7227641798688508,0.25791139240506333
extended,crop_farming,4,134,0.664179104477612,0.6431139006951995,0.3880597014925373,0.7018100265975371,0.30031645569620247,0.664179104477612,0.6343441073195963,0.3880597014925373,0.7018100265975371,0.30031645569620247
extended,crop_farming,8,134,0.6417910447761194,0.6055450918554696,0.3805970149253731,0.652206358699728,0.3957278481012658,0.6194029850746269,0.5648926420528935,0.44776119402985076,0.7629479354705706,0.17310126582278484
extended,crop_farming,12,134,0.6268656716417911,0.5790385861039121,0.4552238805970149,0.7870215912378941,0.12009493670886073,0.6194029850746269,0.5648926420528935,0.44776119402985076,0.7629479354705706,0.17310126582278484
extended,pastoral,0,40,0.825,0.8306010928961749,0.175,0.4183300132670378,0.06666666666666665,0.8,0.8309433962264151,0.225,0.5244044240850758,-0.46666666666666656
extended,pastoral,1,40,0.875,0.879862700228833,0.125,0.3535533905932738,0.33333333333333337,0.8,0.8309433962264151,0.225,0.5244044240850758,-0.46666666666666656
extended,pastoral,2,40,0.775,0.80625,0.25,0.5477225575051661,-0.6000000000000001,0.8,0.8309433962264151,0.225,0.5244044240850758,-0.46666666666666656
extended,pastoral,3,40,0.775,0.7970588235294118,0.25,0.5477225575051661,-0.6000000000000001,0.8,0.8309433962264151,0.225,0.5244044240850758,-0.46666666666666656
extended,pastoral,4,40,0.675,0.7281609195402299,0.35,0.6324555320336759,-1.1333333333333333,0.8,0.8284584980237154,0.2,0.4472135954999579,-0.06666666666666665
extended,pastoral,8,40,0.775,0.7784503631961259,0.225,0.4743416490252569,-0.19999999999999996,0.75,0.797979797979798,0.25,0.5,-0.33333333333333326
extended,pastoral,12,40,0.725,0.7511111111111111,0.275,0.5244044240850758,-0.46666666666666656,0.75,0.797979797979798,0.25,0.5,-0.33333333333333326
