window,lead,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.6835748792270532,0.6822109050034297,0.32971014492753625,0.5968921118901764,0.6224939570595762,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,1,828,0.6811594202898551,0.6771752892842063,0.33454106280193235,0.6089112799578469,0.6071377790416608,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,2,828,0.6690821256038647,0.6592885341070813,0.3466183574879227,0.6187489325614176,0.5943409640267312,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,3,828,0.6388888888888888,0.6181871507850729,0.3804347826086957,0.6510860492118233,0.5508317929759705,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,4,828,0.6268115942028986,0.6037519403077686,0.40458937198067635,0.6854245131923895,0.5022038959192379,0.6413043478260869,0.6239556338353359,0.4142512077294686,0.7331027305409318,0.43054173183563205
default,8,828,0.607487922705314,0.5779198353023225,0.4492753623188406,0.7566133544393345,0.39343096829233615,0.5978260869565217,0.5695826281602017,0.4746376811594203,0.8008148024519071,0.3204891227072373
default,12,828,0.6376811594202898,0.6165056977716604,0.4251207729468599,0.7485896562402875,0.4062277833072657,0.5905797101449275,0.5533816025941645,0.5169082125603864,0.8681147322824312,0.20147874306839186
extended,0,184,0.7065217391304348,0.6992982925346931,0.34782608695652173,0.6756639246921762,0.3904401325130147,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,1,184,0.7336956521739131,0.7366517018314079,0.27717391304347827,0.5467294060851866,0.6008834200978073,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,2,184,0.6902173913043478,0.6920066187009921,0.3641304347826087,0.6876235066928135,0.36867013724562236,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,3,184,0.6902173913043478,0.6942820606503473,0.32608695652173914,0.5989120571285178,0.5210601041173687,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,4,184,0.6630434782608695,0.668212868088249,0.3858695652173913,0.6954823162194083,0.35415680706736086,0.7010869565217391,0.6976391274217362,0.33695652173913043,0.6426845869171515,0.44849345322606093
extended,8,184,0.6630434782608695,0.6628652348104677,0.358695652173913,0.6341718324267314,0.46300678340432244,0.657608695652174,0.649796828263446,0.391304347826087,0.6993786061802353,0.34690014197823005
extended,12,184,0.6521739130434783,0.6387985145749121,0.41304347826086957,0.7372097807744856,0.2743334910869223,0.657608695652174,0.649796828263446,0.391304347826087,0.6993786061802353,0.34690014197823005
